date,modal_price,min_price,max_price,change
01/01/2010,7000.0,6800.0,7100.0,
04/01/2010,22000.0,21000.0,23000.0,15000.0
05/01/2010,7000.0,6800.0,7100.0,-15000.0
08/01/2010,6800.0,6700.0,6900.0,-200.0
11/01/2010,6750.0,6700.0,6800.0,-50.0
12/01/2010,6750.0,6700.0,6800.0,-0.0
15/01/2010,6750.0,6700.0,6800.0,-0.0
18/01/2010,6700.0,6650.0,6800.0,-50.0
19/01/2010,6900.0,6800.0,7000.0,200.0
21/01/2010,6750.0,6700.0,6800.0,-150.0
25/01/2010,6800.0,6700.0,6900.0,50.0
29/01/2010,6750.0,6700.0,6800.0,-50.0
01/02/2010,6750.0,6700.0,6800.0,-0.0
02/02/2010,6750.0,6700.0,6800.0,-0.0
06/02/2010,6625.0,6575.0,6700.0,-125.0
08/02/2010,6700.0,6600.0,6800.0,75.0
09/02/2010,6800.0,6700.0,6900.0,100.0
11/02/2010,6650.0,6600.0,6700.0,-150.0
15/02/2010,6700.0,6600.0,6800.0,50.0
16/02/2010,6600.0,6500.0,6700.0,-100.0
18/02/2010,6400.0,6300.0,6500.0,-200.0
22/02/2010,6450.0,6400.0,6500.0,50.0
23/02/2010,6500.0,6400.0,6600.0,50.0
01/03/2010,6050.0,6000.0,6100.0,-450.0
04/03/2010,5950.0,5900.0,6000.0,-100.0
08/03/2010,5650.0,5600.0,5700.0,-300.0
09/03/2010,5700.0,5600.0,5800.0,50.0
11/03/2010,3250.0,3200.0,3300.0,-2450.0
15/03/2010,5600.0,5500.0,5700.0,2350.0
18/03/2010,5800.0,5700.0,5900.0,200.0
19/03/2010,4465.0,4347.5,4583.0,-1335.0
22/03/2010,5800.0,5700.0,5900.0,1335.0
23/03/2010,5800.0,5600.0,5900.0,-0.0
25/03/2010,6100.0,6000.0,6200.0,300.0
26/03/2010,5900.0,5800.0,5983.33,-200.0
29/03/2010,6125.0,6025.0,6225.0,225.0
30/03/2010,6200.0,6100.0,6300.0,75.0
03/04/2010,6087.5,6000.0,6175.0,-112.5
05/04/2010,6300.0,6200.0,6400.0,212.5
06/04/2010,6300.0,6200.0,6387.5,-0.0
08/04/2010,6175.0,6100.0,6250.0,-125.0
12/04/2010,6200.0,6100.0,6300.0,25.0
13/04/2010,6200.0,6100.0,6300.0,-0.0
16/04/2010,6200.0,6100.0,6300.0,-0.0
19/04/2010,6325.0,6225.0,6425.0,125.0
20/04/2010,6200.0,6100.0,6300.0,-125.0
22/04/2010,6200.0,6100.0,6300.0,-0.0
23/04/2010,6150.0,6050.0,6250.0,-50.0
26/04/2010,6200.0,6100.0,6300.0,50.0
29/04/2010,6050.0,5950.0,6150.0,-150.0
30/04/2010,6100.0,6000.0,6200.0,50.0
04/05/2010,6100.0,6000.0,6200.0,-0.0
06/05/2010,6100.0,6000.0,6200.0,-0.0
10/05/2010,6150.0,6050.0,6250.0,50.0
11/05/2010,6275.0,6175.0,6375.0,125.0
12/05/2010,2200.0,2100.0,2300.0,-4075.0
15/05/2010,6275.0,6175.0,6375.0,4075.0
17/05/2010,9500.0,9220.0,9780.0,3225.0
21/05/2010,6225.0,6125.0,6325.0,-3275.0
25/05/2010,6125.0,6025.0,6225.0,-100.0
26/05/2010,22000.0,21000.0,23000.0,15875.0
27/05/2010,6125.0,6025.0,6225.0,-15875.0
28/05/2010,6275.0,6175.0,6375.0,150.0
31/05/2010,22000.0,21000.0,23000.0,15725.0
03/06/2010,6275.0,6175.0,6375.0,-15725.0
04/06/2010,6250.0,6150.0,6350.0,-25.0
05/06/2010,6300.0,6200.0,6400.0,50.0
07/06/2010,9420.0,9140.0,9700.0,3120.0
08/06/2010,6300.0,6212.5,6387.5,-3120.0
10/06/2010,6250.0,6150.0,6350.0,-50.0
11/06/2010,6250.0,6150.0,6350.0,-0.0
14/06/2010,6150.0,6050.0,6250.0,-100.0
15/06/2010,6300.0,6200.0,6400.0,150.0
16/06/2010,22500.0,22000.0,23000.0,16200.0
17/06/2010,9500.0,9320.0,9680.0,-13000.0
18/06/2010,22500.0,22000.0,23000.0,13000.0
19/06/2010,22500.0,22000.0,23000.0,-0.0
21/06/2010,9860.0,9680.0,10040.0,-12640.0
22/06/2010,6700.0,6600.0,6800.0,-3160.0
23/06/2010,6700.0,6600.0,6800.0,-0.0
24/06/2010,6425.0,6325.0,6525.0,-275.0
25/06/2010,6750.0,6650.0,6850.0,325.0
28/06/2010,6650.0,6575.0,6725.0,-100.0
29/06/2010,6675.0,6575.0,6775.0,25.0
01/07/2010,9860.0,9680.0,10040.0,3185.0
02/07/2010,9860.0,9680.0,10040.0,-0.0
06/07/2010,6875.0,6775.0,6975.0,-2985.0
08/07/2010,9860.0,9680.0,10040.0,2985.0
09/07/2010,6866.67,6766.67,6966.67,-2993.33
12/07/2010,6731.25,6675.0,6787.5,-135.42
13/07/2010,10800.0,10600.0,11000.0,4068.75
15/07/2010,10000.0,9820.0,10180.0,-800.0
16/07/2010,10140.0,9960.0,10320.0,140.0
17/07/2010,22500.0,22000.0,23000.0,12360.0
19/07/2010,10220.0,10000.0,10400.0,-12280.0
20/07/2010,6987.5,6875.0,7050.0,-3232.5
22/07/2010,10120.0,9940.0,10300.0,3132.5
23/07/2010,7200.0,7100.0,7300.0,-2920.0
24/07/2010,22500.0,22000.0,23000.0,15300.0
26/07/2010,10280.0,10110.0,10470.0,-12220.0
27/07/2010,10320.0,10140.0,10500.0,40.0
28/07/2010,22500.0,22000.0,23000.0,12180.0
30/07/2010,10360.0,10180.0,10540.0,-12140.0
02/08/2010,10360.0,10180.0,10540.0,-0.0
03/08/2010,12516.67,12300.0,12733.33,2156.67
05/08/2010,7200.0,7100.0,7287.5,-5316.67
06/08/2010,15000.0,14700.0,15300.0,7800.0
10/08/2010,7300.0,7200.0,7400.0,-7700.0
11/08/2010,12433.33,12200.0,12666.67,5133.33
12/08/2010,11050.0,10850.0,11250.0,-1383.33
13/08/2010,22500.0,22000.0,23000.0,11450.0
16/08/2010,22500.0,22000.0,23000.0,-0.0
17/08/2010,11175.0,10975.0,11375.0,-11325.0
18/08/2010,22500.0,22000.0,23000.0,11325.0
19/08/2010,22500.0,22000.0,23000.0,-0.0
20/08/2010,22500.0,22000.0,23000.0,-0.0
21/08/2010,22500.0,22000.0,23000.0,-0.0
26/08/2010,10120.0,9950.0,10290.0,-12380.0
27/08/2010,6900.0,6800.0,7000.0,-3220.0
30/08/2010,6825.0,6712.5,6925.0,-75.0
31/08/2010,7000.0,6900.0,7100.0,175.0
02/09/2010,6866.67,6733.33,7000.0,-133.33
03/09/2010,6966.67,6833.33,7066.67,100.0
06/09/2010,10825.0,10625.0,11025.0,3858.33
09/09/2010,7000.0,6875.0,7125.0,-3825.0
14/09/2010,22500.0,22000.0,23000.0,15500.0
15/09/2010,10900.0,10700.0,11100.0,-11600.0
16/09/2010,10140.0,9960.0,10320.0,-760.0
