date,modal_price,min_price,max_price,change
31/12/2009,4491.19,4227.5,4730.07,
01/01/2010,3964.4,3702.43,4089.86,-526.79
02/01/2010,4073.65,3775.94,6238.18,109.25
03/01/2010,4235.0,4300.0,4913.0,161.35
04/01/2010,4065.67,3795.94,4219.28,-169.33
05/01/2010,3875.53,3518.0,3998.59,-190.14
06/01/2010,3975.96,3678.0,4247.33,100.43
07/01/2010,4228.26,3955.21,4456.5,252.3
08/01/2010,4248.32,4039.64,4467.64,20.05
09/01/2010,3944.96,3666.95,3972.6,-303.36
10/01/2010,4006.0,5495.0,5622.0,61.04
11/01/2010,3981.61,3741.06,4150.24,-24.39
12/01/2010,4168.23,3805.88,4171.53,186.62
13/01/2010,4272.2,4008.36,4498.73,103.97
14/01/2010,5314.0,4980.0,5880.0,1041.8
15/01/2010,4457.64,4402.13,5157.13,-856.36
16/01/2010,4115.0,3878.87,4306.13,-342.64
17/01/2010,4140.0,5453.0,5501.0,25.0
18/01/2010,4136.17,3892.77,4369.15,-3.83
19/01/2010,3992.87,3434.62,4064.38,-143.3
20/01/2010,4053.31,3836.63,4292.75,60.44
21/01/2010,4073.06,3808.83,4248.92,19.75
22/01/2010,4073.07,3833.89,4408.33,0.01
23/01/2010,3908.62,3700.13,4102.13,-164.45
24/01/2010,3921.67,4570.0,4625.5,13.05
25/01/2010,3885.67,3595.75,4099.0,-36.0
26/01/2010,4500.0,4450.0,4600.0,614.33
27/01/2010,3667.81,3350.31,3742.75,-832.19
28/01/2010,3772.41,3451.85,3895.85,104.6
29/01/2010,3849.23,3419.56,3974.56,76.82
30/01/2010,4450.56,4625.0,5498.25,601.32
31/01/2010,4562.5,5200.0,5248.0,111.94
01/02/2010,3599.11,3367.25,3857.25,-963.39
02/02/2010,3697.47,3541.14,3982.0,98.37
03/02/2010,3748.14,3573.31,3956.94,50.66
04/02/2010,3704.23,3594.73,3926.67,-43.91
05/02/2010,3492.05,3314.07,3703.14,-212.18
06/02/2010,3532.54,3357.88,3704.82,40.5
07/02/2010,3515.0,3950.0,4087.5,-17.54
08/02/2010,3491.68,3207.65,3590.24,-23.32
09/02/2010,3456.74,3148.53,3533.71,-34.94
10/02/2010,3432.56,3177.25,3607.05,-24.18
11/02/2010,3479.08,3256.11,3581.0,46.52
12/02/2010,3810.71,3425.0,3983.33,331.63
13/02/2010,3942.85,3821.88,4175.7,132.13
14/02/2010,3024.38,2806.5,2952.67,-918.47
15/02/2010,3429.74,3055.29,3579.19,405.36
16/02/2010,3484.0,3133.71,3557.59,54.26
17/02/2010,3479.76,3176.89,3580.14,-4.24
18/02/2010,3431.4,3150.48,3576.17,-48.36
19/02/2010,3419.84,3004.67,3615.83,-11.56
20/02/2010,3359.28,2965.86,3563.36,-60.56
