date,modal_price,min_price,max_price,change
31/12/2009,1030.1,882.0,1091.33,
01/01/2010,1023.83,905.15,1099.85,-6.26
02/01/2010,945.63,825.14,1009.58,-78.2
03/01/2010,767.35,644.67,770.0,-178.28
04/01/2010,947.77,838.54,1014.76,180.41
05/01/2010,793.78,685.47,846.61,-153.99
06/01/2010,929.4,795.0,993.24,135.62
07/01/2010,931.65,808.17,1013.71,2.25
08/01/2010,1020.83,879.34,1090.0,89.17
09/01/2010,887.38,770.16,972.42,-133.45
10/01/2010,829.29,678.64,807.73,-58.09
11/01/2010,948.1,816.65,1042.5,118.81
12/01/2010,1073.35,948.63,1173.54,125.25
13/01/2010,970.32,861.92,1048.08,-103.03
14/01/2010,970.5,820.4,1038.6,0.18
15/01/2010,994.24,875.77,1058.46,23.74
16/01/2010,997.77,885.76,1104.85,3.53
17/01/2010,886.07,777.92,961.79,-111.7
18/01/2010,949.44,817.5,1042.88,63.37
19/01/2010,1050.72,937.11,1145.0,101.28
20/01/2010,1063.42,960.74,1162.5,12.69
21/01/2010,1051.77,904.88,1132.44,-11.65
22/01/2010,985.95,847.03,1074.1,-65.82
23/01/2010,1020.24,891.09,1108.06,34.29
24/01/2010,832.33,710.0,871.0,-187.9
25/01/2010,915.6,768.83,1024.52,83.27
26/01/2010,810.0,705.26,895.26,-105.6
27/01/2010,1030.4,901.1,1124.64,220.4
28/01/2010,1018.69,891.79,1099.63,-11.7
29/01/2010,950.97,818.18,1009.09,-67.72
30/01/2010,862.12,709.57,884.35,-88.86
31/01/2010,691.11,560.0,708.75,-171.0
01/02/2010,982.24,846.94,1057.97,291.13
02/02/2010,985.76,863.0,1071.17,3.53
03/02/2010,980.33,848.38,1080.0,-5.44
04/02/2010,974.74,844.02,1062.44,-5.58
05/02/2010,1084.58,964.07,1180.7,109.83
06/02/2010,898.78,761.5,973.0,-185.8
07/02/2010,801.84,676.47,846.18,-96.94
08/02/2010,1008.43,893.21,1087.26,206.59
09/02/2010,963.41,816.39,1058.47,-45.03
10/02/2010,1018.6,867.83,1102.93,55.2
11/02/2010,1029.16,893.48,1137.5,10.56
12/02/2010,832.52,700.0,951.66,-196.64
13/02/2010,952.2,779.44,1091.07,119.68
14/02/2010,902.0,771.0,983.41,-50.2
15/02/2010,907.89,811.36,1035.74,5.89
16/02/2010,945.88,845.36,1073.64,38.0
17/02/2010,1059.31,927.19,1182.35,113.42
18/02/2010,1130.0,1010.98,1234.64,70.69
19/02/2010,1034.66,908.66,1151.34,-95.34
20/02/2010,1069.54,948.79,1140.0,34.88
21/02/2010,928.53,783.57,1083.21,-141.01
22/02/2010,1078.37,930.0,1138.39,149.84
23/02/2010,909.65,784.44,990.54,-168.72
24/02/2010,1046.36,910.69,1100.0,136.71
25/02/2010,955.6,844.09,1023.75,-90.75
26/02/2010,948.19,851.74,1036.22,-7.42
27/02/2010,1004.66,881.91,1071.67,56.47
28/02/2010,657.5,458.57,691.25,-347.16
01/03/2010,965.83,876.36,1036.67,308.33
02/03/2010,952.67,862.05,1044.38,-13.16
03/03/2010,1005.02,873.33,1072.39,52.35
04/03/2010,987.39,871.14,1070.76,-17.63
05/03/2010,932.05,823.86,1014.41,-55.34
06/03/2010,994.05,875.57,1117.63,62.0
07/03/2010,797.37,688.13,926.84,-196.68
08/03/2010,1012.74,914.52,1106.16,215.37
09/03/2010,1003.74,883.23,1069.61,-8.99
10/03/2010,965.0,856.35,1053.87,-38.74
11/03/2010,1043.61,914.17,1161.67,78.61
12/03/2010,981.15,874.77,1060.45,-62.46
13/03/2010,985.69,863.64,1078.91,4.54
14/03/2010,823.18,744.44,896.05,-162.51
15/03/2010,996.05,885.43,1071.39,172.87
16/03/2010,990.55,905.22,1074.46,-5.5
17/03/2010,1058.59,960.57,1142.73,68.03
18/03/2010,1020.43,894.17,1120.0,-38.15
19/03/2010,981.72,888.37,1068.04,-38.71
20/03/2010,1014.88,922.82,1108.13,33.16
21/03/2010,849.48,733.33,865.0,-165.41
22/03/2010,996.39,870.11,1080.43,146.91
23/03/2010,994.47,878.55,1105.9,-1.92
24/03/2010,885.91,742.6,961.54,-108.56
25/03/2010,971.4,847.08,1084.08,85.49
26/03/2010,1055.77,954.19,1147.74,84.37
27/03/2010,1021.5,890.49,1114.19,-34.27
28/03/2010,796.33,680.0,905.94,-225.17
29/03/2010,922.87,782.24,1035.72,126.54
30/03/2010,1018.09,921.51,1122.43,95.22
31/03/2010,1009.98,890.53,1099.62,-8.12
01/04/2010,1025.02,901.17,1122.24,15.04
02/04/2010,1068.11,956.05,1168.98,43.09
03/04/2010,1104.48,977.32,1218.41,36.37
04/04/2010,830.5,708.75,971.94,-273.98
05/04/2010,963.39,825.37,1046.51,132.89
06/04/2010,1043.73,918.33,1149.38,80.34
07/04/2010,975.22,844.7,1079.9,-68.51
08/04/2010,1049.88,923.48,1154.26,74.67
09/04/2010,1023.63,898.26,1105.64,-26.25
10/04/2010,989.88,859.48,1083.55,-33.75
11/04/2010,961.59,839.47,1059.29,-28.29
12/04/2010,1005.76,882.72,1089.57,44.17
13/04/2010,988.03,857.41,1074.92,-17.74
14/04/2010,969.55,848.04,1068.28,-18.48
15/04/2010,947.31,839.2,1032.26,-22.24
16/04/2010,1043.68,947.85,1139.3,96.37
17/04/2010,998.23,894.67,1097.31,-45.45
18/04/2010,872.62,752.5,992.37,-125.61
19/04/2010,1046.49,948.69,1144.53,173.87
20/04/2010,1040.33,927.55,1131.84,-6.16
21/04/2010,995.29,886.58,1093.22,-45.04
22/04/2010,1008.55,898.23,1113.9,13.25
23/04/2010,997.94,896.56,1081.22,-10.6
24/04/2010,989.35,880.94,1105.76,-8.59
25/04/2010,764.17,645.0,878.75,-225.18
26/04/2010,995.2,898.63,1095.81,231.04
27/04/2010,1132.24,951.63,1162.07,137.04
28/04/2010,1099.96,983.49,1195.12,-32.28
29/04/2010,1050.49,940.71,1143.95,-49.47
30/04/2010,960.85,823.53,1023.82,-89.64
01/05/2010,1005.34,912.58,1074.85,44.49
02/05/2010,926.19,871.67,1003.89,-79.15
03/05/2010,1013.71,925.8,1093.71,87.52
04/05/2010,1051.74,951.69,1128.09,38.03
05/05/2010,1044.58,939.85,1133.36,-7.15
06/05/2010,1045.35,960.27,1137.76,0.76
07/05/2010,1008.84,877.73,1090.22,-36.5
08/05/2010,953.06,845.19,1015.38,-55.78
09/05/2010,894.06,797.67,921.07,-59.01
10/05/2010,1041.38,939.86,1127.5,147.33
11/05/2010,1014.95,922.48,1101.52,-26.43
12/05/2010,1003.12,915.34,1087.95,-11.83
13/05/2010,1079.38,1011.2,1178.11,76.26
14/05/2010,1119.74,1020.48,1196.73,40.36
15/05/2010,1032.95,927.14,1100.74,-86.79
16/05/2010,956.7,881.11,997.65,-76.25
17/05/2010,1025.06,922.02,1120.36,68.36
18/05/2010,1057.16,957.8,1130.3,32.11
19/05/2010,1102.3,1019.98,1189.77,45.13
20/05/2010,1147.93,1047.5,1245.0,45.64
21/05/2010,1048.3,936.54,1131.03,-99.64
22/05/2010,1027.03,914.85,1102.91,-21.27
23/05/2010,933.1,846.94,1000.83,-93.93
24/05/2010,1007.36,907.46,1085.29,74.26
25/05/2010,1084.55,996.84,1154.73,77.19
26/05/2010,1068.49,976.18,1170.97,-16.06
27/05/2010,910.2,805.91,965.0,-158.29
28/05/2010,1005.83,917.03,1084.06,95.63
29/05/2010,1069.6,960.92,1155.95,63.77
30/05/2010,1050.0,885.71,1114.29,-19.6
31/05/2010,1057.26,942.06,1141.03,7.26
01/06/2010,1055.25,944.31,1137.03,-2.01
02/06/2010,1035.73,924.49,1105.51,-19.52
03/06/2010,1119.25,1020.0,1200.43,83.52
04/06/2010,1014.89,898.75,1100.0,-104.36
05/06/2010,1091.18,996.21,1156.21,76.3
06/06/2010,1036.19,890.0,1105.26,-54.99
07/06/2010,1080.0,966.41,1148.33,43.81
08/06/2010,1123.64,1042.25,1222.07,43.64
09/06/2010,1074.56,961.25,1160.61,-49.08
10/06/2010,1069.29,969.95,1157.45,-5.26
11/06/2010,1168.68,1056.06,1243.64,99.39
12/06/2010,1059.5,940.87,1159.57,-109.18
13/06/2010,981.88,821.43,1007.67,-77.63
14/06/2010,1050.83,943.65,1124.32,68.96
15/06/2010,1034.5,890.91,1118.33,-16.33
16/06/2010,1135.82,1017.64,1210.83,101.32
17/06/2010,1118.59,1013.49,1216.98,-17.23
18/06/2010,1195.36,1091.06,1292.65,76.77
19/06/2010,1031.89,891.09,1126.09,-163.47
20/06/2010,1095.67,935.29,1144.17,63.78
21/06/2010,1076.08,940.14,1154.46,-19.59
22/06/2010,1120.2,997.22,1198.89,44.13
23/06/2010,1037.58,921.45,1118.68,-82.63
24/06/2010,1101.78,990.13,1201.75,64.21
25/06/2010,1124.25,998.33,1259.26,22.47
26/06/2010,918.72,792.92,1004.58,-205.53
27/06/2010,1066.2,888.75,1211.11,147.48
28/06/2010,1133.14,983.75,1233.13,66.94
29/06/2010,1175.0,1056.77,1291.09,41.86
30/06/2010,1217.97,1070.29,1327.57,42.97
01/07/2010,1257.7,1106.91,1360.57,39.73
02/07/2010,1193.72,1082.33,1284.13,-63.98
03/07/2010,1220.5,1089.04,1304.04,26.78
04/07/2010,1013.25,894.69,1109.36,-207.25
05/07/2010,1035.39,923.4,1109.4,22.14
06/07/2010,1159.25,1034.71,1256.11,123.86
07/07/2010,1178.08,1051.47,1263.53,18.83
08/07/2010,1186.63,1053.55,1284.49,8.55
09/07/2010,1161.74,1016.59,1290.6,-24.88
10/07/2010,1015.67,819.79,1055.83,-146.08
11/07/2010,1129.67,1028.0,1217.5,114.0
12/07/2010,1142.03,971.88,1244.7,12.36
13/07/2010,1056.81,933.0,1109.19,-85.22
14/07/2010,1153.08,1045.95,1275.54,96.27
15/07/2010,1132.03,988.33,1205.17,-21.05
16/07/2010,1192.0,1064.39,1266.67,59.97
17/07/2010,1141.94,999.19,1222.42,-50.06
18/07/2010,1067.19,960.0,1156.67,-74.76
19/07/2010,1104.62,949.69,1225.0,37.43
20/07/2010,1156.9,1034.11,1270.54,52.28
21/07/2010,1049.53,924.73,1140.95,-107.37
22/07/2010,1134.89,1014.05,1276.89,85.37
23/07/2010,1186.94,1039.85,1285.0,52.05
24/07/2010,1064.15,924.04,1193.46,-122.79
25/07/2010,1081.31,945.5,1159.0,17.16
26/07/2010,1026.3,906.55,1122.14,-55.0
27/07/2010,1054.05,924.09,1164.85,27.75
28/07/2010,1070.62,950.33,1170.83,16.56
29/07/2010,1139.55,1027.07,1264.83,68.93
30/07/2010,1068.81,922.06,1186.18,-70.73
31/07/2010,1102.38,972.86,1198.1,33.56
01/08/2010,1063.67,911.25,1085.83,-38.71
02/08/2010,1053.92,872.74,1112.1,-9.75
03/08/2010,1085.81,930.9,1175.9,31.9
04/08/2010,1176.33,975.71,1219.17,90.51
05/08/2010,1086.85,947.32,1161.1,-89.48
06/08/2010,1097.53,926.88,1169.84,10.68
07/08/2010,1070.88,945.74,1186.32,-26.65
08/08/2010,1088.33,918.75,1156.25,17.45
09/08/2010,1082.63,958.86,1181.71,-5.7
10/08/2010,1154.24,1073.16,1262.69,71.6
11/08/2010,1173.44,1070.0,1315.23,19.2
12/08/2010,1095.47,981.86,1203.89,-77.96
13/08/2010,1110.33,1011.59,1209.63,14.86
14/08/2010,1111.0,968.2,1223.27,0.67
15/08/2010,1068.93,925.83,1153.33,-42.07
16/08/2010,1057.34,902.5,1170.96,-11.58
17/08/2010,1167.8,1075.28,1291.08,110.46
18/08/2010,1216.63,1100.68,1342.16,48.82
19/08/2010,1182.97,1067.94,1314.71,-33.65
20/08/2010,1219.85,1067.5,1353.68,36.87
21/08/2010,1146.17,977.31,1256.48,-73.68
22/08/2010,995.0,798.75,1010.83,-151.17
23/08/2010,1239.18,1159.66,1375.0,244.18
24/08/2010,1199.48,1088.06,1246.94,-39.7
25/08/2010,1178.85,1047.68,1321.43,-20.63
26/08/2010,1143.23,1011.11,1236.96,-35.63
27/08/2010,1181.03,1089.58,1288.33,37.81
28/08/2010,1103.87,954.4,1219.4,-77.17
29/08/2010,926.13,750.0,928.33,-177.74
30/08/2010,1031.07,891.54,1111.92,104.94
31/08/2010,1182.5,1023.46,1294.81,151.43
01/09/2010,1190.89,1064.33,1328.71,8.39
02/09/2010,1113.6,912.37,1187.11,-77.29
03/09/2010,1141.92,1024.35,1236.94,28.32
04/09/2010,1253.22,1136.35,1385.74,111.3
05/09/2010,1047.0,881.88,1078.13,-206.22
06/09/2010,1154.46,1042.9,1227.58,107.46
07/09/2010,1172.28,1055.28,1262.5,17.82
08/09/2010,1128.2,1020.26,1256.83,-44.07
09/09/2010,1168.42,1024.06,1299.06,40.22
10/09/2010,1064.79,953.57,1167.14,-103.63
11/09/2010,1189.03,1087.96,1321.11,124.24
12/09/2010,1000.33,839.58,1060.0,-188.7
13/09/2010,1113.68,997.24,1223.79,113.34
14/09/2010,1143.88,1061.25,1242.41,30.21
15/09/2010,1103.79,1027.61,1219.13,-40.09
16/09/2010,1322.52,1254.92,1513.32,218.72
17/09/2010,1156.03,1072.76,1283.83,-166.49
18/09/2010,1144.93,1071.67,1258.6,-11.1
19/09/2010,939.43,749.2,925.18,-205.5
20/09/2010,1090.56,976.09,1195.94,151.13
21/09/2010,1153.78,1031.29,1255.48,63.23
22/09/2010,1097.92,957.19,1220.31,-55.86
23/09/2010,1046.89,933.39,1140.65,-51.03
24/09/2010,1078.71,989.66,1208.79,31.83
25/09/2010,1112.35,1005.17,1237.67,33.64
26/09/2010,883.07,703.64,899.17,-229.29
27/09/2010,1054.21,957.5,1158.28,171.14
28/09/2010,1046.03,941.43,1152.93,-8.18
29/09/2010,1059.29,953.19,1172.92,13.26
30/09/2010,1230.28,1117.5,1392.08,170.99
01/10/2010,1164.84,1050.0,1268.89,-65.43
02/10/2010,1040.0,949.29,1107.5,-124.84
