date,modal_price,min_price,max_price,change
31/12/2009,5329.08,5175.67,5481.08,
01/01/2010,5686.12,5493.92,5945.16,357.04
02/01/2010,5270.0,4969.75,5509.6,-416.12
03/01/2010,3300.0,3300.0,3375.0,-1970.0
04/01/2010,5532.14,5116.38,5694.52,2232.14
05/01/2010,5373.33,5106.95,5522.95,-158.81
06/01/2010,5378.92,5228.24,5529.04,5.59
07/01/2010,5582.88,5269.5,5765.83,203.95
08/01/2010,5397.37,5031.47,5559.21,-185.51
09/01/2010,5190.91,4987.27,5348.23,-206.46
10/01/2010,5600.0,4750.0,5875.0,409.09
11/01/2010,5271.91,5057.23,5439.86,-328.09
12/01/2010,5453.89,5353.39,5521.78,181.98
13/01/2010,5378.73,5235.4,5482.47,-75.16
14/01/2010,5966.67,5966.67,6000.0,587.93
15/01/2010,5587.36,5491.0,5661.91,-379.3
16/01/2010,5443.33,5291.13,5562.13,-144.03
17/01/2010,5500.0,5000.0,5945.0,56.67
18/01/2010,5556.25,5401.88,5659.06,56.25
19/01/2010,5196.12,5012.94,5312.94,-360.13
20/01/2010,5437.08,5264.75,5511.33,240.97
21/01/2010,4955.62,4673.44,5031.56,-481.46
22/01/2010,5071.36,4870.07,5223.64,115.73
23/01/2010,5308.64,5108.71,5398.64,237.29
24/01/2010,5000.0,4500.0,5280.0,-308.64
25/01/2010,4939.56,4813.62,5002.38,-60.44
26/01/2010,5550.0,5300.0,5615.0,610.44
27/01/2010,5031.62,4784.56,5275.25,-518.38
28/01/2010,4680.81,4461.0,4888.5,-350.81
29/01/2010,4680.5,4443.0,4851.4,-0.31
30/01/2010,5050.5,5009.17,5105.0,370.0
31/01/2010,4500.0,4255.0,4755.0,-550.5
01/02/2010,4591.79,4378.0,4787.57,91.79
02/02/2010,4521.14,4412.71,4628.57,-70.64
03/02/2010,4686.64,4437.73,4794.55,165.49
04/02/2010,4728.7,4532.6,4888.5,42.06
05/02/2010,4776.33,4569.0,4881.8,47.63
06/02/2010,4736.77,4468.85,4907.0,-39.56
07/02/2010,4410.0,4101.67,4628.33,-326.77
08/02/2010,5239.3,5045.5,5351.0,829.3
09/02/2010,5342.58,5156.92,5510.5,103.28
10/02/2010,4769.13,4546.67,4902.73,-573.45
11/02/2010,4796.0,4531.22,4925.0,26.87
12/02/2010,5555.0,5525.0,5575.0,759.0
13/02/2010,4838.33,4383.22,5154.11,-716.67
14/02/2010,5650.0,5327.5,5777.5,811.67
15/02/2010,4995.08,4740.69,5149.54,-654.92
16/02/2010,4920.6,4684.5,5030.3,-74.48
17/02/2010,4948.62,4743.92,5061.0,28.02
18/02/2010,4876.21,4728.8,4984.43,-72.4
19/02/2010,4770.2,4407.0,4923.6,-106.01
20/02/2010,4885.0,4582.91,5010.27,114.8
21/02/2010,5100.0,4500.0,5365.0,215.0
22/02/2010,4972.07,4750.13,5098.13,-127.93
23/02/2010,5064.0,4850.7,5174.7,91.93
