date,modal_price,min_price,max_price,change
31/12/2009,3213.44,2980.9,3317.53,
01/01/2010,3226.94,3015.44,3324.18,13.5
02/01/2010,3215.15,3012.11,3317.34,-11.79
03/01/2010,3193.66,2976.63,3161.57,-21.49
04/01/2010,3218.84,2982.04,3304.0,25.18
05/01/2010,3199.43,3000.86,3302.68,-19.41
06/01/2010,3203.1,3003.38,3307.53,3.67
07/01/2010,3226.33,3007.22,3313.12,23.23
08/01/2010,3190.89,2965.21,3278.29,-35.44
09/01/2010,3190.49,2952.75,3268.95,-0.4
10/01/2010,3184.67,2910.97,3174.34,-5.82
11/01/2010,3170.26,2951.8,3259.17,-14.41
12/01/2010,3192.16,2960.81,3294.64,21.9
13/01/2010,3196.61,2973.15,3266.8,4.45
14/01/2010,3212.67,2990.3,3230.1,16.05
15/01/2010,3232.33,2991.55,3300.57,19.67
16/01/2010,3209.96,2973.75,3286.47,-22.37
17/01/2010,3244.09,2992.22,3177.5,34.13
18/01/2010,3173.82,2949.23,3258.99,-70.27
19/01/2010,3154.34,2939.19,3262.32,-19.48
20/01/2010,3154.65,2908.56,3233.32,0.31
21/01/2010,3183.29,2930.02,3272.79,28.64
22/01/2010,3180.95,2940.94,3257.36,-2.35
23/01/2010,3168.66,2927.62,3243.34,-12.28
24/01/2010,3197.56,2896.89,3163.71,28.89
25/01/2010,3141.17,2912.92,3211.39,-56.39
26/01/2010,3059.43,2878.99,3146.3,-81.73
27/01/2010,3096.48,2841.08,3170.65,37.05
28/01/2010,3082.5,2850.67,3187.86,-13.98
29/01/2010,3072.07,2857.23,3170.8,-10.42
30/01/2010,3105.34,2910.47,3184.8,33.26
31/01/2010,3026.77,2930.07,3111.83,-78.57
01/02/2010,3079.03,2858.92,3180.62,52.26
02/02/2010,3080.87,2868.93,3169.6,1.85
03/02/2010,3065.06,2860.46,3176.51,-15.81
04/02/2010,3085.09,2872.33,3180.73,20.03
05/02/2010,3074.44,2870.51,3180.22,-10.65
06/02/2010,3091.16,2860.97,3183.42,16.72
07/02/2010,3028.59,2898.52,3107.07,-62.57
08/02/2010,3076.72,2888.09,3173.5,48.14
09/02/2010,3072.76,2874.37,3162.13,-3.96
10/02/2010,3069.57,2829.57,3159.79,-3.19
11/02/2010,3106.25,2885.73,3203.37,36.68
12/02/2010,3061.44,2837.84,3136.62,-44.81
13/02/2010,3150.4,2928.36,3238.73,88.96
14/02/2010,3061.78,2971.96,3135.43,-88.62
15/02/2010,3122.39,2889.23,3226.13,60.61
16/02/2010,3120.7,2880.2,3230.03,-1.69
17/02/2010,3114.47,2898.99,3202.92,-6.24
18/02/2010,3107.16,2886.27,3198.47,-7.31
19/02/2010,3116.75,2873.46,3351.91,9.59
20/02/2010,3131.93,2935.24,3218.79,15.18
21/02/2010,3048.19,2960.19,3148.5,-83.74
22/02/2010,3130.03,2904.37,3232.0,81.85
23/02/2010,3112.72,2891.69,3216.95,-17.31
24/02/2010,3132.37,2901.81,3222.4,19.66
25/02/2010,3106.19,2888.49,3199.06,-26.18
26/02/2010,3090.56,2878.12,3181.76,-15.63
27/02/2010,3102.17,2883.87,3185.05,11.61
28/02/2010,3079.56,2998.75,3134.06,-22.61
01/03/2010,2956.17,2708.39,3082.75,-123.39
02/03/2010,3114.55,2902.06,3215.82,158.37
03/03/2010,3091.07,2858.97,3192.41,-23.48
