date,modal_price,min_price,max_price,change
31/12/2009,3273.07,2705.71,3757.14,
01/01/2010,3306.54,2857.8,3732.32,33.47
02/01/2010,3593.65,3085.38,4071.44,287.11
03/01/2010,2947.92,2643.75,3271.67,-645.74
04/01/2010,3191.41,2723.62,3602.24,243.5
05/01/2010,3095.11,2713.93,3508.77,-96.3
06/01/2010,3267.73,2794.22,3679.06,172.62
07/01/2010,3267.69,2830.49,3638.85,-0.05
08/01/2010,3016.81,2634.13,3407.1,-250.88
09/01/2010,3111.07,2762.5,3444.29,94.26
10/01/2010,2845.0,2606.52,3129.57,-266.07
11/01/2010,3004.79,2590.41,3380.93,159.79
12/01/2010,2992.3,2621.3,3550.33,-12.49
13/01/2010,3154.65,2735.7,3595.26,162.34
14/01/2010,2573.35,2311.54,2821.15,-581.3
15/01/2010,3533.66,3127.32,3943.75,960.31
16/01/2010,3560.19,3153.85,3972.79,26.53
17/01/2010,2900.87,2697.39,3170.87,-659.32
18/01/2010,2861.79,2444.93,3185.52,-39.08
19/01/2010,2959.79,2588.43,3359.79,97.99
20/01/2010,2988.25,2610.36,3384.2,28.46
21/01/2010,3274.23,2838.36,3629.67,285.98
22/01/2010,3108.19,2747.38,3493.02,-166.04
23/01/2010,3434.43,3052.69,3991.35,326.24
24/01/2010,2877.86,2640.48,3185.24,-556.58
25/01/2010,3035.74,2657.42,3409.24,157.89
26/01/2010,3221.68,2900.0,3540.91,185.94
27/01/2010,3149.07,2707.72,3539.12,-72.61
28/01/2010,3103.6,2659.29,3492.3,-45.47
29/01/2010,3061.7,2707.22,3403.06,-41.9
30/01/2010,3419.17,3007.92,3824.38,357.46
31/01/2010,2986.84,2742.11,3225.53,-432.32
01/02/2010,2742.28,2378.2,3063.91,-244.56
02/02/2010,2799.82,2497.62,3119.43,57.54
03/02/2010,3130.89,2769.35,3506.85,331.07
04/02/2010,3094.23,2710.0,3462.02,-36.66
05/02/2010,3186.67,2760.38,3552.08,92.44
06/02/2010,3575.88,3001.28,4092.13,389.2
07/02/2010,3702.5,3040.0,4345.5,126.63
08/02/2010,2848.11,2527.3,3198.03,-854.39
09/02/2010,3075.34,2677.17,3462.36,227.22
10/02/2010,2837.11,2477.46,3224.65,-238.23
11/02/2010,86398.11,61380.08,111398.03,83561.01
12/02/2010,2475.0,2241.76,2654.41,-83923.11
13/02/2010,367037.86,259417.14,474689.29,364562.86
14/02/2010,731259.29,516635.71,945797.86,364221.43
15/02/2010,3048.15,2583.71,3504.92,-728211.14
16/02/2010,2990.09,2571.94,3369.91,-58.06
17/02/2010,3215.39,2743.51,3631.0,225.3
18/02/2010,3255.57,2707.02,3683.56,40.17
19/02/2010,3114.9,2699.22,3480.1,-140.66
20/02/2010,3465.75,2959.0,3934.63,350.85
21/02/2010,2298.08,2034.62,2531.15,-1167.67
22/02/2010,3042.23,2631.8,3468.28,744.15
23/02/2010,3303.11,2837.34,3689.26,260.88
24/02/2010,2601.22,2324.15,2901.46,-701.89
25/02/2010,2875.0,2600.26,3090.92,273.78
26/02/2010,2989.08,2568.46,3213.08,114.08
27/02/2010,1727.27,1523.64,1858.18,-1261.8
28/02/2010,2694.44,2395.0,2957.22,967.17
01/03/2010,2648.82,2380.14,3169.19,-45.63
02/03/2010,2770.27,2402.59,3171.7,121.45
03/03/2010,2883.22,2375.0,3352.37,112.95
04/03/2010,2995.19,2571.09,3431.8,111.97
05/03/2010,2939.75,2465.89,3345.54,-55.44
06/03/2010,3249.78,2840.33,3726.44,310.03
07/03/2010,2859.0,2420.0,3239.0,-390.78
08/03/2010,2875.64,2460.88,3250.09,16.64
09/03/2010,3135.75,2592.88,3554.42,260.11
10/03/2010,2954.18,2518.45,3361.73,-181.57
11/03/2010,2902.42,2503.25,3294.75,-51.77
12/03/2010,3222.12,2805.71,3574.49,319.71
13/03/2010,3041.88,2546.25,3445.0,-180.25
14/03/2010,2792.73,2489.09,2958.18,-249.15
15/03/2010,3242.92,2775.17,3625.33,450.19
16/03/2010,1905.36,1657.86,2017.14,-1337.56
17/03/2010,2999.71,2574.81,3384.9,1094.35
18/03/2010,2965.96,2561.28,3349.15,-33.75
19/03/2010,3080.02,2677.55,3494.53,114.06
20/03/2010,3356.91,2913.02,3854.77,276.89
21/03/2010,1844.0,1660.0,1983.0,-1512.91
22/03/2010,2819.73,2411.69,3216.36,975.73
23/03/2010,2802.33,2423.73,3269.96,-17.4
24/03/2010,2792.14,2279.12,3324.58,-10.19
25/03/2010,2976.51,2545.53,3396.67,184.37
26/03/2010,3041.55,2607.81,3457.89,65.04
27/03/2010,3495.88,2934.88,4115.24,454.33
28/03/2010,1721.67,1579.44,1845.56,-1774.21
29/03/2010,2872.5,2508.89,3225.83,1150.83
30/03/2010,3209.57,2756.13,3669.34,337.07
31/03/2010,2983.67,2571.0,3355.8,-225.9
01/04/2010,3306.53,2798.5,3868.13,322.86
02/04/2010,2203.75,1906.25,2547.5,-1102.78
03/04/2010,3358.47,2830.92,3853.55,1154.72
04/04/2010,1612.5,1291.25,1781.25,-1745.97
05/04/2010,2987.81,2470.1,3495.63,1375.31
06/04/2010,3104.51,2610.98,3585.2,116.7
07/04/2010,3627.39,3112.83,4188.59,522.88
08/04/2010,3267.05,2732.95,3795.8,-360.35
09/04/2010,2792.19,2386.55,3250.36,-474.85
10/04/2010,2418.18,1950.0,2945.45,-374.01
11/04/2010,1412.5,1302.5,1532.5,-1005.68
12/04/2010,2758.6,2364.6,3175.6,1346.1
13/04/2010,3013.86,2583.53,3467.06,255.26
14/04/2010,3073.08,2565.38,3496.15,59.21
15/04/2010,3348.82,2860.44,3903.67,275.75
16/04/2010,3346.84,2915.7,3784.65,-1.98
17/04/2010,3758.38,3176.88,4427.5,411.53
18/04/2010,1181.25,1025.0,1343.75,-2577.13
19/04/2010,3149.74,2721.99,3568.16,1968.49
20/04/2010,3253.69,2807.07,3706.12,103.95
21/04/2010,3358.77,2931.48,3840.0,105.08
22/04/2010,3353.12,2859.9,3775.62,-5.66
23/04/2010,3065.06,2607.1,3523.3,-288.06
24/04/2010,3191.49,2650.73,3718.02,126.43
25/04/2010,1548.75,1192.5,1741.25,-1642.74
26/04/2010,2942.19,2516.54,3415.88,1393.44
