date,modal_price,min_price,max_price,change
31/12/2009,1794.64,1498.21,2053.39,
01/01/2010,1835.25,1603.38,2087.75,40.61
02/01/2010,1919.15,1657.03,2227.48,83.9
03/01/2010,1850.0,1421.43,2235.71,-69.15
04/01/2010,2073.59,1720.59,2441.18,223.59
05/01/2010,2164.83,1844.83,2430.52,91.24
06/01/2010,2190.13,1925.0,2454.58,25.3
07/01/2010,2115.48,1790.32,2357.0,-74.65
08/01/2010,2102.8,1866.0,2349.32,-12.68
09/01/2010,1753.13,1481.25,2012.5,-349.68
10/01/2010,1500.0,1238.0,1770.0,-253.13
11/01/2010,2041.29,1777.14,2302.09,541.29
12/01/2010,1931.82,1702.27,2149.39,-109.47
13/01/2010,2231.72,2029.31,2358.0,299.91
14/01/2010,1785.77,1482.88,2031.3,-445.95
15/01/2010,1987.1,1696.88,2251.88,201.33
16/01/2010,1984.72,1705.56,2242.78,-2.37
17/01/2010,1845.45,1493.18,2215.91,-139.27
18/01/2010,1903.13,1637.5,2173.13,57.67
19/01/2010,2128.34,1889.48,2385.58,225.22
20/01/2010,2053.78,1807.32,2293.9,-74.56
21/01/2010,1922.86,1666.43,2218.29,-130.92
22/01/2010,1766.61,1530.37,2009.63,-156.25
23/01/2010,1952.63,1653.25,2250.24,186.02
24/01/2010,1562.86,1435.0,1935.21,-389.77
25/01/2010,1858.26,1583.69,2149.42,295.4
26/01/2010,1752.14,1473.57,2047.5,-106.11
27/01/2010,1795.83,1534.38,2055.1,43.69
28/01/2010,2007.38,1749.09,2292.37,211.55
29/01/2010,1895.0,1574.2,2198.3,-112.38
30/01/2010,1848.05,1599.72,2121.51,-46.95
31/01/2010,1657.89,1431.58,1935.0,-190.15
01/02/2010,1724.23,1461.18,1959.7,66.33
02/02/2010,1747.88,1473.33,2037.4,23.65
03/02/2010,1856.52,1589.95,2127.3,108.64
04/02/2010,1779.56,1529.69,2087.31,-76.95
05/02/2010,1949.19,1675.48,2247.64,169.63
06/02/2010,1846.36,1530.47,2153.52,-102.83
07/02/2010,1818.83,1556.15,2138.27,-27.53
08/02/2010,1916.93,1638.87,2187.62,98.1
09/02/2010,1853.84,1533.13,2127.18,-63.1
10/02/2010,1831.99,1522.13,2101.85,-21.85
11/02/2010,1868.05,1537.65,2163.28,36.06
12/02/2010,1637.79,1406.0,1968.65,-230.26
13/02/2010,1649.46,1362.96,1920.0,11.67
14/02/2010,1696.94,1451.57,2004.86,47.47
15/02/2010,1798.58,1445.88,2034.22,101.64
16/02/2010,1736.41,1488.0,1992.33,-62.17
17/02/2010,1655.45,1394.87,1961.97,-80.96
18/02/2010,1691.24,1420.75,1946.35,35.79
19/02/2010,1820.31,1563.04,2081.06,129.07
20/02/2010,1613.45,1342.64,1908.8,-206.86
21/02/2010,1553.91,1358.75,1892.35,-59.54
22/02/2010,1800.83,1482.76,2041.3,246.91
23/02/2010,1604.34,1360.93,1860.51,-196.48
24/02/2010,1574.44,1346.57,1847.0,-29.9
25/02/2010,1718.38,1450.12,1912.91,143.94
26/02/2010,1618.65,1363.61,1909.11,-99.73
27/02/2010,1699.36,1462.68,1949.28,80.71
28/02/2010,1476.15,1343.89,1840.37,-223.21
01/03/2010,1825.22,1541.96,1930.0,349.07
02/03/2010,1851.88,1573.64,2089.18,26.65
03/03/2010,1879.31,1643.56,2068.33,27.44
04/03/2010,1844.8,1584.85,2088.42,-34.51
05/03/2010,1811.97,1599.85,2074.93,-32.84
06/03/2010,1518.66,1287.72,1762.42,-293.3
07/03/2010,1434.89,1176.81,1741.6,-83.77
08/03/2010,1738.21,1451.52,1957.1,303.32
09/03/2010,1673.62,1402.9,1896.7,-64.59
10/03/2010,1482.52,1279.74,1752.02,-191.11
11/03/2010,1530.45,1269.8,1772.47,47.93
12/03/2010,1660.75,1417.75,2013.69,130.3
13/03/2010,1415.41,1198.41,1678.49,-245.34
14/03/2010,1409.55,1256.02,1632.02,-5.87
15/03/2010,1565.26,1352.66,1779.79,155.72
16/03/2010,1588.74,1393.43,1802.09,23.48
17/03/2010,1556.54,1332.84,1782.4,-32.2
18/03/2010,1579.05,1321.26,1820.15,22.51
19/03/2010,1614.06,1362.26,1832.03,35.01
20/03/2010,1582.95,1319.19,1785.97,-31.11
21/03/2010,1437.8,1199.4,1659.33,-145.15
22/03/2010,1671.6,1386.77,1883.76,233.8
23/03/2010,1649.45,1350.8,1839.09,-22.15
24/03/2010,1575.65,1323.55,1835.05,-73.8
25/03/2010,1625.55,1369.95,1852.79,49.91
26/03/2010,1604.65,1363.33,1853.87,-20.9
27/03/2010,1524.34,1293.9,1797.02,-80.31
28/03/2010,1351.53,1156.06,1587.97,-172.81
29/03/2010,1640.84,1344.89,1919.78,289.31
30/03/2010,1690.41,1412.21,1968.84,49.57
31/03/2010,1595.39,1354.52,1895.59,-95.02
01/04/2010,1566.28,1312.27,1849.96,-29.11
02/04/2010,1566.03,1364.32,1835.28,-0.25
03/04/2010,1677.25,1455.66,1978.48,111.22
04/04/2010,1655.1,1370.94,1962.11,-22.16
05/04/2010,1689.92,1440.2,1961.8,34.83
06/04/2010,1841.85,1512.32,2205.41,151.93
