date,modal_price,min_price,max_price,change
31/12/2009,1842.01,1684.3,2065.97,
01/01/2010,1948.77,1827.52,2165.5,106.76
02/01/2010,1870.62,1754.54,2074.25,-78.15
03/01/2010,1805.08,1716.62,1927.25,-65.54
04/01/2010,1828.53,1706.4,2017.27,23.45
05/01/2010,1880.31,1759.96,2053.72,51.78
06/01/2010,1815.73,1699.45,2004.63,-64.58
07/01/2010,1842.39,1725.74,2044.52,26.66
08/01/2010,1934.86,1837.87,2154.64,92.47
09/01/2010,1835.85,1724.93,2059.9,-99.01
10/01/2010,1802.0,1710.44,1944.11,-33.85
11/01/2010,1850.98,1725.69,2054.77,48.98
12/01/2010,1988.86,1879.77,2216.07,137.89
13/01/2010,1852.78,1740.53,2055.35,-136.08
14/01/2010,1823.91,1728.79,2042.3,-28.87
15/01/2010,1905.81,1812.37,2113.85,81.9
16/01/2010,1867.38,1739.62,2092.52,-38.43
17/01/2010,1815.53,1744.83,1957.71,-51.85
18/01/2010,1883.08,1768.21,2110.11,67.55
19/01/2010,1916.54,1786.39,2108.01,33.46
20/01/2010,1838.57,1709.42,2053.81,-77.98
21/01/2010,1842.39,1730.92,2018.7,3.82
22/01/2010,1961.06,1843.79,2177.4,118.67
23/01/2010,1877.93,1754.15,2121.36,-83.13
24/01/2010,1800.44,1735.38,1954.09,-77.49
25/01/2010,1855.75,1739.82,2076.17,55.31
26/01/2010,1912.63,1819.76,2022.45,56.88
27/01/2010,1915.12,1791.41,2140.94,2.48
28/01/2010,1857.42,1728.72,2070.08,-57.7
29/01/2010,1884.42,1754.52,2114.6,27.0
30/01/2010,1844.13,1720.24,2069.98,-40.29
31/01/2010,1797.13,1730.55,1934.25,-47.0
01/02/2010,1886.39,1775.89,2100.6,89.26
02/02/2010,1945.47,1851.56,2159.32,59.08
03/02/2010,1859.71,1753.49,2085.2,-85.76
04/02/2010,1851.96,1739.83,2082.67,-7.75
05/02/2010,1932.39,1848.6,2171.88,80.43
06/02/2010,1862.18,1755.73,2104.21,-70.21
07/02/2010,1701.52,1638.59,1848.44,-160.67
08/02/2010,1892.17,1792.84,2118.19,190.65
09/02/2010,1939.92,1833.37,2168.87,47.75
10/02/2010,1892.12,1790.38,2101.98,-47.8
11/02/2010,1890.28,1786.4,2107.51,-1.84
12/02/2010,1750.33,1683.08,1936.26,-139.95
13/02/2010,1774.8,1690.72,2007.31,24.47
14/02/2010,1736.42,1681.05,1843.47,-38.38
15/02/2010,1872.93,1776.3,2055.2,136.51
16/02/2010,1961.32,1857.15,2183.32,88.39
17/02/2010,1853.59,1750.8,2056.13,-107.73
18/02/2010,1854.81,1750.26,2089.63,1.23
19/02/2010,1912.71,1866.22,2100.04,57.89
20/02/2010,1878.7,1761.95,2099.26,-34.01
21/02/2010,1728.34,1653.0,1847.41,-150.36
22/02/2010,1878.26,1768.54,2084.38,149.92
23/02/2010,1958.2,1847.7,2193.9,79.95
24/02/2010,1864.39,1754.85,2093.13,-93.82
25/02/2010,1887.71,1791.03,2097.26,23.33
26/02/2010,1849.29,1760.34,2086.12,-38.42
27/02/2010,1803.8,1755.93,2025.93,-45.49
28/02/2010,1743.63,1695.43,1909.03,-60.17
01/03/2010,1936.27,1814.51,2101.68,192.65
02/03/2010,1912.22,1776.07,2151.81,-24.05
03/03/2010,1836.53,1739.78,2059.98,-75.69
04/03/2010,1879.75,1790.22,2103.81,43.21
05/03/2010,1903.27,1836.82,2130.71,23.52
06/03/2010,1825.65,1734.7,2066.38,-77.62
07/03/2010,1712.72,1661.54,1850.0,-112.93
08/03/2010,1912.97,1811.59,2143.71,200.25
09/03/2010,1924.07,1830.16,2137.37,11.1
10/03/2010,1857.76,1758.01,2082.12,-66.31
11/03/2010,1884.83,1785.24,2117.48,27.07
12/03/2010,1940.72,1874.09,2170.83,55.89
13/03/2010,1780.79,1681.08,2042.43,-159.93
14/03/2010,1720.53,1675.91,1864.15,-60.26
15/03/2010,1897.37,1810.98,2122.09,176.84
16/03/2010,1907.39,1878.4,2125.05,10.03
17/03/2010,1828.48,1732.22,2062.02,-78.91
18/03/2010,1843.62,1749.43,2084.72,15.14
19/03/2010,1922.97,1832.84,2185.25,79.35
20/03/2010,1875.22,1768.2,2126.45,-47.75
21/03/2010,1700.43,1655.27,1841.26,-174.79
22/03/2010,1842.91,1745.36,2065.96,142.48
23/03/2010,1893.21,1836.15,2087.0,50.31
24/03/2010,1769.51,1702.61,1972.53,-123.7
25/03/2010,1855.1,1760.92,2083.29,85.59
26/03/2010,1897.29,1814.27,2141.01,42.19
27/03/2010,1901.32,1810.61,2165.0,4.03
28/03/2010,1754.84,1708.38,1891.27,-146.48
29/03/2010,1863.85,1757.62,2096.2,109.01
30/03/2010,1846.38,1767.1,2055.41,-17.47
31/03/2010,1846.2,1766.54,2060.43,-0.18
01/04/2010,1832.12,1742.89,2078.79,-14.09
02/04/2010,1737.71,1679.15,1997.28,-94.4
03/04/2010,1876.78,1791.94,2128.17,139.07
04/04/2010,1807.01,1787.35,1976.78,-69.77
05/04/2010,1859.74,1778.4,2116.9,52.72
06/04/2010,1955.81,1892.4,2198.78,96.08
07/04/2010,1874.24,1802.13,2115.07,-81.57
08/04/2010,1908.84,1821.99,2160.46,34.6
09/04/2010,1903.29,1846.06,2174.45,-5.55
10/04/2010,1809.7,1735.12,2084.71,-93.59
11/04/2010,1695.35,1695.05,1846.06,-114.35
12/04/2010,1866.49,1775.12,2091.04,171.14
13/04/2010,1893.26,1824.55,2116.05,26.77
14/04/2010,1771.8,1762.5,2008.01,-121.46
15/04/2010,1834.0,1747.36,2093.43,62.2
16/04/2010,1913.83,1849.01,2168.67,79.83
17/04/2010,1869.41,1797.53,2137.74,-44.42
18/04/2010,1735.0,1726.88,1906.75,-134.41
19/04/2010,1842.32,1760.67,2066.76,107.32
20/04/2010,1930.73,1862.77,2176.49,88.41
21/04/2010,1853.17,1778.51,2092.37,-77.57
22/04/2010,1872.78,1792.58,2121.4,19.62
23/04/2010,1927.15,1854.24,2178.46,54.37
24/04/2010,1840.6,1740.61,2094.46,-86.55
25/04/2010,1721.61,1701.49,1864.79,-118.99
26/04/2010,1840.5,1750.81,2056.2,118.89
27/04/2010,1882.82,1768.64,2154.05,42.32
28/04/2010,1850.39,1771.93,2100.22,-32.43
29/04/2010,1841.9,1763.46,2071.48,-8.49
30/04/2010,1916.93,1833.4,2144.84,75.03
01/05/2010,1752.6,1748.24,1920.32,-164.33
02/05/2010,1703.64,1683.16,1868.45,-48.96
03/05/2010,1833.64,1755.06,2043.11,130.0
04/05/2010,1929.68,1846.59,2181.71,96.04
05/05/2010,1857.48,1770.54,2091.95,-72.2
06/05/2010,1865.59,1788.78,2102.87,8.11
07/05/2010,1919.74,1840.95,2167.86,54.15
08/05/2010,1830.12,1785.31,2036.7,-89.63
09/05/2010,1796.68,1774.37,1977.83,-33.44
10/05/2010,1833.3,1733.25,2047.49,36.63
11/05/2010,1959.4,1844.84,2173.07,126.1
12/05/2010,1872.15,1802.15,2121.25,-87.26
13/05/2010,1887.83,1816.56,2142.22,15.68
14/05/2010,1916.57,1870.2,2244.94,28.74
15/05/2010,1816.05,1758.33,2047.71,-100.52
16/05/2010,1837.57,1837.69,2017.0,21.52
17/05/2010,1884.23,1804.9,2103.2,46.66
18/05/2010,1947.9,1890.56,2169.22,63.67
19/05/2010,1851.69,1791.02,2082.06,-96.22
20/05/2010,1886.65,1820.81,2127.74,34.96
21/05/2010,1939.65,1868.42,2190.97,53.0
22/05/2010,1896.42,1829.72,2147.06,-43.23
23/05/2010,1701.09,1691.26,1845.37,-195.33
24/05/2010,1899.38,1822.28,2142.47,198.29
25/05/2010,1975.81,1886.86,2195.03,76.43
26/05/2010,1873.04,1797.53,2103.88,-102.76
27/05/2010,1922.65,1837.29,2140.32,49.6
28/05/2010,1972.46,1897.7,2233.74,49.81
29/05/2010,1908.13,1813.53,2153.69,-64.33
30/05/2010,1749.79,1734.66,1891.69,-158.34
31/05/2010,1919.03,1829.74,2141.13,169.23
01/06/2010,1968.32,1904.49,2203.91,49.3
02/06/2010,1863.88,1806.69,2109.59,-104.45
03/06/2010,1895.41,1820.17,2125.14,31.53
04/06/2010,1942.75,1881.83,2186.48,47.34
05/06/2010,1848.48,1761.67,2087.49,-94.27
06/06/2010,1765.4,1763.52,1934.95,-83.08
07/06/2010,1901.28,1819.35,2113.74,135.88
08/06/2010,1978.26,1890.36,2209.39,76.98
09/06/2010,1913.64,1851.35,2154.04,-64.62
10/06/2010,1913.9,1840.94,2162.34,0.27
11/06/2010,1961.6,1901.99,2217.77,47.7
12/06/2010,1830.48,1765.06,2089.79,-131.12
13/06/2010,1752.78,1741.02,1910.43,-77.71
14/06/2010,1933.58,1858.75,2167.31,180.8
15/06/2010,1977.51,1916.85,2208.26,43.93
16/06/2010,1886.37,1839.8,2115.98,-91.14
17/06/2010,1894.17,1837.25,2114.82,7.81
18/06/2010,1937.46,1872.0,2202.8,43.28
19/06/2010,1863.52,1779.85,2102.88,-73.94
20/06/2010,1723.09,1707.36,1893.88,-140.43
21/06/2010,1902.28,1832.45,2124.95,179.19
22/06/2010,1985.51,1919.11,2206.44,83.22
23/06/2010,1925.25,1858.9,2161.31,-60.26
24/06/2010,1935.23,1851.27,2189.84,9.99
25/06/2010,1941.93,1905.39,2186.43,6.69
26/06/2010,1916.45,1853.23,2145.74,-25.47
27/06/2010,1810.1,1808.25,1992.11,-106.35
28/06/2010,1931.5,1854.85,2147.52,121.4
29/06/2010,1990.9,1913.05,2217.4,59.4
30/06/2010,1943.94,1902.08,2162.26,-46.96
01/07/2010,1933.51,1845.25,2165.15,-10.43
02/07/2010,1995.23,1936.2,2271.01,61.72
03/07/2010,1939.38,1871.69,2207.01,-55.85
04/07/2010,1824.39,1805.47,2004.63,-114.99
05/07/2010,1869.12,1817.6,2124.41,44.73
06/07/2010,2074.57,2027.74,2308.43,205.45
07/07/2010,1963.99,1907.5,2206.81,-110.58
08/07/2010,1948.17,1863.98,2202.97,-15.81
09/07/2010,1986.45,1911.98,2252.64,38.27
10/07/2010,1919.17,1837.61,2196.31,-67.28
11/07/2010,1794.4,1780.31,1981.44,-124.77
12/07/2010,1971.35,1901.73,2213.0,176.95
13/07/2010,2029.35,1971.44,2265.2,58.0
14/07/2010,1915.73,1862.03,2158.25,-113.62
15/07/2010,1972.48,1873.24,2229.85,56.75
16/07/2010,2022.84,1982.93,2301.86,50.36
17/07/2010,1959.98,1898.82,2210.22,-62.86
18/07/2010,1808.68,1800.75,2004.89,-151.3
19/07/2010,1976.54,1920.51,2216.48,167.86
20/07/2010,2048.7,1987.39,2307.32,72.16
21/07/2010,1933.79,1866.89,2203.55,-114.91
22/07/2010,1973.72,1882.46,2225.83,39.93
23/07/2010,2036.08,1958.12,2277.56,62.36
24/07/2010,1957.21,1886.37,2172.72,-78.87
25/07/2010,1835.38,1804.06,2000.85,-121.83
26/07/2010,1983.63,1896.28,2215.61,148.26
27/07/2010,2089.89,2017.12,2329.23,106.26
28/07/2010,2005.72,1935.94,2238.51,-84.17
29/07/2010,1935.35,1840.37,2169.61,-70.37
30/07/2010,2053.68,1976.51,2304.81,118.33
31/07/2010,2002.86,1902.21,2234.29,-50.82
01/08/2010,1840.61,1798.77,2012.2,-162.26
02/08/2010,1984.55,1898.49,2225.03,143.95
03/08/2010,2003.16,1955.9,2223.89,18.61
04/08/2010,1972.42,1916.69,2223.9,-30.74
05/08/2010,1921.72,1860.02,2166.51,-50.7
06/08/2010,2024.3,1985.43,2267.56,102.58
07/08/2010,1954.0,1886.41,2181.53,-70.3
08/08/2010,1862.49,1862.76,2065.1,-91.51
09/08/2010,1940.53,1862.44,2179.81,78.03
10/08/2010,2030.36,1980.12,2273.28,89.83
11/08/2010,1952.03,1890.95,2189.45,-78.32
12/08/2010,1942.1,1874.81,2166.6,-9.93
13/08/2010,2023.21,1964.72,2265.63,81.11
14/08/2010,1949.07,1902.13,2192.3,-74.14
15/08/2010,1961.99,1900.7,2106.74,12.92
16/08/2010,1999.54,1915.34,2225.17,37.55
17/08/2010,2010.5,1920.71,2274.97,10.96
18/08/2010,1992.2,1916.99,2225.9,-18.3
19/08/2010,1965.52,1911.64,2174.11,-26.69
20/08/2010,2008.27,1962.54,2238.12,42.76
21/08/2010,1985.76,1901.59,2228.93,-22.51
22/08/2010,1882.12,1860.53,2066.8,-103.63
23/08/2010,1965.32,1888.66,2211.28,83.2
24/08/2010,2000.02,1907.32,2228.86,34.7
25/08/2010,1963.72,1883.45,2185.19,-36.3
26/08/2010,1972.54,1890.76,2191.97,8.82
27/08/2010,2032.95,1964.6,2295.02,60.41
28/08/2010,2001.05,1934.17,2261.52,-31.9
29/08/2010,1922.21,1903.83,2114.59,-78.84
30/08/2010,2044.31,1960.53,2285.11,122.1
31/08/2010,2110.96,2003.47,2341.41,66.65
01/09/2010,1980.34,1928.46,2244.39,-130.62
02/09/2010,1969.47,1928.48,2163.55,-10.87
03/09/2010,2041.51,2010.12,2271.33,72.05
04/09/2010,1989.34,1929.15,2240.66,-52.18
05/09/2010,1921.32,1894.04,2107.28,-68.01
06/09/2010,1986.58,1903.03,2221.51,65.25
07/09/2010,1928.72,1828.36,2208.38,-57.86
08/09/2010,1964.07,1920.04,2190.63,35.35
09/09/2010,1999.11,1949.86,2233.3,35.05
10/09/2010,1910.75,1909.01,2106.83,-88.36
11/09/2010,1919.46,1905.45,2083.02,8.71
12/09/2010,1933.71,1920.77,2123.07,14.25
13/09/2010,1998.2,1940.46,2250.81,64.48
14/09/2010,2043.35,2009.06,2278.63,45.16
15/09/2010,2025.97,1965.84,2250.1,-17.38
16/09/2010,1997.75,1943.49,2222.34,-28.22
17/09/2010,2084.99,2024.37,2339.61,87.24
18/09/2010,1974.99,1904.43,2246.15,-110.0
19/09/2010,1924.47,1929.32,2107.32,-50.52
20/09/2010,2008.63,1943.67,2248.53,84.16
21/09/2010,1969.55,1895.63,2198.36,-39.08
22/09/2010,2011.05,1947.77,2220.97,41.5
23/09/2010,2033.26,1940.99,2273.4,22.21
24/09/2010,2075.46,2005.29,2340.12,42.2
25/09/2010,1989.55,1927.44,2242.61,-85.91
26/09/2010,1987.18,1967.76,2158.58,-2.37
27/09/2010,2029.26,1945.54,2275.1,42.09
28/09/2010,2083.25,2012.66,2328.81,53.99
29/09/2010,2053.34,1966.05,2291.42,-29.91
30/09/2010,2015.29,1906.09,2242.61,-38.04
01/10/2010,2031.27,1986.98,2287.9,15.97
02/10/2010,1953.55,1922.32,2154.12,-77.72
03/10/2010,1952.22,1931.67,2124.86,-1.33
04/10/2010,2024.64,1961.51,2258.59,72.42
05/10/2010,2065.9,2026.55,2305.56,41.26
06/10/2010,1984.45,1915.17,2230.81,-81.45
07/10/2010,1993.15,1943.7,2252.72,8.7
08/10/2010,2046.64,1971.74,2275.68,53.49
09/10/2010,1963.57,1910.22,2218.7,-83.07
10/10/2010,1930.86,1923.7,2093.74,-32.71
11/10/2010,1993.89,1914.73,2215.59,63.03
12/10/2010,2047.57,1992.9,2265.49,53.67
13/10/2010,1991.16,1936.16,2229.1,-56.41
14/10/2010,1947.62,1848.88,2206.12,-43.54
15/10/2010,2055.36,1996.27,2337.7,107.73
16/10/2010,1909.12,1830.4,2122.85,-146.24
17/10/2010,1915.34,1928.53,2073.73,6.22
18/10/2010,2000.45,1919.48,2256.91,85.12
19/10/2010,2096.1,2042.4,2336.38,95.65
