date,modal_price,min_price,max_price,change
31/12/2009,911.42,870.24,944.69,
01/01/2010,921.9,880.27,953.63,10.48
02/01/2010,904.8,868.98,935.68,-17.1
03/01/2010,873.77,845.56,894.61,-31.03
04/01/2010,893.36,859.13,920.76,19.59
05/01/2010,908.35,870.51,936.52,14.99
06/01/2010,923.13,885.61,953.74,14.78
07/01/2010,903.85,864.21,932.83,-19.27
08/01/2010,899.54,863.15,929.17,-4.31
09/01/2010,906.6,878.66,932.76,7.05
10/01/2010,882.31,846.2,904.32,-24.29
11/01/2010,895.95,856.73,926.15,13.64
12/01/2010,900.19,862.42,962.44,4.24
13/01/2010,914.52,878.48,941.29,14.33
14/01/2010,912.36,895.7,956.68,-2.16
15/01/2010,905.74,873.59,929.13,-6.62
16/01/2010,905.92,871.47,929.26,0.18
17/01/2010,886.6,859.97,908.36,-19.32
18/01/2010,900.56,860.71,924.2,13.96
19/01/2010,901.63,868.38,960.59,1.07
20/01/2010,903.16,865.59,927.09,1.53
21/01/2010,907.31,871.07,930.6,4.15
22/01/2010,900.22,866.83,920.56,-7.09
23/01/2010,902.29,871.21,925.97,2.07
24/01/2010,884.88,856.27,905.5,-17.42
25/01/2010,889.08,857.18,912.37,4.2
26/01/2010,878.53,853.53,897.91,-10.55
27/01/2010,900.87,867.3,923.12,22.34
28/01/2010,907.24,879.55,930.97,6.38
29/01/2010,900.76,865.76,924.75,-6.48
30/01/2010,897.41,870.36,914.48,-3.35
31/01/2010,873.45,850.51,890.63,-23.96
01/02/2010,907.02,870.74,932.31,33.57
02/02/2010,901.3,866.33,923.06,-5.72
03/02/2010,913.07,877.07,940.23,11.77
04/02/2010,896.29,861.9,919.95,-16.79
05/02/2010,901.8,865.7,929.69,5.52
06/02/2010,906.16,873.67,927.82,4.36
07/02/2010,872.64,841.62,902.36,-33.52
08/02/2010,897.96,864.01,917.27,25.32
09/02/2010,904.45,866.81,964.37,6.49
10/02/2010,903.0,866.41,925.87,-1.44
11/02/2010,901.87,868.69,924.66,-1.13
12/02/2010,908.62,865.58,926.58,6.74
13/02/2010,929.01,896.34,952.74,20.39
14/02/2010,896.67,868.26,914.95,-32.34
15/02/2010,888.34,855.91,911.8,-8.34
16/02/2010,886.4,853.56,903.97,-1.94
17/02/2010,917.71,882.33,941.0,31.31
18/02/2010,896.1,863.42,915.24,-21.61
19/02/2010,911.74,876.93,931.54,15.64
20/02/2010,895.6,865.52,965.64,-16.14
21/02/2010,863.45,840.21,876.98,-32.15
22/02/2010,890.34,855.17,913.4,26.89
23/02/2010,889.44,858.03,912.68,-0.9
24/02/2010,910.48,879.18,937.76,21.04
25/02/2010,904.06,868.29,931.78,-6.42
26/02/2010,912.38,876.08,932.25,8.33
27/02/2010,909.28,885.07,925.52,-3.1
28/02/2010,852.17,817.39,870.08,-57.11
01/03/2010,858.53,831.82,886.75,6.36
02/03/2010,890.22,860.07,910.99,31.69
03/03/2010,900.95,864.02,924.64,10.73
04/03/2010,896.89,864.43,916.9,-4.06
05/03/2010,898.55,856.49,923.73,1.66
06/03/2010,893.51,859.65,918.45,-5.04
07/03/2010,873.63,845.65,888.97,-19.88
08/03/2010,903.58,865.98,927.42,29.95
09/03/2010,887.44,852.97,951.27,-16.14
10/03/2010,893.76,859.91,915.7,6.32
11/03/2010,893.74,863.15,913.27,-0.01
12/03/2010,895.08,861.7,917.51,1.33
13/03/2010,905.8,859.8,928.22,10.72
14/03/2010,911.21,882.78,935.95,5.41
15/03/2010,904.28,870.79,930.01,-6.93
16/03/2010,945.37,914.09,974.68,41.08
17/03/2010,890.11,859.87,912.64,-55.25
18/03/2010,905.5,872.81,930.01,15.39
19/03/2010,890.38,855.09,911.44,-15.12
20/03/2010,900.01,865.55,923.09,9.63
21/03/2010,864.21,841.55,880.26,-35.8
22/03/2010,884.46,844.7,907.85,20.25
23/03/2010,899.09,858.44,923.36,14.63
24/03/2010,881.53,844.18,902.54,-17.57
25/03/2010,875.4,842.48,894.3,-6.13
26/03/2010,880.08,846.6,901.6,4.68
27/03/2010,869.61,839.31,887.6,-10.47
28/03/2010,868.42,836.45,893.9,-1.19
29/03/2010,878.96,845.04,899.21,10.54
30/03/2010,892.7,857.59,919.38,13.74
31/03/2010,897.28,858.31,920.56,4.58
01/04/2010,891.42,856.43,909.49,-5.86
02/04/2010,908.57,866.86,927.63,17.15
03/04/2010,896.84,865.72,919.46,-11.74
04/04/2010,881.76,850.32,893.35,-15.07
05/04/2010,901.85,864.71,925.53,20.08
06/04/2010,897.54,866.34,922.02,-4.3
07/04/2010,896.19,864.9,915.78,-1.36
08/04/2010,901.24,865.58,925.79,5.06
09/04/2010,904.5,868.62,928.4,3.26
10/04/2010,913.93,858.5,911.65,9.43
11/04/2010,873.63,840.96,888.72,-40.31
12/04/2010,900.09,855.91,927.04,26.46
13/04/2010,910.44,877.58,935.26,10.35
14/04/2010,924.13,890.55,948.0,13.68
