date,modal_price,min_price,max_price,change
31/12/2009,3781.68,2876.82,4368.69,
01/01/2010,3952.89,3287.64,4555.51,171.2
02/01/2010,4078.89,3402.0,4703.2,126.01
03/01/2010,3352.91,2680.4,3826.54,-725.98
04/01/2010,3957.36,3239.11,4646.94,604.45
05/01/2010,3465.13,2812.1,4132.26,-492.23
06/01/2010,3980.37,3452.53,4556.43,515.24
07/01/2010,3887.94,3303.09,4493.09,-92.42
08/01/2010,4203.52,3602.68,4694.49,315.58
09/01/2010,3800.44,3008.1,4556.47,-403.08
10/01/2010,3492.62,2538.64,4370.0,-307.82
11/01/2010,4124.54,3432.14,4989.47,631.92
12/01/2010,4134.21,3348.95,4610.42,9.67
13/01/2010,3735.04,3097.11,4338.76,-399.17
14/01/2010,3926.08,3318.95,4510.27,191.03
15/01/2010,4499.83,3642.57,4986.92,573.75
16/01/2010,4288.49,3413.78,4812.46,-211.34
17/01/2010,3096.88,2557.17,3734.23,-1191.61
18/01/2010,4328.37,3612.14,4926.56,1231.5
19/01/2010,4434.78,3818.23,5084.76,106.4
20/01/2010,4503.69,3693.04,5184.67,68.92
21/01/2010,4682.67,3864.84,5448.4,178.97
22/01/2010,4923.26,3920.47,5697.56,240.59
23/01/2010,4632.23,3858.62,5341.49,-291.03
24/01/2010,3909.48,3178.79,4611.17,-722.75
25/01/2010,4778.7,3839.67,5515.05,869.22
26/01/2010,4255.21,3223.0,5186.0,-523.49
27/01/2010,4703.26,4013.73,5543.89,448.05
28/01/2010,4474.58,3641.3,5425.43,-228.68
29/01/2010,4772.04,4103.91,5554.29,297.46
30/01/2010,3747.94,2806.76,4660.91,-1024.1
31/01/2010,3149.67,1960.31,4232.35,-598.28
01/02/2010,4294.43,3487.07,5238.45,1144.76
02/02/2010,4649.02,3595.53,5341.31,354.59
03/02/2010,4267.52,3411.2,5114.02,-381.5
04/02/2010,4631.62,4072.66,5415.27,364.1
05/02/2010,4411.3,3599.12,5201.66,-220.32
06/02/2010,4250.4,3327.98,5240.63,-160.91
07/02/2010,3917.96,3104.44,4601.43,-332.43
08/02/2010,4543.11,3870.61,5467.98,625.15
09/02/2010,5078.11,4206.82,5925.93,535.0
10/02/2010,4979.98,4116.44,5884.61,-98.13
11/02/2010,4954.23,4185.42,5822.5,-25.75
12/02/2010,4875.78,3953.85,5651.5,-78.45
13/02/2010,4496.17,3570.0,5517.83,-379.61
14/02/2010,4412.0,3675.0,5091.45,-84.17
15/02/2010,4767.19,4108.57,5647.76,355.19
16/02/2010,5122.66,4351.28,5864.18,355.47
17/02/2010,4653.84,3851.26,5729.25,-468.82
18/02/2010,5038.68,4148.18,5892.2,384.84
19/02/2010,5374.35,4652.72,6278.77,335.67
20/02/2010,4844.17,4033.03,5825.0,-530.18
21/02/2010,4323.33,3642.0,5083.5,-520.84
22/02/2010,5258.94,4551.72,6134.43,935.61
23/02/2010,5331.52,4567.11,6261.17,72.59
24/02/2010,5282.92,4297.08,6128.11,-48.6
25/02/2010,5458.61,4680.22,6232.06,175.69
26/02/2010,5306.7,4370.31,6030.52,-151.9
27/02/2010,5210.57,4217.27,6245.0,-96.13
28/02/2010,4779.33,4206.07,5634.33,-431.24
01/03/2010,5094.44,4437.5,5825.0,315.11
02/03/2010,5393.65,4751.52,6166.76,299.2
03/03/2010,5399.28,4759.65,6325.98,5.63
04/03/2010,5089.02,4158.93,6123.88,-310.26
05/03/2010,5500.73,4696.03,6339.29,411.71
06/03/2010,5551.4,4664.46,6632.54,50.67
07/03/2010,5149.29,4051.84,6327.73,-402.11
08/03/2010,5659.97,4689.71,6792.81,510.69
09/03/2010,5601.71,4737.07,6363.66,-58.26
10/03/2010,5517.02,4581.31,6313.96,-84.69
11/03/2010,5605.9,4644.88,6377.44,88.88
12/03/2010,4990.38,3915.5,5836.54,-615.52
13/03/2010,4894.64,3955.97,5739.94,-95.74
14/03/2010,5042.89,3858.82,6205.79,148.26
15/03/2010,5521.29,4556.48,6679.75,478.4
16/03/2010,5306.93,4456.79,6290.32,-214.36
17/03/2010,5209.18,4212.78,6126.13,-97.75
18/03/2010,5369.8,4406.79,6350.4,160.62
19/03/2010,5599.38,4542.61,6526.89,229.57
20/03/2010,5440.91,4509.21,6413.86,-158.46
21/03/2010,4867.62,3919.74,5982.5,-573.29
22/03/2010,5571.57,4520.97,6602.97,703.96
23/03/2010,5775.24,5031.97,6736.92,203.66
24/03/2010,5023.33,4200.0,6047.83,-751.9
25/03/2010,5426.74,4377.7,6190.34,403.41
26/03/2010,6221.09,5091.88,7203.32,794.35
27/03/2010,5476.54,4348.29,6328.14,-744.55
28/03/2010,5215.38,3950.0,6167.86,-261.16
29/03/2010,6025.72,5120.83,6903.23,810.33
30/03/2010,5570.73,4670.14,6616.67,-454.99
31/03/2010,5702.91,4666.41,6868.38,132.19
01/04/2010,5972.27,4897.44,6967.07,269.36
02/04/2010,6311.57,5456.25,7121.5,339.3
03/04/2010,5889.16,4770.14,6863.51,-422.41
04/04/2010,5432.61,4464.78,6190.5,-456.55
05/04/2010,6122.92,4969.7,7072.79,690.31
06/04/2010,5520.89,4548.03,6403.75,-602.02
07/04/2010,6055.74,4925.69,7107.69,534.84
08/04/2010,6056.81,5098.33,6996.45,1.07
09/04/2010,6189.13,5053.07,7314.82,132.32
10/04/2010,4787.58,3676.75,5810.79,-1401.55
11/04/2010,6198.22,5070.83,6597.37,1410.65
12/04/2010,5997.78,5182.17,7031.71,-200.44
13/04/2010,5699.32,5015.12,6368.34,-298.46
14/04/2010,5552.69,4633.23,6520.59,-146.63
15/04/2010,5385.97,4458.33,6057.49,-166.72
16/04/2010,6129.97,5165.17,7166.68,744.0
17/04/2010,5944.72,5143.9,6926.56,-185.25
18/04/2010,5114.14,4182.62,5731.82,-830.58
19/04/2010,5612.29,4613.89,6487.95,498.15
20/04/2010,5532.62,4341.31,6407.84,-79.67
21/04/2010,5648.9,4578.54,6756.15,116.28
22/04/2010,5716.17,4779.31,6602.9,67.27
23/04/2010,6072.29,5089.15,7073.22,356.12
24/04/2010,5639.24,4767.5,6270.24,-433.06
25/04/2010,4890.38,4023.57,5610.0,-748.85
26/04/2010,5638.3,4466.67,6738.16,747.92
27/04/2010,6102.68,4943.0,7329.5,464.38
28/04/2010,6168.71,5079.3,6843.13,66.03
29/04/2010,5840.43,4832.5,6730.0,-328.28
30/04/2010,5918.76,4872.12,6840.38,78.33
01/05/2010,6959.04,6018.48,8053.05,1040.28
02/05/2010,5440.0,4808.33,6168.75,-1519.04
03/05/2010,6920.28,5867.5,8025.71,1480.28
04/05/2010,6547.11,5400.0,6919.93,-373.17
05/05/2010,5381.79,4534.24,6246.31,-1165.32
06/05/2010,5651.15,4850.69,6586.79,269.36
07/05/2010,5965.53,5004.38,6758.34,314.38
08/05/2010,5614.81,4811.48,6419.69,-350.71
09/05/2010,5476.67,4439.64,6960.71,-138.15
10/05/2010,5707.55,4914.38,6628.86,230.89
11/05/2010,5565.83,4894.85,6554.87,-141.72
12/05/2010,5687.94,4857.53,6272.2,122.11
13/05/2010,5118.37,4567.78,5729.94,-569.57
14/05/2010,5219.88,4250.0,5870.52,101.51
15/05/2010,4385.03,3655.8,5091.03,-834.85
16/05/2010,4970.38,3887.5,6007.14,585.36
17/05/2010,4905.16,4087.33,5922.0,-65.22
18/05/2010,5579.27,4652.56,6307.97,674.11
19/05/2010,5572.39,4848.26,6405.98,-6.88
20/05/2010,5396.82,4659.03,6268.38,-175.57
21/05/2010,5462.74,4183.29,6228.47,65.92
22/05/2010,5222.14,4251.17,5956.62,-240.6
23/05/2010,5870.0,5116.19,6563.67,647.86
24/05/2010,6458.57,5758.31,7378.69,588.57
25/05/2010,5900.44,5063.51,6572.69,-558.12
26/05/2010,5779.0,4752.78,6510.49,-121.44
27/05/2010,4854.38,4238.08,5657.67,-924.63
28/05/2010,5877.46,4875.95,6682.11,1023.09
