date,modal_price,min_price,max_price,change
31/12/2009,5273.35,5061.42,5463.41,
01/01/2010,5791.48,5548.53,6036.24,518.13
02/01/2010,5594.24,5267.73,5794.96,-197.24
03/01/2010,4687.88,4323.71,4655.79,-906.37
04/01/2010,5510.61,5154.89,5718.33,822.73
05/01/2010,5269.03,4937.27,5435.61,-241.58
06/01/2010,5416.45,5114.02,5619.05,147.42
07/01/2010,5389.82,5095.73,5609.94,-26.63
08/01/2010,5472.43,5178.44,5696.57,82.61
09/01/2010,5195.39,4864.67,5413.81,-277.04
10/01/2010,4666.07,4402.86,4794.64,-529.32
11/01/2010,5385.01,5137.77,5609.77,718.95
12/01/2010,5463.91,5197.6,5667.36,78.89
13/01/2010,5303.75,5049.85,5557.52,-160.15
14/01/2010,5338.44,5137.09,5635.5,34.69
15/01/2010,5527.6,5295.42,5718.06,189.16
16/01/2010,5283.62,5018.94,5504.34,-243.99
17/01/2010,4891.12,4670.0,5083.33,-392.49
18/01/2010,5529.62,5229.01,5712.54,638.49
19/01/2010,5324.84,5114.35,5489.65,-204.77
20/01/2010,5451.13,5217.62,5611.72,126.29
21/01/2010,5276.76,4983.15,5471.91,-174.37
22/01/2010,5339.23,5111.88,5527.11,62.47
23/01/2010,5240.72,4995.84,5384.58,-98.52
24/01/2010,5187.47,4914.08,5276.92,-53.25
25/01/2010,5228.79,4941.44,5412.3,41.32
26/01/2010,5343.54,5154.69,5504.69,114.75
27/01/2010,5180.32,4853.28,5367.76,-163.21
28/01/2010,5032.5,4754.54,5202.74,-147.82
29/01/2010,4903.89,4593.13,5111.46,-128.61
30/01/2010,5154.23,4829.73,5363.59,250.35
31/01/2010,4442.13,4189.14,4568.79,-712.1
01/02/2010,4935.88,4548.91,5142.74,493.75
02/02/2010,4759.97,4475.77,4929.57,-175.91
03/02/2010,4814.09,4563.56,4979.43,54.11
04/02/2010,4962.53,4696.79,5166.34,148.44
05/02/2010,4884.9,4652.76,5064.29,-77.62
06/02/2010,4867.07,4677.37,5112.08,-17.83
07/02/2010,4972.92,4707.5,5120.5,105.85
08/02/2010,5243.65,5028.16,5500.7,270.74
09/02/2010,5135.21,4773.12,5336.12,-108.44
10/02/2010,4954.84,4728.18,5109.82,-180.37
11/02/2010,5080.7,4814.53,5230.79,125.86
12/02/2010,5146.52,4759.4,5345.46,65.82
13/02/2010,5240.87,5132.97,5480.89,94.35
14/02/2010,4018.88,3762.29,4206.89,-1221.99
15/02/2010,4995.14,4771.83,5194.43,976.27
16/02/2010,5009.71,4687.38,5162.16,14.56
17/02/2010,5053.56,4808.96,5193.93,43.85
18/02/2010,4937.39,4689.7,5076.64,-116.17
19/02/2010,4931.35,4655.23,5073.12,-6.04
20/02/2010,4984.14,4669.63,5124.73,52.78
21/02/2010,4592.8,4223.64,4587.09,-391.34
22/02/2010,5186.72,4943.43,5346.26,593.92
23/02/2010,5027.88,4767.12,5193.25,-158.84
24/02/2010,5104.48,4731.88,5215.81,76.6
25/02/2010,4851.18,4528.87,4985.4,-253.3
26/02/2010,4903.38,4679.36,5109.32,52.19
27/02/2010,5121.05,5041.59,5393.12,217.68
28/02/2010,4435.83,3978.75,4078.75,-685.22
01/03/2010,5438.04,5025.68,5600.2,1002.21
02/03/2010,4837.83,4556.85,4985.69,-600.21
03/03/2010,4870.3,4628.47,5088.22,32.47
04/03/2010,4882.24,4667.78,5024.94,11.95
05/03/2010,5173.56,4902.56,5373.39,291.31
06/03/2010,4704.98,4521.22,4881.1,-468.58
07/03/2010,4430.88,4188.57,4607.67,-274.1
08/03/2010,5069.95,4747.41,5263.08,639.08
09/03/2010,5130.43,4932.52,5320.53,60.48
10/03/2010,5016.49,4774.38,5180.08,-113.94
11/03/2010,4823.87,4522.13,5024.37,-192.63
12/03/2010,5012.24,4667.81,5289.49,188.37
13/03/2010,4892.97,4503.74,5132.41,-119.27
14/03/2010,4312.36,4146.0,4514.0,-580.61
15/03/2010,5147.62,5016.3,5404.31,835.26
16/03/2010,5050.26,4784.07,5271.07,-97.36
17/03/2010,5061.74,4893.31,5240.04,11.48
18/03/2010,5263.08,5081.59,5430.42,201.34
19/03/2010,5039.05,4874.5,5227.04,-224.03
20/03/2010,5137.88,5001.96,5314.05,98.83
21/03/2010,4867.5,4630.29,4805.14,-270.38
22/03/2010,5227.73,5090.1,5407.03,360.23
23/03/2010,5255.25,5109.08,5439.39,27.51
24/03/2010,5554.67,5564.88,5861.75,299.42
25/03/2010,5140.86,5028.22,5407.47,-413.81
26/03/2010,5175.0,5001.18,5474.11,34.14
27/03/2010,5002.93,4978.42,5325.31,-172.07
28/03/2010,5583.75,5458.75,5587.0,580.82
29/03/2010,5283.4,5218.88,5583.9,-300.35
30/03/2010,5494.08,5367.63,5690.58,210.67
31/03/2010,5251.52,5271.84,5531.32,-242.56
01/04/2010,5436.68,5205.53,5663.67,185.17
02/04/2010,5228.37,5189.64,5567.08,-208.32
03/04/2010,5441.79,5216.58,5633.87,213.42
04/04/2010,5325.0,5209.3,5387.92,-116.79
05/04/2010,5326.33,5150.67,5555.38,1.33
06/04/2010,5452.03,5295.48,5695.24,125.7
07/04/2010,5417.52,5278.03,5614.33,-34.51
08/04/2010,5253.11,5085.04,5497.15,-164.41
09/04/2010,5339.37,5148.57,5586.41,86.26
10/04/2010,5169.05,4913.83,5437.95,-170.31
11/04/2010,5093.75,4966.88,5168.89,-75.3
12/04/2010,5562.0,5262.31,5748.67,468.25
13/04/2010,5436.53,5178.4,5678.54,-125.47
14/04/2010,5765.33,5741.15,6167.5,328.8
15/04/2010,5099.63,4723.27,5245.58,-665.71
16/04/2010,5267.36,5098.25,5559.69,167.73
17/04/2010,5266.84,5136.11,5438.56,-0.52
18/04/2010,4498.89,4427.78,4601.2,-767.95
19/04/2010,5244.16,5008.09,5471.74,745.28
20/04/2010,5426.49,5081.17,5691.96,182.32
21/04/2010,5310.59,4972.22,5593.91,-115.9
22/04/2010,5432.02,5303.27,5677.69,121.43
23/04/2010,5419.12,5176.35,5709.25,-12.9
24/04/2010,5402.84,5246.8,5761.55,-16.28
25/04/2010,4587.75,5033.67,5075.25,-815.09
26/04/2010,5242.89,5016.1,5582.69,655.14
27/04/2010,5415.73,5156.8,5691.17,172.84
28/04/2010,5465.54,5279.67,6608.21,49.81
29/04/2010,5488.63,5341.86,5741.45,23.09
30/04/2010,5498.44,5356.6,5827.32,9.81
01/05/2010,5338.0,5486.05,5846.05,-160.44
02/05/2010,5520.0,5925.0,6125.0,182.0
