date,modal_price,min_price,max_price,change
31/12/2009,3200.0,3000.0,3400.0,
02/01/2010,2916.67,2816.67,3016.67,-283.33
04/01/2010,2700.0,2550.0,2900.0,-216.67
05/01/2010,3250.0,2500.0,4000.0,550.0
06/01/2010,4150.0,4000.0,4266.67,900.0
07/01/2010,2266.67,2000.0,2500.0,-1883.33
08/01/2010,3400.0,3350.0,3450.0,1133.33
13/01/2010,3950.0,3900.0,4000.0,550.0
14/01/2010,3950.0,3700.0,4200.0,-0.0
16/01/2010,4225.0,3950.0,4500.0,275.0
18/01/2010,4200.0,4000.0,4400.0,-25.0
19/01/2010,3500.0,3000.0,4000.0,-700.0
20/01/2010,6475.0,6200.0,6750.0,2975.0
21/01/2010,3466.67,3133.33,3833.33,-3008.33
22/01/2010,4100.0,4000.0,4200.0,633.33
23/01/2010,6217.67,6101.0,6326.0,2117.67
25/01/2010,2333.33,2233.33,2500.0,-3884.33
26/01/2010,3750.0,3000.0,4500.0,1416.67
27/01/2010,5700.0,5166.67,5900.0,1950.0
28/01/2010,2283.33,2100.0,2300.0,-3416.67
29/01/2010,4000.0,4000.0,4200.0,1716.67
30/01/2010,6216.67,5966.67,6500.0,2216.67
31/01/2010,2500.0,2500.0,2500.0,-3716.67
01/02/2010,4800.0,4500.0,5000.0,2300.0
02/02/2010,3200.0,3183.33,3216.67,-1600.0
03/02/2010,4650.0,4550.0,5000.0,1450.0
04/02/2010,2600.0,2166.67,3000.0,-2050.0
05/02/2010,3362.5,2850.0,3750.0,762.5
06/02/2010,3200.0,2600.0,3675.0,-162.5
07/02/2010,2750.0,2250.0,2850.0,-450.0
08/02/2010,3675.0,3300.0,3900.0,925.0
09/02/2010,2375.0,1375.0,3000.0,-1300.0
10/02/2010,3816.67,3611.11,4233.33,1441.67
11/02/2010,3600.0,3250.0,4000.0,-216.67
13/02/2010,2200.0,1366.67,3033.33,-1400.0
14/02/2010,4350.0,4350.0,4350.0,2150.0
15/02/2010,4243.75,3414.29,5285.71,-106.25
16/02/2010,3728.57,3214.29,4171.43,-515.18
17/02/2010,4157.14,3328.57,5128.57,428.57
18/02/2010,2588.89,1750.0,2962.5,-1568.25
19/02/2010,4287.5,4100.0,4350.0,1698.61
20/02/2010,2078.57,1664.29,2435.71,-2208.93
21/02/2010,6000.0,4900.0,7300.0,3921.43
22/02/2010,3957.14,3150.0,4916.67,-2042.86
23/02/2010,3166.67,2383.33,4050.0,-790.48
24/02/2010,3400.0,2828.57,3914.29,233.33
25/02/2010,3135.0,2533.33,3477.78,-265.0
26/02/2010,3062.5,2412.5,4050.0,-72.5
27/02/2010,4880.0,4380.0,5580.0,1817.5
28/02/2010,3019.25,2636.25,3477.5,-1860.75
01/03/2010,3700.0,3250.0,4150.0,680.75
02/03/2010,4108.33,3166.67,4800.0,408.33
03/03/2010,3770.83,3266.67,4316.67,-337.5
04/03/2010,6173.08,3641.67,7316.67,2402.24
05/03/2010,3816.67,3355.56,4244.44,-2356.41
06/03/2010,3577.27,2904.55,4227.27,-239.39
07/03/2010,3710.0,2870.0,4250.0,132.73
08/03/2010,3165.0,2211.11,3788.89,-545.0
09/03/2010,3240.63,2843.75,3615.63,75.63
10/03/2010,3006.67,2360.0,3660.0,-233.96
11/03/2010,3195.83,2675.0,3654.17,189.17
12/03/2010,3183.33,2654.17,3579.17,-12.5
13/03/2010,3420.0,2580.0,4300.0,236.67
14/03/2010,4266.67,3550.0,5050.0,846.67
15/03/2010,3148.21,2428.57,3803.57,-1118.45
16/03/2010,3545.83,2975.0,4066.67,397.62
17/03/2010,3187.5,2700.0,3608.33,-358.33
18/03/2010,3611.86,3021.43,4119.0,424.36
19/03/2010,3412.5,2908.33,3866.67,-199.36
20/03/2010,2858.42,2366.58,3497.75,-554.08
21/03/2010,3665.0,3115.0,4450.0,806.58
22/03/2010,3558.1,3039.47,4146.05,-106.9
23/03/2010,2719.38,2219.05,3102.62,-838.72
24/03/2010,3406.67,2802.11,4075.0,687.29
25/03/2010,3414.0,2570.0,4106.0,7.33
26/03/2010,3872.73,2933.33,4469.57,458.73
27/03/2010,3480.43,2776.09,4163.04,-392.29
28/03/2010,4004.55,3090.91,4750.0,524.11
29/03/2010,3201.92,2546.3,3703.7,-802.62
30/03/2010,3153.23,2506.45,3646.77,-48.7
31/03/2010,3410.35,2776.03,3919.12,257.13
01/04/2010,3366.63,2582.64,3895.79,-43.73
02/04/2010,3350.73,2727.63,3950.82,-15.9
03/04/2010,3482.91,2984.13,4014.27,132.18
04/04/2010,3534.71,2964.17,3636.05,51.79
05/04/2010,3392.0,2770.0,4116.25,-142.71
06/04/2010,3245.84,2766.65,3738.12,-146.16
07/04/2010,3089.33,2581.15,3518.59,-156.51
08/04/2010,3315.25,2721.39,3768.17,225.92
09/04/2010,3464.97,3019.84,3913.62,149.72
10/04/2010,2975.44,2405.26,3499.49,-489.53
11/04/2010,3195.07,2791.13,3724.55,219.63
12/04/2010,2960.75,2521.53,3388.78,-234.31
13/04/2010,2839.04,2433.04,3294.85,-121.71
14/04/2010,2752.1,2299.67,3303.84,-86.94
15/04/2010,2630.01,2199.84,3021.34,-122.09
16/04/2010,2627.89,2179.8,3058.29,-2.12
17/04/2010,2615.35,2183.87,2970.32,-12.54
18/04/2010,2608.32,2135.49,2952.68,-7.03
19/04/2010,2600.46,2128.16,3031.22,-7.85
20/04/2010,2611.45,2156.11,3025.95,10.99
21/04/2010,2500.07,2104.69,2843.0,-111.38
22/04/2010,2365.3,1947.26,2766.96,-134.77
23/04/2010,2448.12,2006.64,2844.91,82.82
24/04/2010,2266.74,1819.33,2712.56,-181.38
25/04/2010,2089.02,1715.08,2436.98,-177.72
26/04/2010,2241.91,1835.96,2629.72,152.89
27/04/2010,2246.19,1814.64,2647.29,4.28
28/04/2010,2331.64,1895.92,2715.87,85.45
29/04/2010,2285.31,1855.43,2700.91,-46.34
30/04/2010,2200.84,1736.16,2616.0,-84.46
01/05/2010,2206.73,1777.82,2589.92,5.88
02/05/2010,2013.93,1684.18,2316.41,-192.8
03/05/2010,2185.36,1794.07,2549.76,171.43
04/05/2010,2191.22,1785.12,2531.01,5.85
05/05/2010,2095.57,1726.62,2465.42,-95.64
06/05/2010,2074.48,1705.02,2432.99,-21.09
07/05/2010,2156.6,1764.7,2490.79,82.12
08/05/2010,2050.22,1648.32,2416.16,-106.38
09/05/2010,1812.64,1490.06,2124.32,-237.58
10/05/2010,2002.9,1648.21,2312.54,190.26
11/05/2010,1984.83,1638.07,2291.27,-18.06
12/05/2010,1989.35,1640.72,2277.85,4.52
13/05/2010,1943.87,1619.54,2262.85,-45.48
14/05/2010,2083.55,1744.03,2375.93,139.68
15/05/2010,1950.08,1586.4,2282.54,-133.46
16/05/2010,1760.74,1463.71,2102.97,-189.34
17/05/2010,2011.44,1655.51,2356.71,250.7
18/05/2010,2007.22,1672.67,2302.02,-4.22
19/05/2010,1948.94,1628.3,2265.0,-58.28
20/05/2010,1938.21,1606.94,2227.01,-10.73
21/05/2010,1985.73,1653.02,2280.31,47.52
22/05/2010,1953.75,1648.91,2264.16,-31.99
23/05/2010,1793.94,1501.42,2034.88,-159.81
24/05/2010,2032.5,1700.23,2336.61,238.57
25/05/2010,2018.44,1693.48,2301.97,-14.07
26/05/2010,2043.63,1696.37,2342.38,25.2
27/05/2010,1910.87,1563.23,2253.53,-132.76
28/05/2010,1982.28,1656.31,2311.03,71.41
29/05/2010,2019.49,1685.98,2408.42,37.21
30/05/2010,1739.61,1472.46,2036.21,-279.88
31/05/2010,2075.5,1686.08,2438.89,335.89
01/06/2010,1925.26,1589.96,2227.07,-150.23
02/06/2010,1920.98,1573.74,2285.94,-4.29
03/06/2010,1784.07,1476.55,2094.66,-136.91
04/06/2010,1817.77,1470.21,2144.87,33.69
05/06/2010,1761.32,1433.01,2069.73,-56.44
06/06/2010,1685.3,1342.14,1949.61,-76.02
07/06/2010,1747.62,1405.28,2049.87,62.32
08/06/2010,1762.33,1422.44,2076.65,14.71
09/06/2010,1696.6,1377.54,1994.05,-65.74
10/06/2010,1680.28,1338.54,1967.38,-16.32
11/06/2010,1731.51,1415.87,2033.25,51.22
12/06/2010,1679.82,1346.51,1965.5,-51.68
13/06/2010,1588.3,1241.91,1868.35,-91.52
14/06/2010,1679.34,1315.45,2004.85,91.04
15/06/2010,1661.13,1347.63,1958.06,-18.21
16/06/2010,1662.2,1323.78,1983.27,1.07
17/06/2010,1682.31,1340.22,1972.76,20.11
18/06/2010,1715.88,1379.77,2014.66,33.57
19/06/2010,1595.85,1259.61,1903.26,-120.04
20/06/2010,1545.8,1223.42,1793.07,-50.04
21/06/2010,1653.43,1336.7,1953.11,107.63
22/06/2010,1598.57,1306.34,1888.13,-54.86
23/06/2010,1607.11,1305.46,1876.18,8.55
24/06/2010,1608.06,1315.25,1887.59,0.94
25/06/2010,1556.77,1245.53,1834.95,-51.29
26/06/2010,1476.49,1155.13,1758.97,-80.28
27/06/2010,1404.74,1125.35,1671.31,-71.75
28/06/2010,1538.87,1222.48,1860.25,134.12
29/06/2010,1517.02,1215.35,1781.75,-21.85
30/06/2010,1515.2,1208.03,1774.47,-1.82
01/07/2010,1621.98,1313.98,1906.15,106.78
02/07/2010,1489.14,1189.73,1764.69,-132.84
03/07/2010,1564.41,1252.42,1843.83,75.27
04/07/2010,1445.1,1183.94,1718.21,-119.31
05/07/2010,1477.99,1179.02,1759.55,32.9
06/07/2010,1609.7,1356.06,1881.81,131.7
07/07/2010,1625.59,1340.92,1910.3,15.89
08/07/2010,1566.27,1289.79,1842.11,-59.32
09/07/2010,1693.37,1403.34,1967.5,127.1
10/07/2010,1580.38,1271.42,1849.17,-113.0
11/07/2010,1499.74,1182.53,1794.36,-80.63
12/07/2010,1600.03,1286.49,1873.8,100.29
13/07/2010,1577.77,1290.73,1830.5,-22.27
14/07/2010,1673.17,1357.67,1942.26,95.41
15/07/2010,1675.57,1337.18,1925.94,2.4
16/07/2010,1783.59,1460.35,2025.37,108.02
