date,modal_price,min_price,max_price,change
31/12/2009,2628.27,2408.27,2844.18,
01/01/2010,2763.64,2532.27,2995.45,135.36
02/01/2010,3199.67,2898.67,3332.8,436.03
03/01/2010,2600.0,2450.0,2700.0,-599.67
04/01/2010,2353.57,2147.86,2515.36,-246.43
05/01/2010,2821.25,2531.25,3047.92,467.68
06/01/2010,2558.67,2293.33,2809.67,-262.58
07/01/2010,2495.78,2347.44,2695.78,-62.89
08/01/2010,2839.58,2608.75,3093.33,343.81
09/01/2010,3379.44,2954.44,3701.67,539.86
10/01/2010,1957.14,1762.57,2128.57,-1422.3
11/01/2010,2346.89,2026.37,2589.84,389.75
12/01/2010,2611.28,2354.61,2841.56,264.38
13/01/2010,2595.38,2329.62,2859.23,-15.89
14/01/2010,2050.0,1850.0,2250.0,-545.38
15/01/2010,2083.33,1883.33,2331.11,33.33
16/01/2010,2400.45,2227.27,2615.91,317.12
17/01/2010,1970.83,1816.67,2233.33,-429.62
18/01/2010,2387.5,2191.67,2550.0,416.67
19/01/2010,2765.0,2465.56,2921.11,377.5
20/01/2010,2584.46,2083.08,2857.31,-180.54
21/01/2010,2760.0,2360.71,3039.29,175.54
22/01/2010,2480.0,2205.45,2736.82,-280.0
23/01/2010,2335.83,1992.92,2536.33,-144.17
24/01/2010,1646.0,1440.0,1810.0,-689.83
25/01/2010,2268.62,2114.23,2381.15,622.62
26/01/2010,2400.0,2120.0,2580.0,131.38
27/01/2010,1972.0,1758.33,2240.33,-428.0
28/01/2010,2332.69,2010.0,2539.62,360.69
29/01/2010,2135.69,1907.81,2273.19,-197.0
30/01/2010,1978.57,1742.86,2121.79,-157.12
31/01/2010,1735.71,1570.71,1914.29,-242.86
01/02/2010,1967.35,1827.06,2103.71,231.64
02/02/2010,1984.0,1775.5,2133.75,16.65
03/02/2010,2020.36,1745.71,2219.29,36.36
04/02/2010,1802.73,1695.45,1900.91,-217.63
05/02/2010,2066.36,1911.36,2154.55,263.64
06/02/2010,1800.0,1672.73,1900.0,-266.36
07/02/2010,1375.0,1150.0,1600.0,-425.0
08/02/2010,1671.47,1527.94,1827.94,296.47
09/02/2010,2100.0,1801.33,2270.67,428.53
10/02/2010,1883.33,1761.67,1983.67,-216.67
11/02/2010,1480.56,1385.0,1547.22,-402.78
12/02/2010,1400.0,1287.5,1462.5,-80.56
13/02/2010,2632.14,2270.0,2995.0,1232.14
14/02/2010,1383.33,1266.67,1433.33,-1248.81
15/02/2010,1737.5,1545.31,1920.0,354.17
16/02/2010,1784.44,1533.89,1998.61,46.94
17/02/2010,2051.94,1825.83,2261.39,267.5
18/02/2010,1902.33,1597.0,2183.67,-149.61
19/02/2010,1542.83,1369.13,1711.09,-359.51
20/02/2010,1423.44,1209.69,1625.0,-119.39
21/02/2010,1606.0,1480.0,1700.0,182.56
22/02/2010,1617.65,1421.18,1754.47,11.65
23/02/2010,1796.32,1618.68,1915.53,178.67
24/02/2010,1988.33,1843.87,2080.67,192.02
25/02/2010,1983.5,1764.0,2140.5,-4.83
26/02/2010,2225.45,1864.55,2463.64,241.95
27/02/2010,1930.0,1797.5,2020.0,-295.45
28/02/2010,1025.0,725.0,1275.0,-905.0
01/03/2010,1091.67,933.33,1175.0,66.67
02/03/2010,2108.78,1877.78,2269.72,1017.11
03/03/2010,1880.45,1687.05,2004.09,-228.32
04/03/2010,1948.75,1784.58,2076.46,68.3
05/03/2010,1841.11,1656.11,2008.44,-107.64
06/03/2010,2242.17,2073.04,2396.09,401.06
07/03/2010,1760.0,1660.0,1820.0,-482.17
08/03/2010,2171.42,1942.5,2361.54,411.42
09/03/2010,2339.58,2171.67,2507.5,168.16
10/03/2010,2266.09,2053.26,2445.87,-73.5
11/03/2010,2386.38,2156.56,2544.69,120.29
12/03/2010,2208.26,2026.32,2363.16,-178.11
13/03/2010,2142.45,1886.82,2330.45,-65.81
14/03/2010,1485.71,1300.0,1650.0,-656.74
15/03/2010,2227.38,2027.92,2410.62,741.66
16/03/2010,2296.2,2115.5,2452.5,68.82
17/03/2010,2134.38,1956.25,2325.0,-161.82
18/03/2010,2430.75,2153.44,2642.19,296.38
19/03/2010,2330.67,2108.61,2498.61,-100.08
20/03/2010,2273.86,2118.18,2427.73,-56.8
21/03/2010,2232.0,2000.0,2340.0,-41.86
22/03/2010,2146.14,1932.05,2337.95,-85.86
23/03/2010,2171.25,1957.5,2370.0,25.11
24/03/2010,2282.22,2066.67,2498.78,110.97
25/03/2010,1991.67,1836.11,2163.89,-290.56
26/03/2010,2351.72,2082.28,2543.39,360.06
27/03/2010,2395.5,2162.5,2614.29,43.78
28/03/2010,2030.0,1860.0,2200.0,-365.5
29/03/2010,2254.17,2029.61,2473.22,224.17
30/03/2010,2086.67,1916.67,2250.0,-167.5
31/03/2010,2592.5,2475.0,2720.0,505.83
01/04/2010,2502.27,2256.67,2656.67,-90.23
02/04/2010,3089.5,2876.5,3251.5,587.23
03/04/2010,2570.0,2353.18,2718.77,-519.5
04/04/2010,2249.17,1937.5,2404.17,-320.83
05/04/2010,2642.95,2286.9,2899.05,393.79
06/04/2010,2693.73,2449.09,2894.09,50.77
07/04/2010,2719.96,2425.0,2946.92,26.23
08/04/2010,2683.2,2432.5,2942.25,-36.76
09/04/2010,2834.95,2500.0,3076.67,151.75
10/04/2010,2758.46,2419.23,2977.69,-76.49
11/04/2010,2157.14,1921.43,2428.57,-601.32
12/04/2010,2812.65,2593.96,3073.96,655.51
13/04/2010,2911.65,2663.04,3101.57,99.0
14/04/2010,3038.89,2815.56,3283.89,127.24
15/04/2010,2599.89,2242.11,2867.37,-438.99
16/04/2010,2921.47,2692.11,3161.37,321.58
17/04/2010,2683.16,2417.11,2929.58,-238.32
18/04/2010,2050.0,1700.0,2400.0,-633.16
19/04/2010,2594.29,2282.86,2774.52,544.29
20/04/2010,2813.75,2527.5,3043.75,219.46
21/04/2010,2913.53,2697.5,3168.5,99.78
22/04/2010,3039.56,2812.81,3153.44,126.04
23/04/2010,2595.31,2361.25,2800.0,-444.25
24/04/2010,3166.67,2800.0,3326.56,571.35
25/04/2010,2083.33,1833.33,2333.33,-1083.33
26/04/2010,3040.71,2818.57,3250.36,957.38
27/04/2010,3319.64,2964.29,3610.71,278.93
28/04/2010,2922.11,2686.0,3250.5,-397.54
29/04/2010,3007.55,2677.27,3271.82,85.44
30/04/2010,2823.08,2569.23,3057.69,-184.47
01/05/2010,2616.67,2450.0,2783.33,-206.41
02/05/2010,2083.33,1166.67,2700.0,-533.33
03/05/2010,3286.4,2903.67,3670.67,1203.07
04/05/2010,2893.07,2570.0,3117.73,-393.33
05/05/2010,2980.79,2633.95,3273.42,87.72
06/05/2010,2882.31,2540.94,3211.56,-98.48
07/05/2010,3005.56,2733.61,3256.17,123.24
08/05/2010,2958.33,2682.33,3267.78,-47.22
09/05/2010,1750.0,1725.0,1900.0,-1208.33
10/05/2010,3182.0,2711.67,3630.0,1432.0
11/05/2010,3474.79,3049.93,3807.43,292.79
12/05/2010,2840.0,2518.75,3163.12,-634.79
13/05/2010,2685.33,2238.33,3115.67,-154.67
14/05/2010,2943.67,2483.67,3417.33,258.33
15/05/2010,2782.27,2600.42,3204.58,-161.39
16/05/2010,3150.0,2325.0,4000.0,367.73
17/05/2010,2831.25,2381.88,3150.0,-318.75
18/05/2010,2988.07,2486.67,3364.07,156.82
19/05/2010,2826.75,2492.5,3210.55,-161.32
20/05/2010,2815.11,2429.44,3134.5,-11.64
21/05/2010,3013.73,2426.67,3403.67,198.62
22/05/2010,2829.25,2342.92,3085.58,-184.48
23/05/2010,3266.67,2233.33,4466.67,437.42
24/05/2010,2608.79,2402.68,2891.63,-657.88
25/05/2010,2656.5,2378.64,2868.57,47.71
26/05/2010,3085.71,2797.14,3378.57,429.21
27/05/2010,2585.0,2218.33,2950.67,-500.71
28/05/2010,2720.64,2431.36,2939.93,135.64
29/05/2010,3109.09,3004.55,3672.73,388.45
30/05/2010,1000.0,1000.0,1000.0,-2109.09
31/05/2010,2950.18,2590.62,3292.5,1950.18
01/06/2010,2906.0,2686.8,3118.8,-44.18
02/06/2010,2608.5,2322.5,2822.5,-297.5
03/06/2010,3045.57,2834.69,3328.85,437.07
04/06/2010,2990.57,2675.0,3217.21,-55.0
05/06/2010,3019.2,2592.0,3302.4,28.63
06/06/2010,2200.0,1850.0,2550.0,-819.2
07/06/2010,2603.33,2385.71,2922.86,403.33
08/06/2010,2933.62,2571.88,3201.56,330.29
09/06/2010,2937.05,2506.91,3207.59,3.42
10/06/2010,2987.0,2595.47,3223.65,49.95
11/06/2010,2665.63,2323.32,2996.37,-321.37
12/06/2010,3415.0,2935.0,3652.25,749.37
13/06/2010,2900.0,2800.0,3000.0,-515.0
14/06/2010,2746.17,2403.78,3039.22,-153.83
15/06/2010,2485.68,2198.64,2718.45,-260.49
16/06/2010,2667.13,2397.78,2912.87,181.45
17/06/2010,2604.25,2221.8,2905.75,-62.88
18/06/2010,2635.0,2402.5,2909.5,30.75
19/06/2010,3104.44,2614.47,3346.11,469.44
20/06/2010,2793.33,2266.67,3400.0,-311.11
21/06/2010,2707.78,2436.11,2919.17,-85.56
22/06/2010,2360.71,2181.79,2540.0,-347.06
23/06/2010,2784.79,2441.05,3001.37,424.08
24/06/2010,2537.39,2284.56,2791.56,-247.4
25/06/2010,2646.67,2184.38,2902.19,109.28
26/06/2010,2717.31,2296.15,3059.62,70.64
27/06/2010,3033.33,2433.33,3633.33,316.03
28/06/2010,2657.35,2324.47,2903.53,-375.98
29/06/2010,2670.29,2235.82,2898.88,12.94
30/06/2010,2863.57,2531.07,3198.0,193.28
01/07/2010,2753.22,2375.53,2930.42,-110.35
02/07/2010,2471.23,2039.36,2656.79,-281.99
03/07/2010,2588.64,2320.45,2806.36,117.41
04/07/2010,2750.0,2500.0,3000.0,161.36
05/07/2010,2655.0,2381.0,2881.0,-95.0
06/07/2010,2836.67,2453.27,3071.33,181.67
07/07/2010,2554.17,2197.37,2770.26,-282.5
08/07/2010,3152.31,2830.77,3468.08,598.14
09/07/2010,2473.46,2212.31,2711.92,-678.85
10/07/2010,3382.86,3151.43,3515.0,909.4
11/07/2010,2000.0,1250.0,2750.0,-1382.86
12/07/2010,2844.38,2258.42,2955.0,844.38
13/07/2010,2425.0,2137.58,2670.83,-419.38
14/07/2010,2805.56,2260.59,2929.71,380.56
15/07/2010,2927.65,2582.35,3188.53,122.09
16/07/2010,2480.83,1925.0,2825.08,-446.81
17/07/2010,3089.0,2715.0,3390.5,608.17
18/07/2010,2475.0,2245.0,2725.0,-614.0
19/07/2010,3019.17,2718.33,3335.83,544.17
20/07/2010,2826.0,2453.31,3079.56,-193.17
21/07/2010,2719.29,2371.18,2969.59,-106.71
22/07/2010,2804.33,2447.67,3119.33,85.04
23/07/2010,2088.0,1998.0,2193.0,-716.33
24/07/2010,2312.57,1898.0,2621.36,224.57
26/07/2010,2733.73,2113.4,3097.4,421.16
27/07/2010,2503.75,2212.5,2788.75,-229.98
28/07/2010,2236.0,1958.12,2517.81,-267.75
29/07/2010,2359.08,1998.75,2704.58,123.08
30/07/2010,2548.21,2162.93,2875.0,189.13
31/07/2010,3004.55,2518.18,3351.45,456.33
01/08/2010,1590.0,1360.0,1820.0,-1414.55
02/08/2010,2592.54,2097.14,2777.29,1002.54
03/08/2010,2150.0,1862.5,2433.33,-442.54
04/08/2010,2079.56,1772.25,2292.19,-70.44
05/08/2010,2660.13,2200.75,2804.44,580.57
06/08/2010,2698.46,2144.29,2989.29,38.33
07/08/2010,2361.07,2007.5,2683.93,-337.39
08/08/2010,1809.5,1545.0,2072.5,-551.57
09/08/2010,2467.0,2026.67,2778.33,657.5
10/08/2010,2407.5,2111.54,2834.62,-59.5
11/08/2010,2425.0,2111.25,2808.75,17.5
12/08/2010,2034.62,1730.77,2330.77,-390.38
13/08/2010,2430.2,2102.67,2713.0,395.58
14/08/2010,3302.12,2928.75,3618.75,871.93
16/08/2010,1700.0,1390.91,2018.18,-1602.12
17/08/2010,2377.78,2073.33,2566.67,677.78
18/08/2010,2340.64,1962.5,2528.64,-37.13
19/08/2010,2096.46,1722.0,2346.23,-244.18
20/08/2010,2119.5,1973.1,2256.1,23.04
21/08/2010,2287.0,2141.2,2442.6,167.5
22/08/2010,1466.67,1333.33,1633.33,-820.33
23/08/2010,1781.82,1640.91,1936.36,315.15
24/08/2010,1820.0,1660.0,1975.0,38.18
25/08/2010,2720.73,2365.91,2925.45,900.73
26/08/2010,1393.75,1222.22,1504.22,-1326.98
27/08/2010,2142.31,1835.71,2304.29,748.56
28/08/2010,2572.92,2233.33,2787.92,430.61
29/08/2010,1150.0,1050.0,1250.0,-1422.92
30/08/2010,1915.0,1617.73,2080.45,765.0
31/08/2010,1772.25,1629.75,1872.25,-142.75
01/09/2010,1735.71,1616.67,2100.0,-36.54
02/09/2010,1880.0,1780.0,1960.0,144.29
03/09/2010,2005.56,1752.78,2144.44,125.56
04/09/2010,2580.83,2380.83,2764.17,575.28
05/09/2010,1855.0,1688.33,1955.0,-725.83
06/09/2010,2078.12,1893.75,2221.88,223.12
07/09/2010,2012.86,1585.71,2211.07,-65.27
08/09/2010,1793.75,1662.5,1940.62,-219.11
09/09/2010,2082.14,1898.57,2270.29,288.39
