date,modal_price,min_price,max_price,change
31/12/2009,3575.3,2908.83,4039.52,
01/01/2010,3805.31,3205.56,4246.15,230.01
02/01/2010,3620.1,3045.98,4151.72,-185.21
03/01/2010,3707.48,3047.0,4277.11,87.38
04/01/2010,3741.5,3188.75,4175.05,34.02
05/01/2010,3748.4,3110.04,4305.75,6.9
06/01/2010,3797.31,3342.86,4274.39,48.92
07/01/2010,3836.3,3237.68,4292.81,38.99
08/01/2010,4000.49,3438.46,4460.65,164.19
09/01/2010,3794.8,3096.14,4267.31,-205.69
10/01/2010,3686.09,2914.29,4118.65,-108.71
11/01/2010,3734.91,3263.25,4151.88,48.82
12/01/2010,3968.36,3415.36,4489.41,233.45
13/01/2010,3951.9,3443.21,4370.84,-16.45
14/01/2010,3523.33,3011.33,3924.58,-428.57
15/01/2010,3906.48,3365.15,4325.79,383.14
16/01/2010,3744.19,3197.68,4197.61,-162.28
17/01/2010,3854.25,3121.16,4243.93,110.06
18/01/2010,3811.0,3257.84,4266.67,-43.25
19/01/2010,3929.32,3374.2,4379.25,118.32
20/01/2010,3835.56,3276.63,4283.53,-93.76
21/01/2010,3822.11,3299.01,4340.33,-13.45
22/01/2010,3864.98,3276.27,4336.12,42.87
23/01/2010,3789.96,3262.44,4210.64,-75.02
24/01/2010,3644.19,2965.52,4102.6,-145.77
25/01/2010,3753.01,3189.42,4266.73,108.82
26/01/2010,3484.28,2917.68,4016.91,-268.73
27/01/2010,4010.42,3473.45,4467.41,526.15
28/01/2010,3827.0,3272.05,4365.25,-183.42
29/01/2010,3894.2,3319.06,4358.96,67.2
30/01/2010,3935.06,3368.96,4436.52,40.87
31/01/2010,3812.22,3047.32,4379.66,-122.85
01/02/2010,4003.92,3388.16,4469.36,191.7
02/02/2010,3907.86,3329.24,4296.34,-96.07
03/02/2010,4096.07,3562.76,4522.76,188.21
04/02/2010,3894.37,3344.39,4318.57,-201.69
05/02/2010,3997.8,3429.93,4362.79,103.43
06/02/2010,4007.7,3453.3,4493.48,9.89
07/02/2010,4093.51,3395.44,4554.37,85.81
08/02/2010,4204.43,3733.89,4711.7,110.92
09/02/2010,3992.74,3476.48,4498.3,-211.69
10/02/2010,3982.98,3412.32,4473.33,-9.76
11/02/2010,4005.17,3391.99,4454.83,22.19
12/02/2010,3857.05,3226.39,4678.28,-148.12
13/02/2010,3979.43,3381.59,4421.57,122.38
14/02/2010,4113.17,3550.25,4591.21,133.73
15/02/2010,3866.65,3340.01,4327.08,-246.52
16/02/2010,4066.17,3492.51,4606.15,199.52
17/02/2010,4218.01,3555.8,4737.34,151.84
18/02/2010,4116.73,3471.14,4583.02,-101.28
19/02/2010,4284.92,3793.79,4642.87,168.19
20/02/2010,4028.63,3504.87,4423.41,-256.3
21/02/2010,4113.25,3482.33,4622.36,84.63
22/02/2010,4235.76,3701.01,4631.86,122.51
23/02/2010,4189.35,3581.92,4724.34,-46.41
24/02/2010,4156.74,3597.23,4681.82,-32.61
25/02/2010,4227.15,3748.24,4715.55,70.4
26/02/2010,4104.15,3534.63,4529.65,-123.0
27/02/2010,4344.48,3700.61,4759.82,240.33
28/02/2010,4353.59,3807.97,4653.38,9.1
01/03/2010,3880.56,3393.53,4310.84,-473.03
02/03/2010,3956.59,3355.29,4452.24,76.04
03/03/2010,4421.73,3773.02,4876.17,465.14
04/03/2010,4226.23,3720.68,4618.06,-195.5
05/03/2010,4411.74,3906.09,4805.3,185.51
06/03/2010,4269.13,3695.5,4663.35,-142.61
07/03/2010,4422.42,3837.36,4907.23,153.29
08/03/2010,4288.3,3740.51,4656.89,-134.12
09/03/2010,4432.27,3893.46,4864.04,143.97
10/03/2010,4306.66,3699.28,4800.99,-125.62
11/03/2010,4354.95,3802.3,4889.87,48.3
12/03/2010,4380.99,3918.42,4840.88,26.04
13/03/2010,4195.36,3609.33,4702.48,-185.63
14/03/2010,4293.31,3669.33,4741.48,97.96
15/03/2010,4456.27,3943.18,4871.78,162.95
16/03/2010,4419.35,3895.96,4812.73,-36.91
17/03/2010,4252.16,3562.06,4723.26,-167.19
18/03/2010,4329.78,3833.12,4814.97,77.62
19/03/2010,4585.77,4025.83,5014.44,255.99
20/03/2010,4614.56,4000.71,5046.39,28.79
21/03/2010,4316.11,3752.74,4617.91,-298.45
22/03/2010,4711.99,4111.17,5064.75,395.88
23/03/2010,4524.63,3909.94,4903.06,-187.36
24/03/2010,4623.44,3980.71,5013.0,98.8
25/03/2010,4508.2,3856.79,4857.03,-115.24
26/03/2010,4630.01,3980.05,4939.49,121.81
27/03/2010,4699.47,4020.16,5138.36,69.46
28/03/2010,4512.11,3723.0,4868.21,-187.36
29/03/2010,4698.35,3999.04,5176.54,186.24
30/03/2010,4418.97,3764.66,4893.9,-279.38
31/03/2010,4736.22,4165.17,5222.44,317.26
01/04/2010,4366.49,3732.58,4811.37,-369.73
02/04/2010,4692.88,4055.67,5182.59,326.39
03/04/2010,4911.61,4233.74,5486.1,218.73
04/04/2010,5162.14,4467.44,5753.95,250.53
05/04/2010,4790.82,4188.8,5235.11,-371.32
06/04/2010,4971.94,4285.8,5518.87,181.12
07/04/2010,4967.1,4355.89,5485.6,-4.84
08/04/2010,5263.92,4655.0,5815.75,296.83
09/04/2010,5149.42,4582.98,5578.43,-114.5
10/04/2010,4931.09,4322.99,5429.99,-218.34
11/04/2010,5029.57,4335.72,5549.52,98.49
12/04/2010,5248.12,4711.41,5669.27,218.54
13/04/2010,5192.26,4630.44,5613.09,-55.85
14/04/2010,4966.68,4096.29,5406.96,-225.58
15/04/2010,4966.75,4320.77,5369.83,0.07
16/04/2010,5036.78,4365.57,5470.95,70.03
17/04/2010,5023.8,4406.89,5478.29,-12.98
18/04/2010,5854.02,5372.66,6358.5,830.22
19/04/2010,5160.04,4471.84,5586.58,-693.99
20/04/2010,5252.41,4673.7,5762.02,92.37
21/04/2010,5209.04,4598.19,5704.53,-43.36
22/04/2010,5195.81,4521.32,5650.33,-13.23
23/04/2010,5053.13,4256.47,5640.08,-142.68
24/04/2010,5204.37,4495.5,5708.54,151.24
25/04/2010,5188.61,4441.14,5598.88,-15.76
26/04/2010,5132.19,4400.64,5635.36,-56.41
27/04/2010,5051.31,4445.32,5537.19,-80.88
28/04/2010,5254.13,4423.25,5736.44,202.82
29/04/2010,5668.19,5091.8,6334.57,414.07
30/04/2010,5371.32,4751.26,5879.63,-296.87
01/05/2010,5888.17,5356.07,6668.7,516.85
02/05/2010,5624.29,5213.85,6109.0,-263.88
03/05/2010,5656.27,5153.79,6179.02,31.98
04/05/2010,5703.31,5188.98,6295.65,47.04
05/05/2010,5471.14,4952.12,6128.9,-232.16
06/05/2010,5582.01,4869.47,6152.89,110.87
07/05/2010,5486.63,5007.3,5985.15,-95.39
08/05/2010,5788.26,5050.35,6364.19,301.63
09/05/2010,6116.11,5850.75,6835.62,327.85
10/05/2010,5979.05,5375.39,6491.44,-137.06
11/05/2010,5999.49,5658.92,6563.61,20.44
12/05/2010,5903.65,5430.23,6526.32,-95.85
13/05/2010,5814.91,5424.25,6501.74,-88.73
14/05/2010,5903.1,5294.37,6496.82,88.19
15/05/2010,5552.93,5134.8,6073.37,-350.18
16/05/2010,6200.0,5535.89,6830.0,647.07
17/05/2010,6078.11,5631.58,6577.82,-121.89
18/05/2010,6014.88,5487.68,6660.98,-63.23
19/05/2010,6339.67,5746.64,6976.88,324.79
20/05/2010,5996.62,5542.97,6500.68,-343.05
21/05/2010,5960.18,5384.68,6402.46,-36.44
22/05/2010,6170.16,5564.48,6683.45,209.98
23/05/2010,6314.09,5837.32,7185.0,143.92
24/05/2010,6320.52,5759.8,6875.78,6.43
25/05/2010,6283.96,5848.13,6813.79,-36.56
26/05/2010,6136.87,5633.89,6721.84,-147.08
27/05/2010,5800.46,5306.27,6365.98,-336.41
28/05/2010,6079.11,5473.61,6554.5,278.65
29/05/2010,6066.69,5427.78,6608.57,-12.43
30/05/2010,5993.17,5641.95,6600.74,-73.52
31/05/2010,5951.79,5250.0,6492.97,-41.39
01/06/2010,6557.52,5855.63,7365.18,605.73
02/06/2010,6204.62,5644.05,6850.33,-352.9
03/06/2010,6395.97,5985.88,6955.57,191.35
04/06/2010,6543.42,6197.72,7077.76,147.45
05/06/2010,6035.63,5385.42,6658.63,-507.79
06/06/2010,5705.59,4694.35,6103.8,-330.04
07/06/2010,6095.31,5359.22,6476.55,389.72
08/06/2010,6367.46,5921.07,6833.13,272.15
09/06/2010,6347.03,5700.02,7005.67,-20.43
10/06/2010,6077.64,5686.13,6730.33,-269.4
11/06/2010,6306.89,5698.3,6833.6,229.25
12/06/2010,6485.1,5986.0,7002.4,178.21
13/06/2010,6604.68,6225.0,7358.0,119.58
14/06/2010,6271.8,5652.31,6757.51,-332.87
15/06/2010,6236.94,5584.46,6958.95,-34.86
16/06/2010,5969.35,5312.83,6416.72,-267.59
17/06/2010,5724.73,4995.85,6227.91,-244.62
18/06/2010,5614.9,4994.48,5953.1,-109.83
19/06/2010,5876.91,5327.53,6364.62,262.01
20/06/2010,6532.69,6234.17,7401.26,655.78
21/06/2010,5439.27,4539.81,5722.41,-1093.43
22/06/2010,5821.85,4954.79,6086.56,382.58
23/06/2010,5634.09,4691.59,5935.16,-187.75
24/06/2010,5590.08,5021.62,5936.69,-44.01
25/06/2010,5615.32,4870.31,6171.13,25.24
26/06/2010,5656.43,4993.28,5964.54,41.11
27/06/2010,5825.43,4940.4,6311.8,168.99
28/06/2010,5453.3,4575.53,5818.04,-372.13
29/06/2010,5802.41,4965.06,6363.59,349.11
30/06/2010,5430.22,4375.97,6097.05,-372.19
01/07/2010,5121.73,4257.56,5734.79,-308.49
02/07/2010,5381.11,4531.84,6000.07,259.38
03/07/2010,5321.41,4356.47,6021.64,-59.7
04/07/2010,5647.85,4705.29,6622.52,326.44
05/07/2010,5212.64,4136.45,5503.75,-435.21
06/07/2010,5345.41,4444.23,5844.41,132.77
07/07/2010,5420.71,4311.42,6084.02,75.3
08/07/2010,4678.53,3581.56,5199.11,-742.19
09/07/2010,4658.78,3482.04,5413.4,-19.74
10/07/2010,4712.25,3681.95,5256.0,53.47
11/07/2010,4578.33,3182.75,4969.02,-133.92
12/07/2010,4367.03,3103.59,4653.06,-211.3
13/07/2010,4154.24,3231.71,4613.53,-212.8
14/07/2010,4119.82,3001.17,4553.69,-34.42
15/07/2010,3987.49,2872.21,4483.5,-132.33
16/07/2010,3738.09,2694.53,4006.5,-249.4
17/07/2010,3794.64,2832.27,4303.9,56.55
18/07/2010,3759.85,2422.22,4082.94,-34.79
19/07/2010,4147.98,3059.19,4596.1,388.13
20/07/2010,3938.0,3097.85,4395.61,-209.98
21/07/2010,3774.25,2875.4,4166.17,-163.75
22/07/2010,3970.08,3089.47,4345.52,195.83
23/07/2010,3717.4,2870.72,4187.06,-252.68
24/07/2010,3586.44,2744.95,3914.19,-130.95
25/07/2010,3515.4,2488.44,3441.96,-71.05
26/07/2010,3585.41,2657.79,3836.94,70.01
27/07/2010,3631.45,2805.8,4024.57,46.04
28/07/2010,3666.94,2842.71,3902.54,35.49
29/07/2010,3196.12,2354.38,3471.21,-470.82
30/07/2010,3580.63,2647.45,3874.47,384.51
31/07/2010,3359.06,2636.5,3813.87,-221.56
01/08/2010,3115.65,2093.18,3185.08,-243.42
02/08/2010,3274.2,2411.78,3557.87,158.55
03/08/2010,3152.5,2343.51,3442.6,-121.7
04/08/2010,3294.84,2419.22,3564.37,142.35
05/08/2010,3218.75,2374.67,3516.82,-76.09
06/08/2010,3100.25,2296.16,3426.73,-118.5
