date,modal_price,min_price,max_price,change
31/12/2009,2930.0,2356.0,3398.61,
01/01/2010,3259.11,2837.72,3699.29,329.11
02/01/2010,3099.29,2709.72,3536.84,-159.82
03/01/2010,3053.57,2646.67,3550.0,-45.71
04/01/2010,3212.35,2794.59,3612.16,158.78
05/01/2010,3026.56,2574.88,3351.67,-185.79
06/01/2010,3114.04,2779.02,3575.0,87.48
07/01/2010,3143.64,2674.31,3612.17,29.6
08/01/2010,3214.26,2773.53,3663.21,70.62
09/01/2010,3198.94,2698.65,3701.32,-15.32
10/01/2010,3536.11,3050.0,4173.81,337.17
11/01/2010,3135.61,2606.25,3617.78,-400.5
12/01/2010,3271.17,2890.0,3650.74,135.55
13/01/2010,3070.44,2678.11,3493.86,-200.73
14/01/2010,2863.63,2450.0,3293.45,-206.81
15/01/2010,2871.36,2561.29,3292.68,7.73
16/01/2010,3006.23,2609.89,3475.49,134.87
17/01/2010,2983.0,2695.67,3424.41,-23.23
18/01/2010,3154.89,2696.29,3619.83,171.89
19/01/2010,3099.51,2673.13,3482.86,-55.38
20/01/2010,3312.95,2899.19,3733.2,213.44
21/01/2010,3142.49,2668.41,3620.14,-170.46
22/01/2010,3243.31,2808.97,3653.99,100.82
23/01/2010,3043.63,2677.12,3416.27,-199.68
24/01/2010,3102.42,2710.94,3440.29,58.79
25/01/2010,2757.93,2334.12,3208.17,-344.49
26/01/2010,3163.72,2771.25,3622.43,405.79
27/01/2010,2925.98,2564.21,3285.23,-237.74
28/01/2010,2848.15,2363.82,3232.66,-77.83
29/01/2010,2980.12,2556.32,3385.52,131.97
30/01/2010,2690.64,2339.19,3062.32,-289.48
31/01/2010,2660.23,2284.78,3104.17,-30.41
01/02/2010,2914.93,2492.44,3376.23,254.71
02/02/2010,3025.95,2623.17,3361.47,111.02
03/02/2010,2948.34,2534.09,3307.45,-77.61
04/02/2010,2901.75,2457.41,3254.28,-46.59
05/02/2010,2969.39,2562.71,3330.09,67.64
06/02/2010,2672.01,2287.17,3093.35,-297.38
07/02/2010,3040.28,2630.56,3300.0,368.26
08/02/2010,2974.99,2559.51,3326.23,-65.29
09/02/2010,2806.84,2419.73,3134.9,-168.14
10/02/2010,2758.56,2359.11,3068.41,-48.28
11/02/2010,2887.99,2429.06,3215.71,129.43
12/02/2010,2886.33,2490.89,3225.47,-1.66
13/02/2010,2748.32,2314.8,3124.71,-138.02
14/02/2010,2812.63,2391.73,3089.15,64.32
15/02/2010,2715.31,2308.15,3091.59,-97.32
16/02/2010,2837.88,2453.3,3154.88,122.57
17/02/2010,2809.98,2412.73,3161.89,-27.9
18/02/2010,2696.36,2283.28,2998.4,-113.62
19/02/2010,2969.95,2579.01,3298.0,273.59
20/02/2010,2666.92,2263.18,3127.67,-303.03
21/02/2010,2726.86,2407.4,3061.85,59.94
22/02/2010,2670.12,2334.39,3023.03,-56.74
23/02/2010,2730.18,2322.14,3084.18,60.06
24/02/2010,2711.75,2340.9,2975.0,-18.43
25/02/2010,2742.83,2375.71,3060.32,31.07
26/02/2010,2836.55,2497.19,3154.27,93.73
27/02/2010,2881.82,2519.17,3237.29,45.27
28/02/2010,2653.85,2362.73,2843.09,-227.97
01/03/2010,3008.48,2639.39,3196.67,354.63
02/03/2010,2858.09,2453.72,3234.66,-150.4
03/03/2010,2851.94,2435.5,3167.62,-6.15
04/03/2010,2748.41,2354.1,3118.12,-103.52
05/03/2010,3011.82,2676.01,3312.71,263.4
06/03/2010,2888.08,2467.47,3195.33,-123.74
07/03/2010,2829.12,2480.4,3111.91,-58.96
08/03/2010,3062.45,2628.9,3338.51,233.33
09/03/2010,3070.18,2719.28,3368.94,7.73
10/03/2010,2974.88,2561.94,3320.86,-95.31
11/03/2010,2880.35,2446.26,3219.57,-94.52
12/03/2010,2988.8,2600.82,3278.66,108.45
13/03/2010,2794.56,2460.29,3099.92,-194.23
14/03/2010,2810.76,2552.29,3128.46,16.2
15/03/2010,2740.65,2357.43,3058.25,-70.11
16/03/2010,3000.24,2636.83,3321.08,259.59
17/03/2010,3000.85,2554.64,3298.71,0.61
