date,modal_price,min_price,max_price,change
31/12/2009,893.46,773.08,1001.31,
01/01/2010,908.64,705.45,1032.73,15.17
02/01/2010,656.86,567.31,744.64,-251.78
03/01/2010,800.0,800.0,800.0,143.14
04/01/2010,835.0,670.83,983.33,35.0
05/01/2010,726.86,617.33,859.73,-108.14
06/01/2010,745.56,592.19,866.13,18.71
07/01/2010,666.92,458.92,842.25,-78.65
08/01/2010,808.89,598.56,977.44,141.97
09/01/2010,1018.75,716.67,1238.89,209.86
10/01/2010,725.0,675.0,800.0,-293.75
11/01/2010,680.23,560.0,814.62,-44.77
12/01/2010,769.92,639.36,949.73,89.69
13/01/2010,822.38,682.35,961.76,52.46
14/01/2010,822.0,642.78,976.11,-0.38
15/01/2010,699.0,567.08,817.08,-123.0
16/01/2010,806.87,626.67,954.67,107.87
17/01/2010,1156.25,1025.0,1262.5,349.38
18/01/2010,805.6,619.53,983.6,-350.65
19/01/2010,811.31,698.31,927.06,5.71
20/01/2010,939.58,804.69,1080.0,128.27
21/01/2010,691.14,556.29,820.57,-248.44
22/01/2010,1003.62,803.57,1170.14,312.47
23/01/2010,945.1,775.33,1103.9,-58.52
24/01/2010,856.0,838.33,930.0,-89.1
25/01/2010,974.77,726.92,1108.33,118.77
26/01/2010,1034.29,973.75,1067.5,59.52
27/01/2010,857.63,660.25,1097.75,-176.66
28/01/2010,1006.44,835.63,1129.38,148.81
29/01/2010,909.5,721.43,1057.14,-96.94
30/01/2010,848.58,697.25,1010.42,-60.92
31/01/2010,525.0,220.0,797.5,-323.58
01/02/2010,929.0,708.5,1101.0,404.0
02/02/2010,842.56,709.06,981.88,-86.44
03/02/2010,859.88,712.5,1006.25,17.31
04/02/2010,912.65,752.94,1076.47,52.77
05/02/2010,989.59,828.22,1144.89,76.94
06/02/2010,854.41,688.24,1028.18,-135.18
07/02/2010,1164.29,957.14,1296.43,309.87
08/02/2010,865.83,625.0,1072.08,-298.45
09/02/2010,990.0,731.25,1199.69,124.17
10/02/2010,901.0,761.53,1020.35,-89.0
11/02/2010,998.58,716.67,1241.67,97.58
12/02/2010,916.67,841.67,1008.33,-81.92
13/02/2010,1050.18,859.09,1254.55,133.52
14/02/2010,978.57,878.57,1040.0,-71.61
15/02/2010,900.5,623.33,1113.33,-78.07
16/02/2010,897.35,771.11,1058.17,-3.15
17/02/2010,826.94,641.59,982.18,-70.41
18/02/2010,800.4,587.5,957.5,-26.54
19/02/2010,862.0,698.75,979.33,61.6
20/02/2010,828.07,610.0,1123.33,-33.93
21/02/2010,1150.0,1057.14,1271.43,321.93
22/02/2010,821.47,625.0,1047.22,-328.53
23/02/2010,889.47,630.88,1076.71,68.0
24/02/2010,813.15,671.15,955.77,-76.32
25/02/2010,921.05,733.79,1081.16,107.9
26/02/2010,851.07,753.57,921.43,-69.98
27/02/2010,897.86,937.5,1250.0,46.79
28/02/2010,875.0,550.0,1100.0,-22.86
01/03/2010,857.14,583.33,1100.0,-17.86
02/03/2010,807.36,577.57,1013.29,-49.79
03/03/2010,846.32,624.58,1077.21,38.96
04/03/2010,999.43,860.0,1160.0,153.11
05/03/2010,849.79,705.26,989.47,-149.64
06/03/2010,929.63,769.05,1092.11,79.84
07/03/2010,792.86,528.57,1007.14,-136.77
08/03/2010,766.86,550.0,976.62,-25.99
09/03/2010,957.43,723.33,1219.76,190.56
10/03/2010,803.41,606.82,1022.73,-154.02
11/03/2010,843.75,665.63,1009.38,40.34
12/03/2010,775.11,619.44,931.5,-68.64
13/03/2010,774.23,653.57,920.0,-0.88
14/03/2010,775.0,631.25,1025.0,0.77
15/03/2010,863.35,719.57,1010.61,88.35
16/03/2010,830.06,650.0,1017.65,-33.29
17/03/2010,842.26,704.32,975.37,12.2
18/03/2010,952.63,763.48,1135.71,110.37
19/03/2010,810.86,691.3,937.5,-141.77
20/03/2010,785.76,635.59,919.68,-25.1
21/03/2010,880.0,800.0,950.0,94.24
22/03/2010,866.09,708.7,982.61,-13.91
23/03/2010,960.2,757.14,1115.91,94.11
