date,modal_price,min_price,max_price,change
31/12/2009,5118.95,4793.41,5261.36,
01/01/2010,5166.83,4774.31,5303.49,47.88
02/01/2010,5108.89,4749.54,5243.1,-57.94
03/01/2010,5325.76,5060.68,5468.45,216.86
04/01/2010,5167.64,4827.15,5280.99,-158.11
05/01/2010,5042.92,4681.14,5198.28,-124.72
06/01/2010,5061.19,4739.88,5189.5,18.26
07/01/2010,4906.86,4543.53,5003.98,-154.32
08/01/2010,4699.14,4339.93,4803.0,-207.73
09/01/2010,4616.75,4243.84,4680.68,-82.38
10/01/2010,5203.71,4871.66,5162.29,586.96
11/01/2010,4661.12,4268.5,4749.38,-542.59
12/01/2010,4689.02,4317.66,4762.98,27.9
13/01/2010,4708.95,4335.19,4769.74,19.93
14/01/2010,5217.1,4797.99,5175.54,508.15
15/01/2010,5097.03,4765.69,5165.24,-120.07
16/01/2010,4849.81,4470.26,4947.91,-247.22
17/01/2010,5187.93,4857.26,5210.16,338.12
18/01/2010,4640.44,4259.76,4701.17,-547.49
19/01/2010,4632.08,4284.79,4728.83,-8.36
20/01/2010,4648.33,4256.05,4663.77,16.25
21/01/2010,4611.12,4232.15,4697.57,-37.21
22/01/2010,4640.42,4284.98,4744.23,29.3
23/01/2010,4662.29,4266.86,4722.77,21.88
24/01/2010,5210.58,4859.82,5156.43,548.29
25/01/2010,4416.35,4040.85,4502.02,-794.23
26/01/2010,5321.47,5256.56,5475.59,905.12
27/01/2010,4321.94,3948.99,4348.43,-999.54
28/01/2010,4205.33,3857.81,4288.45,-116.61
29/01/2010,4096.46,3750.09,4195.54,-108.87
30/01/2010,3964.8,3671.96,4048.92,-131.66
31/01/2010,4643.32,4124.8,4460.31,678.52
01/02/2010,3922.55,3487.97,3919.59,-720.77
02/02/2010,4004.89,3591.53,4061.29,82.34
03/02/2010,4176.0,3761.81,4189.36,171.11
04/02/2010,4251.18,3845.14,4306.11,75.18
05/02/2010,4242.13,3819.19,4300.57,-9.05
06/02/2010,4300.58,3894.2,4339.14,58.44
07/02/2010,4569.14,4141.31,4449.08,268.56
08/02/2010,4112.28,3763.09,4184.94,-456.86
09/02/2010,4076.71,3702.35,4133.62,-35.58
10/02/2010,4124.89,3791.87,4191.39,48.18
11/02/2010,4178.8,3832.73,4275.16,53.91
12/02/2010,4917.61,4633.92,5002.37,738.81
13/02/2010,4300.47,3939.42,4376.43,-617.15
14/02/2010,4397.86,4036.12,4417.5,97.39
15/02/2010,4035.79,3696.3,4126.85,-362.07
16/02/2010,3987.99,3607.69,4357.71,-47.79
17/02/2010,4000.74,3671.29,4099.58,12.75
18/02/2010,4092.5,3732.84,4113.91,91.75
19/02/2010,4246.38,3861.21,4315.64,153.88
20/02/2010,4135.41,3726.77,4199.8,-110.97
21/02/2010,4472.44,4091.45,4323.02,337.03
22/02/2010,4026.1,3674.2,4089.06,-446.33
23/02/2010,3963.05,3677.01,4052.85,-63.05
24/02/2010,3853.34,3574.09,3955.98,-109.71
25/02/2010,3971.74,3665.74,4036.52,118.4
26/02/2010,3872.01,3552.29,3951.34,-99.73
27/02/2010,4378.61,3988.07,4362.07,506.61
28/02/2010,4534.5,4104.83,4251.78,155.89
01/03/2010,5236.9,4999.8,5361.0,702.4
02/03/2010,3954.26,3637.01,4017.15,-1282.65
03/03/2010,4062.13,3717.66,4084.25,107.87
04/03/2010,4015.17,3660.01,4035.97,-46.96
05/03/2010,4080.26,3731.72,4122.46,65.08
06/03/2010,3969.79,3670.22,4076.21,-110.46
07/03/2010,4249.88,3842.82,4141.63,280.09
08/03/2010,3986.75,3645.36,4062.84,-263.13
09/03/2010,3975.4,3625.59,4052.48,-11.36
10/03/2010,3987.81,3653.46,4051.08,12.42
11/03/2010,4016.73,3683.39,4120.15,28.92
12/03/2010,4038.9,3707.78,4117.9,22.16
13/03/2010,4040.21,3700.44,4111.32,1.32
14/03/2010,4349.37,4093.16,4383.73,309.16
15/03/2010,4127.24,3847.27,4235.9,-222.13
16/03/2010,4326.83,4020.34,4416.22,199.6
17/03/2010,4167.84,3868.84,4292.09,-158.99
18/03/2010,4107.79,3747.67,4242.25,-60.05
19/03/2010,4151.84,3810.83,4253.87,44.05
20/03/2010,4176.13,3819.74,4253.14,24.29
21/03/2010,4330.44,4043.02,4290.51,154.31
22/03/2010,4199.78,3841.45,4282.16,-130.67
23/03/2010,4262.05,3866.91,4322.47,62.28
24/03/2010,4668.64,4281.0,4692.75,406.59
25/03/2010,4210.63,3872.15,4310.54,-458.01
26/03/2010,4276.52,3964.54,4373.42,65.89
27/03/2010,4306.63,3939.93,4387.61,30.11
28/03/2010,4416.75,4301.58,4565.82,110.12
29/03/2010,4487.04,4115.63,4615.24,70.29
30/03/2010,4555.87,4208.02,4672.36,68.83
31/03/2010,4568.34,4274.93,4710.38,12.47
01/04/2010,4516.4,4190.71,4648.22,-51.94
02/04/2010,4606.68,4234.31,4660.06,90.28
03/04/2010,4537.1,4138.17,4651.66,-69.58
04/04/2010,4556.26,4186.84,4638.25,19.16
05/04/2010,4531.13,4148.95,4668.74,-25.14
06/04/2010,4508.62,4134.72,4652.07,-22.51
07/04/2010,4427.59,4013.21,4538.21,-81.03
08/04/2010,4454.14,4067.01,4548.09,26.56
09/04/2010,4412.8,4024.84,4526.43,-41.35
10/04/2010,4383.02,3943.6,4451.91,-29.77
11/04/2010,4722.34,4462.6,4791.29,339.32
12/04/2010,4457.65,4001.78,4542.9,-264.69
13/04/2010,4454.45,4059.25,4575.33,-3.2
14/04/2010,4785.59,4453.53,4778.38,331.14
15/04/2010,4471.09,4054.43,4547.28,-314.5
16/04/2010,4362.71,3980.97,4476.72,-108.38
17/04/2010,4433.85,4025.36,4529.65,71.14
18/04/2010,4633.64,4332.37,4712.17,199.79
19/04/2010,4398.24,4013.69,4487.04,-235.4
20/04/2010,4376.48,4013.55,4470.49,-21.76
21/04/2010,4367.76,3959.33,4434.47,-8.72
22/04/2010,4336.52,3972.58,4425.5,-31.24
23/04/2010,4286.35,3862.16,4338.59,-50.17
24/04/2010,4449.19,4022.65,4491.65,162.84
25/04/2010,4729.63,4315.44,4729.91,280.44
26/04/2010,4435.3,3978.93,4492.81,-294.33
27/04/2010,4398.48,4030.82,4532.86,-36.82
28/04/2010,4444.51,4031.38,4515.84,46.04
29/04/2010,4408.96,4017.04,4473.29,-35.56
30/04/2010,4449.26,4027.01,4503.87,40.3
01/05/2010,4592.59,4164.6,4548.06,143.32
02/05/2010,4755.74,4465.92,4709.54,163.15
03/05/2010,4437.59,4021.68,4474.78,-318.15
04/05/2010,4439.58,4105.58,4535.01,1.99
05/05/2010,4429.06,4044.73,4469.23,-10.52
06/05/2010,4366.1,3980.26,4431.73,-62.96
07/05/2010,4368.77,3984.16,4449.06,2.68
08/05/2010,4330.39,3891.06,4334.69,-38.38
09/05/2010,4667.18,4395.21,4584.25,336.78
10/05/2010,4382.56,3966.34,4427.53,-284.61
11/05/2010,4245.71,3882.15,4334.01,-136.85
12/05/2010,4422.69,3960.64,4451.12,176.98
13/05/2010,4382.0,3992.79,4424.36,-40.69
14/05/2010,4672.0,4288.01,4715.71,290.0
15/05/2010,4663.02,4240.4,4698.45,-8.98
16/05/2010,4892.56,4686.42,4985.75,229.54
17/05/2010,4478.99,4045.57,4513.31,-413.57
18/05/2010,4381.45,3985.21,4458.27,-97.54
19/05/2010,4546.52,4085.92,4573.33,165.07
20/05/2010,4484.93,4056.47,4497.1,-61.59
21/05/2010,4526.89,4060.75,4557.58,41.96
22/05/2010,4487.21,4056.46,4531.5,-39.68
23/05/2010,5059.6,4599.19,5041.35,572.4
24/05/2010,4548.09,4117.59,4638.1,-511.52
25/05/2010,4401.89,3954.07,4378.44,-146.2
26/05/2010,4562.43,4094.46,4582.0,160.54
27/05/2010,4611.75,4260.05,4645.02,49.32
28/05/2010,4446.23,4064.9,4510.45,-165.52
29/05/2010,4480.29,4143.17,4602.28,34.06
30/05/2010,4779.06,4412.62,4936.93,298.77
