date,modal_price,min_price,max_price,change
31/12/2009,2262.5,1812.5,2687.5,
01/01/2010,1375.0,925.0,1825.0,-887.5
02/01/2010,1211.0,916.67,1416.67,-164.0
03/01/2010,1200.0,1200.0,1200.0,-11.0
04/01/2010,1177.67,916.67,1383.33,-22.33
05/01/2010,1291.67,1218.75,1718.75,114.0
06/01/2010,1247.33,933.33,1616.67,-44.33
07/01/2010,1233.33,900.0,1566.67,-14.0
08/01/2010,1333.33,1033.33,1633.33,100.0
09/01/2010,1479.0,1125.0,1750.0,145.67
10/01/2010,1050.0,1000.0,1100.0,-429.0
11/01/2010,1150.0,816.67,1525.0,100.0
12/01/2010,1211.0,916.67,1500.0,61.0
13/01/2010,1458.5,1187.5,1812.5,247.5
14/01/2010,1287.5,1037.5,1600.0,-171.0
15/01/2010,1096.75,931.25,1297.5,-190.75
16/01/2010,1154.25,893.75,1487.5,57.5
17/01/2010,1050.0,1000.0,1100.0,-104.25
18/01/2010,1194.33,900.0,1616.67,144.33
19/01/2010,1220.75,925.0,1562.5,26.42
20/01/2010,1195.75,1025.0,1387.5,-25.0
21/01/2010,1233.33,933.33,1575.0,37.58
22/01/2010,1233.33,975.0,1681.25,0.0
23/01/2010,1233.33,900.0,1608.33,0.0
24/01/2010,1100.0,1341.67,1466.67,-133.33
25/01/2010,1266.67,933.33,1641.67,166.67
26/01/2010,1100.0,1333.33,1433.33,-166.67
27/01/2010,1233.33,933.33,1533.33,133.33
28/01/2010,1207.0,975.0,1466.67,-26.33
29/01/2010,1160.5,931.25,1356.25,-46.5
30/01/2010,1330.67,1083.33,1683.33,170.17
31/01/2010,1100.0,1050.0,1150.0,-230.67
01/02/2010,1504.0,1050.0,2000.0,404.0
02/02/2010,1218.4,900.0,1530.0,-285.6
03/02/2010,1165.33,900.0,1425.0,-53.07
04/02/2010,1271.6,920.0,1560.0,106.27
05/02/2010,1578.4,1340.0,1862.6,306.8
06/02/2010,1331.2,1067.67,1576.0,-247.2
07/02/2010,1000.0,750.0,1050.0,-331.2
08/02/2010,1311.0,766.67,1783.33,311.0
09/02/2010,1037.5,706.6,1150.0,-273.5
10/02/2010,1297.17,950.0,1641.67,259.67
11/02/2010,1323.67,800.0,1766.67,26.5
12/02/2010,700.0,300.0,900.0,-623.67
13/02/2010,1516.5,900.0,2075.0,816.5
14/02/2010,1000.0,833.33,1133.33,-516.5
15/02/2010,1583.25,900.0,1962.5,583.25
16/02/2010,1200.0,925.0,1381.25,-383.25
17/02/2010,1330.0,1020.0,1600.0,130.0
18/02/2010,1190.0,920.0,1440.0,-140.0
19/02/2010,1088.83,858.33,1300.0,-101.17
20/02/2010,1199.6,926.2,1446.2,110.77
21/02/2010,1133.33,1000.0,1200.0,-66.27
22/02/2010,1163.4,890.0,1460.0,30.07
23/02/2010,1008.33,708.33,1300.0,-155.07
24/02/2010,1266.5,775.0,1762.5,258.17
25/02/2010,1705.67,1483.33,1983.33,439.17
26/02/2010,933.33,800.0,1000.0,-772.33
27/02/2010,1193.75,937.5,1525.0,260.42
28/02/2010,950.0,750.0,1050.0,-243.75
02/03/2010,1216.75,912.5,1612.5,266.75
03/03/2010,1095.0,880.0,1400.0,-121.75
04/03/2010,1454.71,1262.5,1646.88,359.71
05/03/2010,1413.83,1116.67,1658.33,-40.88
06/03/2010,916.14,701.43,1085.71,-497.69
07/03/2010,925.0,800.0,1050.0,8.86
08/03/2010,1033.4,800.0,1275.0,108.4
09/03/2010,976.14,814.29,1150.0,-57.26
10/03/2010,1250.0,1066.67,1475.0,273.86
11/03/2010,1094.5,916.67,1300.0,-155.5
12/03/2010,968.0,816.67,1208.33,-126.5
13/03/2010,1016.75,750.0,1325.0,48.75
14/03/2010,925.0,800.0,1050.0,-91.75
15/03/2010,968.0,816.67,1175.0,43.0
16/03/2010,1123.86,953.57,1353.57,155.86
17/03/2010,848.67,683.33,1083.33,-275.19
18/03/2010,1222.22,1075.0,1457.5,373.56
19/03/2010,1112.5,900.0,1333.33,-109.72
20/03/2010,1290.62,1037.5,1511.11,178.12
21/03/2010,1000.0,866.67,1133.33,-290.62
22/03/2010,1211.86,950.0,1432.86,211.86
23/03/2010,1512.5,1233.33,1816.67,300.64
24/03/2010,995.86,760.0,1153.0,-516.64
25/03/2010,1251.3,1070.0,1435.0,255.44
26/03/2010,1382.67,1083.33,1666.67,131.37
27/03/2010,1448.5,1125.0,1775.0,65.83
28/03/2010,1150.0,1000.0,1266.67,-298.5
29/03/2010,973.0,733.33,1216.67,-177.0
30/03/2010,1246.6,760.0,2153.4,273.6
31/03/2010,1271.88,966.67,1807.44,25.28
01/04/2010,1063.6,620.0,1823.4,-208.28
02/04/2010,1296.57,971.43,1771.43,232.97
03/04/2010,1340.67,995.83,1673.58,44.1
04/04/2010,975.0,775.0,1150.0,-365.67
