date,modal_price,min_price,max_price,change
31/12/2009,1139.46,1008.81,1254.46,
01/01/2010,1197.62,1131.93,1310.4,58.16
02/01/2010,1178.85,1076.31,1284.77,-18.76
03/01/2010,1024.24,926.22,1127.84,-154.61
04/01/2010,1145.9,1044.59,1246.49,121.66
05/01/2010,1155.99,1056.07,1249.52,10.09
06/01/2010,1092.28,1001.81,1188.75,-63.71
07/01/2010,1149.82,1061.49,1274.02,57.54
08/01/2010,1201.95,1126.52,1310.56,52.14
09/01/2010,1002.65,940.83,1073.61,-199.3
10/01/2010,974.2,915.12,1050.33,-28.45
11/01/2010,1129.83,1040.43,1224.67,155.63
12/01/2010,1220.14,1133.78,1325.06,90.3
13/01/2010,1129.02,1053.17,1227.08,-91.12
14/01/2010,1203.44,1150.57,1328.8,74.42
15/01/2010,1160.07,1082.08,1266.18,-43.37
16/01/2010,1140.09,1048.71,1225.04,-19.98
17/01/2010,1028.64,954.96,1144.8,-111.45
18/01/2010,1097.01,998.25,1196.52,68.38
19/01/2010,1196.23,1121.82,1293.13,99.22
20/01/2010,1120.16,1043.54,1234.31,-76.07
21/01/2010,1147.64,1070.48,1278.15,27.48
22/01/2010,1170.04,1078.15,1281.98,22.4
23/01/2010,1161.32,1088.6,1241.27,-8.72
24/01/2010,928.27,836.15,1002.94,-233.05
25/01/2010,1071.2,979.04,1171.91,142.94
26/01/2010,994.73,896.27,1070.0,-76.47
27/01/2010,1148.29,1068.03,1237.51,153.56
28/01/2010,1158.75,1053.74,1259.86,10.46
29/01/2010,1057.23,969.61,1140.29,-101.52
30/01/2010,1091.94,1006.85,1187.41,34.71
31/01/2010,923.82,771.68,980.74,-168.12
01/02/2010,1118.71,1014.25,1225.56,194.89
02/02/2010,1174.13,1097.28,1279.21,55.42
03/02/2010,1192.6,1109.92,1289.67,18.47
04/02/2010,1081.19,980.32,1183.72,-111.41
05/02/2010,1174.71,1096.87,1275.78,93.52
06/02/2010,1129.79,1044.67,1223.95,-44.92
07/02/2010,938.54,840.11,1015.33,-191.25
08/02/2010,1160.99,1071.25,1254.21,222.45
09/02/2010,1196.9,1092.55,1291.1,35.9
10/02/2010,1174.21,1078.65,1282.35,-22.69
11/02/2010,1208.41,1107.24,1307.97,34.2
12/02/2010,1044.63,961.6,1108.17,-163.78
13/02/2010,1006.58,920.17,1074.09,-38.05
14/02/2010,1048.85,941.59,1098.33,42.27
15/02/2010,1187.32,1089.62,1275.33,138.47
16/02/2010,1256.85,1160.38,1356.94,69.53
17/02/2010,1195.94,1101.77,1291.34,-60.91
18/02/2010,1148.64,1038.51,1229.11,-47.29
19/02/2010,1187.54,1101.52,1293.21,38.9
20/02/2010,1119.64,1020.28,1209.09,-67.9
21/02/2010,1026.7,959.92,1126.2,-92.94
22/02/2010,1163.21,1066.85,1260.13,136.51
23/02/2010,1156.11,1064.26,1253.04,-7.1
24/02/2010,1164.2,1065.68,1256.05,8.09
25/02/2010,1230.71,1148.73,1334.65,66.51
26/02/2010,1097.01,1030.47,1182.28,-133.7
27/02/2010,1232.31,1154.12,1312.37,135.3
28/02/2010,967.54,887.35,1004.15,-264.77
01/03/2010,1354.56,1242.96,1427.1,387.02
02/03/2010,1102.31,1009.74,1194.54,-252.25
03/03/2010,1225.91,1143.37,1328.26,123.6
04/03/2010,1169.5,1077.01,1276.54,-56.41
05/03/2010,1229.28,1133.17,1339.74,59.78
06/03/2010,1146.19,1046.7,1238.32,-83.08
07/03/2010,1010.26,912.97,1083.6,-135.94
08/03/2010,1075.76,978.44,1162.1,65.5
09/03/2010,1161.74,1084.23,1256.19,85.98
10/03/2010,1150.49,1065.35,1253.81,-11.25
11/03/2010,1119.12,1030.31,1220.32,-31.37
12/03/2010,1130.69,1043.01,1214.01,11.58
13/03/2010,1040.5,955.05,1111.71,-90.19
14/03/2010,1034.83,954.69,1108.16,-5.67
15/03/2010,1170.0,1077.56,1259.39,135.17
16/03/2010,1207.79,1134.09,1300.63,37.79
17/03/2010,1195.36,1104.04,1281.22,-12.43
18/03/2010,1096.14,1014.52,1192.71,-99.22
19/03/2010,1166.11,1061.69,1243.03,69.97
20/03/2010,1167.76,1066.71,1245.22,1.65
21/03/2010,1026.85,931.76,1096.89,-140.9
22/03/2010,1146.76,1028.36,1227.86,119.91
23/03/2010,1144.63,1040.93,1225.39,-2.13
24/03/2010,1132.36,1035.76,1233.5,-12.27
25/03/2010,1124.78,1026.56,1217.07,-7.58
26/03/2010,1164.07,1073.05,1246.59,39.29
27/03/2010,1119.64,1027.2,1199.08,-44.42
28/03/2010,1011.06,886.63,1072.07,-108.58
29/03/2010,1188.82,1081.88,1274.26,177.76
30/03/2010,1201.27,1099.58,1271.74,12.45
31/03/2010,1211.54,1107.26,1299.58,10.27
01/04/2010,1123.72,1009.39,1204.99,-87.82
02/04/2010,1135.24,1051.81,1314.63,11.53
03/04/2010,1196.34,1102.47,1295.9,61.09
04/04/2010,1103.45,1049.32,1191.46,-92.88
05/04/2010,1173.45,1085.55,1262.81,70.0
06/04/2010,1168.53,1080.82,1259.08,-4.92
07/04/2010,1121.75,1031.85,1215.45,-46.78
08/04/2010,1157.16,1059.76,1259.46,35.41
09/04/2010,1130.3,1034.3,1222.08,-26.85
10/04/2010,1062.01,985.19,1146.13,-68.3
11/04/2010,1040.52,962.41,1100.23,-21.49
12/04/2010,1146.13,1055.86,1233.74,105.61
13/04/2010,1144.45,1049.51,1244.87,-1.68
14/04/2010,1082.25,1004.23,1159.41,-62.2
15/04/2010,1096.24,997.33,1197.89,14.0
16/04/2010,1149.44,1056.86,1240.95,53.2
17/04/2010,1132.43,1044.0,1228.85,-17.01
18/04/2010,1034.45,934.07,1097.12,-97.98
19/04/2010,1128.22,1031.44,1222.59,93.77
20/04/2010,1138.92,1039.28,1229.07,10.7
21/04/2010,1108.28,1013.92,1205.72,-30.64
22/04/2010,1174.22,1057.51,1255.37,65.94
23/04/2010,1112.65,1012.36,1189.03,-61.56
24/04/2010,1131.64,1037.57,1229.83,18.99
25/04/2010,1058.68,955.08,1109.35,-72.96
26/04/2010,1107.49,1002.28,1192.3,48.81
27/04/2010,1035.83,932.13,1107.96,-71.66
28/04/2010,1139.34,1034.06,1246.54,103.51
29/04/2010,1175.97,1074.59,1268.04,36.63
30/04/2010,1151.72,1048.86,1230.43,-24.25
01/05/2010,1093.57,1010.22,1169.1,-58.15
02/05/2010,1049.01,975.93,1097.23,-44.56
03/05/2010,1194.17,1087.07,1283.01,145.16
04/05/2010,1163.17,1044.03,1237.62,-31.0
05/05/2010,1177.2,1065.2,1261.54,14.03
06/05/2010,1156.29,1055.8,1260.92,-20.91
07/05/2010,1174.09,1074.57,1263.57,17.8
08/05/2010,1082.58,968.29,1143.24,-91.52
09/05/2010,1101.84,989.24,1139.05,19.27
10/05/2010,1193.8,1073.11,1276.51,91.96
11/05/2010,1282.7,1164.54,1380.9,88.89
12/05/2010,1217.18,1105.33,1300.78,-65.52
13/05/2010,1285.9,1188.67,1383.18,68.72
14/05/2010,1241.01,1124.15,1334.61,-44.89
15/05/2010,1170.73,1066.49,1261.93,-70.27
16/05/2010,1089.14,987.05,1111.66,-81.6
17/05/2010,1236.82,1128.74,1329.16,147.68
18/05/2010,1254.88,1143.43,1341.72,18.06
19/05/2010,1252.07,1137.77,1324.23,-2.81
20/05/2010,1287.9,1172.57,1381.64,35.84
21/05/2010,1215.91,1100.47,1302.18,-71.99
22/05/2010,1266.22,1161.23,1343.84,50.31
23/05/2010,1160.81,1038.08,1198.14,-105.41
24/05/2010,1222.97,1111.96,1297.85,62.16
25/05/2010,1303.9,1198.58,1378.82,80.94
26/05/2010,1261.22,1139.12,1339.7,-42.68
27/05/2010,1202.95,1077.0,1276.96,-58.27
28/05/2010,1224.3,1109.4,1311.01,21.35
29/05/2010,1204.68,1088.79,1281.02,-19.63
30/05/2010,1113.19,978.73,1098.3,-91.49
31/05/2010,1266.69,1137.52,1348.55,153.5
01/06/2010,1220.73,1105.15,1310.11,-45.96
02/06/2010,1193.67,1087.86,1271.74,-27.06
03/06/2010,1297.04,1183.07,1381.84,103.37
04/06/2010,1257.59,1147.49,1335.42,-39.45
05/06/2010,1258.7,1150.94,1342.31,1.1
06/06/2010,1160.19,1057.13,1194.51,-98.51
07/06/2010,1231.88,1126.01,1310.73,71.69
08/06/2010,1257.27,1149.77,1346.45,25.39
09/06/2010,1230.32,1115.02,1299.23,-26.95
10/06/2010,1289.51,1176.38,1378.57,59.19
11/06/2010,1245.61,1136.7,1307.16,-43.9
12/06/2010,1090.82,990.05,1147.66,-154.79
13/06/2010,1081.89,967.7,1102.68,-8.93
14/06/2010,1208.12,1107.34,1268.15,126.23
15/06/2010,1246.64,1137.02,1337.36,38.53
16/06/2010,1190.78,1077.12,1262.64,-55.86
17/06/2010,1214.42,1098.3,1292.84,23.64
18/06/2010,1177.09,1067.96,1244.76,-37.33
19/06/2010,1159.53,1057.47,1228.37,-17.57
20/06/2010,1102.62,984.58,1107.51,-56.91
21/06/2010,1230.62,1123.65,1309.1,128.01
22/06/2010,1296.21,1195.63,1386.66,65.58
23/06/2010,1288.08,1167.2,1360.55,-8.13
24/06/2010,1285.88,1177.6,1368.01,-2.2
25/06/2010,1243.4,1131.98,1322.69,-42.49
26/06/2010,1090.29,966.72,1143.28,-153.1
27/06/2010,1093.63,1000.87,1104.89,3.34
28/06/2010,1229.28,1113.36,1292.64,135.65
29/06/2010,1261.76,1140.81,1343.43,32.48
30/06/2010,1263.89,1123.44,1326.13,2.13
01/07/2010,1300.93,1179.59,1398.63,37.03
02/07/2010,1235.12,1118.71,1313.48,-65.8
03/07/2010,1254.7,1159.05,1338.56,19.57
04/07/2010,1190.02,1106.72,1229.74,-64.67
05/07/2010,1087.11,977.01,1131.06,-102.91
06/07/2010,1296.97,1198.68,1380.63,209.86
07/07/2010,1244.27,1128.07,1337.17,-52.71
08/07/2010,1254.92,1132.8,1338.94,10.65
09/07/2010,1202.7,1072.76,1267.47,-52.22
10/07/2010,1077.15,961.71,1121.74,-125.56
11/07/2010,1179.38,1048.03,1188.68,102.23
12/07/2010,1257.23,1124.91,1334.83,77.85
13/07/2010,1300.81,1184.57,1403.21,43.58
14/07/2010,1276.09,1163.47,1368.91,-24.72
15/07/2010,1299.24,1184.54,1395.83,23.15
16/07/2010,1312.13,1191.84,1392.41,12.88
17/07/2010,1356.3,1252.01,1463.46,44.18
18/07/2010,1126.0,992.71,1136.77,-230.3
19/07/2010,1321.77,1223.32,1419.47,195.77
20/07/2010,1273.82,1160.07,1367.71,-47.95
21/07/2010,1230.15,1115.68,1303.07,-43.68
22/07/2010,1292.81,1183.98,1393.63,62.66
23/07/2010,1275.29,1151.91,1361.8,-17.52
24/07/2010,1313.41,1195.84,1409.45,38.12
25/07/2010,1162.97,998.92,1211.36,-150.44
26/07/2010,1269.67,1154.97,1363.86,106.71
27/07/2010,1346.54,1232.67,1445.23,76.86
28/07/2010,1328.41,1213.23,1425.69,-18.13
29/07/2010,1148.73,1023.3,1230.59,-179.68
30/07/2010,1361.98,1247.37,1481.44,213.24
31/07/2010,1285.25,1155.93,1383.61,-76.73
01/08/2010,1181.91,1055.27,1262.09,-103.34
02/08/2010,1185.39,1062.77,1275.2,3.48
03/08/2010,1337.97,1238.95,1450.21,152.59
04/08/2010,1309.29,1194.09,1419.72,-28.68
05/08/2010,1304.15,1203.8,1414.75,-5.15
06/08/2010,1316.1,1203.11,1434.42,11.95
07/08/2010,1356.37,1261.83,1461.85,40.27
08/08/2010,1158.95,1074.85,1234.18,-197.41
09/08/2010,1101.27,981.53,1187.73,-57.69
10/08/2010,1402.54,1296.82,1522.41,301.27
11/08/2010,1307.63,1191.96,1405.84,-94.91
12/08/2010,1344.48,1244.8,1464.72,36.85
13/08/2010,1245.27,1127.03,1341.94,-99.21
14/08/2010,1161.78,1051.39,1235.72,-83.49
15/08/2010,1064.21,953.17,1132.16,-97.57
16/08/2010,1312.46,1180.13,1423.66,248.25
17/08/2010,1448.17,1304.78,1546.55,135.71
18/08/2010,1321.16,1200.84,1438.82,-127.02
19/08/2010,1352.74,1244.77,1468.93,31.58
20/08/2010,1258.38,1141.82,1372.14,-94.36
21/08/2010,1294.99,1179.27,1413.78,36.61
22/08/2010,1042.12,935.72,1087.72,-252.88
23/08/2010,1148.29,1027.9,1257.17,106.17
24/08/2010,1151.87,1035.79,1255.28,3.58
25/08/2010,1166.19,1041.55,1274.03,14.33
26/08/2010,1392.2,1267.38,1491.12,226.01
27/08/2010,1320.06,1211.35,1436.46,-72.14
28/08/2010,1320.17,1208.69,1419.28,0.11
29/08/2010,1105.41,951.6,1140.83,-214.76
30/08/2010,1366.12,1274.48,1472.43,260.72
31/08/2010,1381.18,1276.6,1512.3,15.05
01/09/2010,1161.34,1040.4,1273.1,-219.84
02/09/2010,1343.85,1233.37,1433.9,182.51
03/09/2010,1312.01,1223.37,1426.29,-31.84
04/09/2010,1310.34,1220.76,1452.12,-1.67
05/09/2010,1100.83,995.88,1159.21,-209.51
06/09/2010,1274.04,1169.03,1402.68,173.21
07/09/2010,1137.78,1028.87,1269.03,-136.26
08/09/2010,1337.02,1224.63,1438.46,199.23
09/09/2010,1282.72,1168.32,1395.36,-54.3
10/09/2010,1140.57,1041.32,1217.2,-142.15
11/09/2010,1187.39,1084.6,1265.45,46.82
12/09/2010,1107.08,1007.05,1174.08,-80.31
13/09/2010,1214.86,1122.67,1321.57,107.78
14/09/2010,1269.18,1173.49,1381.04,54.31
15/09/2010,1281.15,1180.16,1409.42,11.98
16/09/2010,1263.84,1196.57,1376.91,-17.32
17/09/2010,1281.69,1190.76,1411.13,17.85
18/09/2010,1273.38,1201.27,1400.17,-8.3
19/09/2010,1117.26,1044.86,1189.51,-156.12
20/09/2010,1257.22,1148.46,1387.28,139.96
21/09/2010,1235.66,1120.74,1347.06,-21.57
22/09/2010,1359.15,1256.69,1508.97,123.49
23/09/2010,1271.24,1174.87,1410.55,-87.9
24/09/2010,1313.57,1211.37,1426.84,42.33
25/09/2010,1279.03,1199.03,1415.5,-34.54
26/09/2010,1088.1,1008.41,1178.48,-190.92
27/09/2010,1280.66,1196.93,1413.48,192.56
28/09/2010,1335.32,1235.95,1460.93,54.66
29/09/2010,1305.66,1206.65,1433.09,-29.66
30/09/2010,1312.9,1226.42,1418.95,7.24
01/10/2010,1294.2,1213.83,1436.95,-18.69
02/10/2010,1135.75,1076.25,1243.23,-158.46
03/10/2010,1061.74,1005.17,1171.29,-74.0
04/10/2010,1218.76,1138.24,1342.03,157.01
05/10/2010,1317.31,1242.12,1445.28,98.55
06/10/2010,1269.21,1182.57,1389.03,-48.1
07/10/2010,1284.39,1207.13,1393.64,15.17
08/10/2010,1305.32,1218.61,1443.42,20.93
09/10/2010,1121.12,1036.98,1214.01,-184.2
10/10/2010,1065.53,996.16,1138.63,-55.59
11/10/2010,1220.49,1134.05,1332.61,154.96
12/10/2010,1306.22,1228.73,1432.98,85.73
13/10/2010,1291.38,1198.47,1430.28,-14.84
14/10/2010,1322.66,1228.34,1442.37,31.28
15/10/2010,1311.16,1227.52,1455.1,-11.49
16/10/2010,1159.42,1089.27,1261.57,-151.74
17/10/2010,1075.96,1014.76,1148.73,-83.46
18/10/2010,1243.18,1162.58,1358.5,167.22
19/10/2010,1318.94,1246.85,1446.42,75.76
20/10/2010,1243.99,1168.95,1375.94,-74.94
21/10/2010,1348.82,1245.45,1465.95,104.82
22/10/2010,1200.4,1098.73,1284.52,-148.42
23/10/2010,1196.63,1100.08,1320.4,-3.77
24/10/2010,1032.84,991.8,1130.5,-163.79
25/10/2010,1200.9,1101.95,1325.3,168.06
26/10/2010,1317.05,1214.24,1448.56,116.15
27/10/2010,1205.63,1104.29,1340.5,-111.42
28/10/2010,1339.32,1203.91,1436.39,133.69
29/10/2010,1290.61,1233.77,1417.58,-48.7
30/10/2010,1282.13,1192.78,1402.31,-8.49
31/10/2010,1013.5,934.57,1072.78,-268.63
01/11/2010,1224.09,1146.15,1330.75,210.59
02/11/2010,1307.27,1214.97,1450.33,83.18
03/11/2010,1261.48,1179.94,1382.03,-45.79
04/11/2010,1384.68,1277.94,1478.4,123.2
05/11/2010,1134.93,1031.28,1214.29,-249.75
06/11/2010,1426.46,1337.35,1509.95,291.52
07/11/2010,1036.45,944.14,1095.44,-390.0
08/11/2010,1251.15,1162.05,1369.57,214.7
