date,modal_price,min_price,max_price,change
31/12/2009,3885.86,3067.86,4101.57,
01/01/2010,4296.4,3741.4,4366.4,410.54
02/01/2010,4302.75,3185.25,4400.25,6.35
03/01/2010,4731.0,4281.0,5210.0,428.25
04/01/2010,3900.0,3133.33,4103.33,-831.0
05/01/2010,4211.0,2760.0,4404.2,311.0
06/01/2010,4000.0,3100.0,4330.0,-211.0
07/01/2010,3732.8,3164.8,3868.0,-267.2
08/01/2010,4199.6,2900.4,4286.6,466.8
09/01/2010,4206.25,3550.0,4342.5,6.65
10/01/2010,4024.0,3024.5,4264.5,-182.25
11/01/2010,3925.0,3231.5,4063.75,-99.0
12/01/2010,3712.5,3025.0,4067.5,-212.5
13/01/2010,4037.0,3120.0,4368.0,324.5
16/01/2010,4085.0,3410.0,4280.0,48.0
17/01/2010,4500.0,3000.0,5124.0,415.0
18/01/2010,3900.0,3650.0,4100.0,-600.0
19/01/2010,3499.75,3174.75,3557.5,-400.25
20/01/2010,3472.5,2935.0,3610.0,-27.25
21/01/2010,3462.5,2950.0,3598.75,-10.0
22/01/2010,4127.75,3494.0,4389.0,665.25
23/01/2010,4008.5,3140.2,3981.4,-119.25
24/01/2010,5500.0,,,1491.5
25/01/2010,4175.25,3096.67,4155.0,-1324.75
27/01/2010,3806.29,3331.0,3951.71,-368.96
28/01/2010,3697.2,3297.2,3890.2,-109.09
29/01/2010,3561.86,3285.43,3724.14,-135.34
30/01/2010,3005.0,2818.5,3167.5,-556.86
31/01/2010,4850.0,3000.0,4648.0,1845.0
01/02/2010,3343.0,2986.71,3603.43,-1507.0
02/02/2010,3445.86,2912.43,3630.71,102.86
03/02/2010,3441.86,3104.86,3681.0,-4.0
04/02/2010,3582.0,2837.63,3797.13,140.14
05/02/2010,3516.0,2996.2,3671.9,-66.0
06/02/2010,3793.25,3018.63,3975.25,277.25
07/02/2010,4200.0,3450.5,4347.5,406.75
08/02/2010,3741.43,3321.14,4155.0,-458.57
09/02/2010,3747.0,3310.6,3869.3,5.57
10/02/2010,3521.4,3120.82,3588.36,-225.6
11/02/2010,3400.82,2950.09,3661.91,-120.58
12/02/2010,3000.0,2499.0,3625.0,-400.82
13/02/2010,2992.5,2488.0,3204.5,-7.5
14/02/2010,3000.0,2499.0,3625.0,7.5
15/02/2010,3104.45,2717.73,3326.82,104.45
16/02/2010,3329.4,2891.7,3552.2,224.95
17/02/2010,3303.6,2669.4,3495.4,-25.8
18/02/2010,3223.9,2693.1,3429.9,-79.7
19/02/2010,2854.73,2440.09,3149.36,-369.17
20/02/2010,2835.33,2438.22,3126.11,-19.39
21/02/2010,2850.0,2650.0,3000.0,14.67
22/02/2010,2919.27,2687.91,3111.0,69.27
23/02/2010,2834.8,2467.7,3021.7,-84.47
24/02/2010,2946.31,2560.0,3119.62,111.51
25/02/2010,2850.33,2453.75,3053.58,-95.97
26/02/2010,2877.6,2517.6,3083.8,27.27
27/02/2010,2835.0,2700.0,3052.5,-42.6
28/02/2010,2700.0,2700.0,2700.0,-135.0
02/03/2010,3027.44,2719.0,3223.0,327.44
03/03/2010,3134.0,2871.58,3302.67,106.56
04/03/2010,2860.0,2490.6,3041.4,-274.0
05/03/2010,1950.0,1930.0,2000.0,-910.0
06/03/2010,2924.5,2418.5,3086.75,974.5
07/03/2010,3130.0,2731.67,3273.33,205.5
08/03/2010,2847.5,2480.93,3027.57,-282.5
09/03/2010,2928.92,2428.0,3150.92,81.42
10/03/2010,2882.21,2390.79,3100.21,-46.7
11/03/2010,2943.07,2528.29,3091.71,60.86
12/03/2010,2896.83,2461.67,3046.08,-46.24
13/03/2010,2962.91,2474.0,3103.82,66.08
14/03/2010,2933.33,2666.67,3133.33,-29.58
15/03/2010,2638.75,2602.5,2698.0,-294.58
16/03/2010,2987.5,2805.0,3010.0,348.75
17/03/2010,2855.63,2655.63,2973.38,-131.88
18/03/2010,2853.18,2581.73,3001.0,-2.44
19/03/2010,2777.36,2520.83,2953.17,-75.82
