date,modal_price,min_price,max_price,change
31/12/2009,2333.85,2284.23,2387.69,
01/01/2010,2370.28,2331.18,2413.53,36.43
02/01/2010,2500.33,2457.67,2548.67,130.06
03/01/2010,2558.75,2509.58,2607.92,58.42
04/01/2010,2364.35,2290.65,2428.04,-194.4
05/01/2010,2375.53,2335.53,2414.21,11.18
06/01/2010,2444.09,2358.64,2485.91,68.56
07/01/2010,2399.0,2350.5,2452.0,-45.09
08/01/2010,2535.0,2496.05,2598.16,136.0
09/01/2010,2485.0,2438.93,2541.79,-50.0
10/01/2010,2485.33,2394.0,2564.33,0.33
11/01/2010,2491.19,2413.57,2559.29,5.86
12/01/2010,2395.75,2336.25,2439.5,-95.44
13/01/2010,2486.0,2441.75,2527.75,90.25
14/01/2010,2543.44,2512.0,2587.67,57.44
15/01/2010,2410.53,2335.26,2476.32,-132.91
16/01/2010,2463.85,2427.31,2499.62,53.32
17/01/2010,2467.5,2430.36,2509.29,3.65
18/01/2010,2405.0,2366.76,2440.0,-62.5
19/01/2010,2476.37,2419.26,2512.95,71.37
20/01/2010,2368.42,2320.26,2404.21,-107.95
21/01/2010,2418.1,2371.25,2465.75,49.67
22/01/2010,2463.81,2414.52,2503.57,45.71
23/01/2010,2344.64,2317.14,2376.43,-119.17
24/01/2010,2465.38,2426.92,2507.31,120.74
25/01/2010,2447.27,2410.23,2485.45,-18.11
26/01/2010,2456.79,2419.29,2505.0,9.51
27/01/2010,2421.67,2382.14,2467.14,-35.12
28/01/2010,2448.42,2352.63,2504.74,26.75
29/01/2010,2457.65,2395.88,2503.53,9.23
30/01/2010,2350.59,2268.53,2405.29,-107.06
31/01/2010,2422.5,2379.64,2467.86,71.91
01/02/2010,2360.26,2308.23,2391.86,-62.24
02/02/2010,2444.53,2398.24,2485.88,84.27
03/02/2010,2416.05,2372.5,2448.06,-28.48
04/02/2010,2436.67,2387.06,2470.0,20.61
05/02/2010,2415.23,2349.62,2459.05,-21.44
06/02/2010,2469.71,2420.29,2517.06,54.48
07/02/2010,2420.0,2379.17,2453.33,-49.71
08/02/2010,2389.52,2345.95,2432.62,-30.48
09/02/2010,2375.23,2282.95,2433.41,-14.3
10/02/2010,2310.77,2274.6,2346.4,-64.46
11/02/2010,2411.25,2336.25,2462.25,100.48
12/02/2010,2430.59,2384.71,2473.24,19.34
13/02/2010,2435.71,2392.5,2472.5,5.13
14/02/2010,2425.38,2385.77,2466.54,-10.33
15/02/2010,2445.29,2396.56,2495.31,19.91
16/02/2010,2449.47,2400.53,2496.84,4.18
17/02/2010,2412.14,2378.75,2455.75,-37.33
18/02/2010,2340.88,2247.19,2373.44,-71.26
19/02/2010,2430.56,2383.82,2477.06,89.67
20/02/2010,2363.89,2323.24,2399.12,-66.67
21/02/2010,2511.14,2485.46,2555.85,147.25
22/02/2010,2466.18,2438.44,2505.31,-44.97
23/02/2010,2445.28,2368.33,2495.56,-20.9
24/02/2010,2536.07,2481.92,2588.85,90.79
25/02/2010,2486.47,2434.69,2534.38,-49.6
26/02/2010,2472.06,2406.88,2540.31,-14.41
27/02/2010,2611.88,2581.67,2651.33,139.82
28/02/2010,2726.67,2710.45,2780.45,114.79
01/03/2010,2675.38,2628.33,2730.0,-51.28
02/03/2010,2540.59,2484.12,2583.53,-134.8
03/03/2010,2547.17,2475.91,2591.14,6.59
04/03/2010,2535.0,2491.32,2578.68,-12.17
05/03/2010,2557.37,2507.5,2606.11,22.37
06/03/2010,2569.44,2527.06,2627.06,12.08
07/03/2010,2727.81,2707.67,2795.67,158.37
08/03/2010,2629.52,2601.75,2674.25,-98.29
09/03/2010,2628.16,2572.11,2675.26,-1.37
10/03/2010,2619.09,2579.29,2672.14,-9.07
11/03/2010,2657.89,2613.06,2743.06,38.8
12/03/2010,2739.38,2686.33,2808.67,81.48
13/03/2010,2676.33,2636.43,2738.21,-63.04
14/03/2010,2699.76,2678.19,2764.75,23.43
15/03/2010,2698.33,2671.25,2752.0,-1.43
16/03/2010,2734.52,2671.9,2794.76,36.19
17/03/2010,2747.73,2675.95,2819.29,13.2
