date,modal_price,min_price,max_price,change
31/12/2009,4441.91,4119.22,4641.31,
01/01/2010,4608.32,4343.8,4866.17,166.41
02/01/2010,4361.39,4136.9,4601.46,-246.94
03/01/2010,4372.29,4215.56,4444.4,10.9
04/01/2010,4444.36,4124.1,4600.17,72.08
05/01/2010,4458.7,4213.45,4633.1,14.34
06/01/2010,4307.13,4064.59,4497.88,-151.57
07/01/2010,4340.45,4067.06,4484.03,33.32
08/01/2010,4451.51,4134.27,4696.98,111.06
09/01/2010,4262.68,4001.23,4416.08,-188.84
10/01/2010,4197.66,4037.96,4404.61,-65.02
11/01/2010,4330.73,4041.39,4527.66,133.07
12/01/2010,4498.67,4185.24,4656.47,167.94
13/01/2010,4313.03,4092.53,4464.99,-185.65
14/01/2010,4428.66,4188.57,4504.65,115.63
15/01/2010,4535.99,4365.98,4728.38,107.33
16/01/2010,4305.47,4090.17,4431.58,-230.52
17/01/2010,4145.83,3951.41,4254.84,-159.63
18/01/2010,4320.05,4014.24,4492.34,174.21
19/01/2010,4387.15,4119.62,4575.64,67.1
20/01/2010,4321.76,3931.48,4451.53,-65.39
21/01/2010,4314.38,4050.34,4438.41,-7.38
22/01/2010,4409.4,4153.05,4584.77,95.02
23/01/2010,4002.02,3687.71,4023.88,-407.38
24/01/2010,4161.31,3944.87,4223.3,159.29
25/01/2010,4163.31,3827.97,4286.9,2.0
26/01/2010,4141.62,4114.04,4441.67,-21.7
27/01/2010,4171.57,3856.06,4301.57,29.95
28/01/2010,4181.91,3860.28,4319.39,10.34
29/01/2010,4083.83,3765.07,4216.24,-98.08
30/01/2010,4136.81,3960.06,4347.7,52.98
31/01/2010,4096.35,3870.68,4172.95,-40.46
01/02/2010,4034.31,3702.27,4120.36,-62.03
02/02/2010,4024.06,3731.24,4143.55,-10.25
03/02/2010,4035.98,3706.98,4143.7,11.92
04/02/2010,3980.41,3620.07,4083.89,-55.57
05/02/2010,4013.7,3744.84,4173.33,33.29
06/02/2010,3894.73,3604.82,3958.63,-118.97
07/02/2010,4122.87,3888.19,4134.38,228.14
08/02/2010,3890.93,3516.4,3993.32,-231.94
09/02/2010,3993.94,3634.98,4082.59,103.0
10/02/2010,3931.29,3663.19,4050.32,-62.65
11/02/2010,4023.16,3750.4,4201.92,91.88
12/02/2010,3958.73,3817.95,4115.08,-64.43
13/02/2010,3801.83,3393.31,3914.78,-156.9
14/02/2010,3941.91,3674.94,3938.25,140.08
15/02/2010,3903.4,3602.96,4104.65,-38.51
16/02/2010,4074.83,3753.14,4196.61,171.44
17/02/2010,3901.3,3601.48,4043.75,-173.53
18/02/2010,3900.89,3639.17,4030.56,-0.41
19/02/2010,3920.95,3635.1,4090.65,20.06
20/02/2010,3945.21,3610.38,4051.03,24.26
21/02/2010,4030.94,4025.0,4360.0,85.72
22/02/2010,4010.81,3672.41,4155.41,-20.13
