crop_name,year_start,n_states,n_rows_cost,sum_sample_weight
Apple,2010,4,4,316.0
Apple,2011,4,4,301.0
Apple,2012,4,4,292.0
Apple,2013,4,4,261.0
Apple,2014,5,5,395.0
Apple,2015,5,5,396.0
Apple,2016,5,5,335.0
Apple,2017,5,5,374.0
Apple,2018,5,5,365.0
Apple,2019,5,5,345.0
Apple,2020,5,5,396.0
Apple,2021,5,5,369.0
Apple,2022,5,5,369.0
Apple,2023,5,5,369.0
Apple,2024,5,5,369.0
Apple,2025,5,5,369.0
Bajra,1996,6,6,767.0
Bajra,1997,5,5,703.0
Bajra,1998,5,5,450.0
Bajra,1999,5,5,724.0
Bajra,2000,5,5,802.0
Bajra,2001,5,5,845.0
Bajra,2002,5,5,703.0
Bajra,2003,5,5,923.0
Bajra,2004,5,5,830.0
Bajra,2005,6,6,747.0
Bajra,2006,6,6,759.0
Bajra,2007,6,6,823.0
Bajra,2008,6,6,868.0
Bajra,2009,6,6,744.0
Bajra,2010,6,6,902.0
Bajra,2011,7,7,779.0
Bajra,2012,7,7,676.0
Bajra,2013,7,7,692.0
Bajra,2014,5,5,634.0
Bajra,2015,5,5,621.3399999999999
Bajra,2016,5,5,659.0
Bajra,2017,5,5,660.0
Bajra,2018,5,5,616.0
Bajra,2019,5,5,651.0
Bajra,2020,5,5,697.0
Bajra,2021,5,5,600.0
Banana,2010,4,4,153.0
Banana,2011,4,4,160.0
Banana,2012,4,4,114.0
Banana,2013,4,4,145.0
Banana,2014,3,3,143.0
Banana,2015,3,3,211.0
Banana,2016,3,3,135.0
Banana,2017,5,5,172.0
Banana,2018,5,5,195.0
Banana,2019,5,5,164.0
Banana,2020,5,5,199.0
Banana,2021,5,5,243.0
Banana,2022,5,5,243.0
Banana,2023,5,5,243.0
Banana,2024,5,5,243.0
Banana,2025,5,5,243.0
Barley,1996,2,2,175.0
Barley,1998,2,2,211.0
Barley,1999,2,2,151.0
Barley,2000,2,2,169.0
Barley,2001,2,2,161.0
Barley,2002,2,2,213.0
Barley,2003,3,3,205.0
Barley,2004,3,3,187.0
Barley,2005,2,2,161.0
Barley,2006,2,2,163.0
Barley,2007,2,2,161.0
Barley,2008,2,2,168.0
Barley,2009,2,2,137.0
Barley,2010,2,2,154.0
Barley,2011,2,2,138.0
Barley,2012,2,2,152.0
Barley,2013,2,2,130.0
Barley,2014,2,2,149.0
Barley,2015,2,2,104.0
Barley,2016,2,2,101.0
Barley,2017,3,3,180.0
Barley,2018,4,4,176.12
Barley,2019,4,4,210.0
Barley,2020,3,3,204.0
Barley,2021,3,3,192.0
Coconut,2010,5,5,434.0
Coconut,2011,5,5,468.0
Coconut,2012,5,5,437.0
Coconut,2013,5,5,436.0
Coconut,2014,5,5,387.0
Coconut,2015,5,5,397.0
Coconut,2016,5,5,416.0
Coconut,2017,5,5,583.0
Coconut,2018,5,5,549.0
Coconut,2019,5,5,570.0
Coconut,2020,5,5,593.0
Coconut,2021,5,5,560.0
Coconut,2022,5,5,560.0
Coconut,2023,5,5,560.0
Coconut,2024,5,5,560.0
Coconut,2025,5,5,560.0
Coffee,2010,5,5,434.0
Coffee,2011,5,5,468.0
Coffee,2012,5,5,437.0
Coffee,2013,5,5,436.0
Coffee,2014,5,5,387.0
Coffee,2015,5,5,397.0
Coffee,2016,5,5,416.0
Coffee,2017,5,5,583.0
Coffee,2018,5,5,549.0
Coffee,2019,5,5,570.0
Coffee,2020,5,5,593.0
Coffee,2021,5,5,560.0
Coffee,2022,5,5,560.0
Coffee,2023,5,5,560.0
Coffee,2024,5,5,560.0
Coffee,2025,5,5,560.0
Cotton,1996,8,8,1089.0
Cotton,1997,7,7,681.0
Cotton,1998,5,5,569.0
Cotton,1999,9,9,891.0
Cotton,2000,9,9,897.0
Cotton,2001,9,9,943.0
Cotton,2002,9,9,843.0
Cotton,2003,9,9,906.0
Cotton,2004,9,9,1042.0
Cotton,2005,9,9,1011.0
Cotton,2006,9,9,973.0
Cotton,2007,9,9,1005.0
Cotton,2008,10,10,1048.0
Cotton,2009,10,10,1114.0
Cotton,2010,10,10,1115.0
Cotton,2011,10,10,1348.0
Cotton,2012,10,10,1240.0
Cotton,2013,10,10,1195.0
Cotton,2014,10,10,1313.0
Cotton,2015,10,10,1158.0
Cotton,2016,10,10,1052.0
Cotton,2017,10,10,1159.0
Cotton,2018,11,11,1099.0
Cotton,2019,11,11,1112.0
Cotton,2020,11,11,1053.0
Cotton,2021,11,11,962.0
Cotton,2022,5,5,688.0
Cotton,2023,5,5,688.0
Cotton,2024,5,5,688.0
Cotton,2025,5,5,688.0
Gram,1996,5,5,606.0
Gram,1997,5,5,619.0
Gram,1998,5,5,646.0
Gram,1999,3,3,469.0
Gram,2000,4,4,489.0
Gram,2001,5,5,599.0
Gram,2002,8,8,587.0
Gram,2003,9,9,646.0
Gram,2004,9,9,636.0
Gram,2005,9,9,752.0
Gram,2006,10,10,834.0
Gram,2007,10,10,749.0
Gram,2008,10,10,777.0
Gram,2009,10,10,748.0
Gram,2010,10,10,753.0
Gram,2011,9,9,653.0
Gram,2012,9,9,781.23
Gram,2013,9,9,722.0
Gram,2014,10,10,674.0
Gram,2015,10,10,651.0
Gram,2016,10,10,685.0
Gram,2017,13,13,855.0
Gram,2018,14,14,707.0
Gram,2019,12,12,766.0
Gram,2020,14,14,820.0
Gram,2021,12,12,823.0
Gram,2022,5,5,661.0
Gram,2023,5,5,661.0
Gram,2024,5,5,661.0
Gram,2025,5,5,661.0
Grapes,2010,4,4,153.0
Grapes,2011,4,4,160.0
Grapes,2012,4,4,114.0
Grapes,2013,4,4,145.0
Grapes,2014,3,3,143.0
Grapes,2015,3,3,211.0
Grapes,2016,3,3,135.0
Grapes,2017,5,5,172.0
Grapes,2018,5,5,195.0
Grapes,2019,5,5,164.0
Grapes,2020,5,5,199.0
Grapes,2021,5,5,243.0
Grapes,2022,5,5,243.0
Grapes,2023,5,5,243.0
Grapes,2024,5,5,243.0
Grapes,2025,5,5,243.0
Groundnut,1996,5,5,702.0
Groundnut,1997,6,6,781.0
Groundnut,1998,6,6,749.0
Groundnut,1999,5,6,754.0
