crop_name,year_start,india_cost_unweighted,india_cost_wavg_sample
Apple,2010,19470.015271,19470.015271
Apple,2011,20790.204386999998,20790.204386999998
Apple,2012,22615.24053,22615.240530000003
Apple,2013,24416.842344999997,24416.842345
Apple,2014,26560.436468,26560.436468000004
Apple,2015,28977.352416,28977.352416000005
Apple,2016,31429.618548999995,31429.618548999995
Apple,2017,32421.369208,32421.369208000004
Apple,2018,34307.946052,34307.946052
Apple,2019,36890.141307,36890.141307
Apple,2020,40031.39710499999,40031.397105000004
Apple,2021,43993.33624799999,43993.336248
Apple,2022,46950.43146000001,46950.43146000001
Apple,2023,50920.575276,50920.575275999996
Apple,2024,54749.32088400001,54749.320884000015
Apple,2025,59280.58101400001,59280.581014
Bajra,1996,6037.661666666667,5499.490404172098
Bajra,1997,6432.9839999999995,6068.355931721195
Bajra,1998,7874.936,8549.046066666666
Bajra,1999,8652.458000000002,8560.29614640884
Bajra,2000,8826.702000000001,8598.537394014962
Bajra,2001,9280.068,8234.203408284024
Bajra,2002,11562.676000000001,11636.853897581792
Bajra,2003,9782.008,8955.140065005417
Bajra,2004,10132.338,9917.967891566264
Bajra,2005,10395.435,10353.59155287818
Bajra,2006,11798.586666666668,11979.111699604744
Bajra,2007,13118.078333333337,12493.59388821385
Bajra,2008,16205.565000000002,15807.956693548385
Bajra,2009,18064.59833333333,17704.49379032258
Bajra,2010,18634.88,17382.725099778272
Bajra,2011,22791.09857142857,22287.231681643127
Bajra,2012,26359.967142857142,25322.660517751483
Bajra,2013,32361.425714285717,29254.383959537572
Bajra,2014,37208.534,32968.51429022082
Bajra,2015,37821.008,33286.3753735475
Bajra,2016,42134.506,38403.677025796664
Bajra,2017,40075.662,37162.16686363637
Bajra,2018,46809.118,41949.99113636364
Bajra,2019,48369.621999999996,46084.038325652844
Bajra,2020,48620.602,44797.83579626973
Bajra,2021,53600.848,47300.58113333333
Banana,2010,19036.888735,19036.888735
Banana,2011,20068.512100000004,20068.512100000004
Banana,2012,21968.050986999995,21968.050987
Banana,2013,24053.138153000004,24053.138153000004
Banana,2014,26141.088613999997,26141.088614
Banana,2015,28501.441421,28501.441421
Banana,2016,31098.236223,31098.236223
Banana,2017,32097.181567,32097.181566999996
Banana,2018,33897.99243,33897.992430000006
Banana,2019,36949.160846,36949.160846000006
Banana,2020,39878.461868,39878.461868
Banana,2021,43192.259452,43192.259452
Banana,2022,47403.64676100001,47403.646761
Banana,2023,50999.760720000006,50999.760720000006
Banana,2024,54958.625232,54958.625232
Banana,2025,59107.607247,59107.607247
Barley,1996,11205.835,10989.534285714284
Barley,1998,11625.86,11640.634312796208
Barley,1999,14133.59,13865.179072847683
Barley,2000,14491.49,13973.93402366864
Barley,2001,14847.225,14356.133913043479
Barley,2002,18049.47,17898.679859154927
Barley,2003,17253.96,16501.030829268293
Barley,2004,18069.023333333334,17494.855989304815
Barley,2005,21110.05,20935.255652173913
Barley,2006,22000.93,21910.304233128834
Barley,2007,23602.23,23458.723229813662
Barley,2008,24818.895,24837.204523809527
Barley,2009,26875.725,27098.633211678833
Barley,2010,27833.77,26813.93909090909
Barley,2011,38103.935,39218.54
Barley,2012,42394.53,43152.81039473684
Barley,2013,43801.72,45014.69723076923
Barley,2014,43585.43,44203.32147651007
Barley,2015,44734.78,46604.80173076923
Barley,2016,50358.17,53241.023663366344
Barley,2017,57695.59666666667,57942.26744444445
Barley,2018,55849.42999999999,59557.50022711788
Barley,2019,58195.60999999999,61736.490476190476
Barley,2020,61235.82000000001,60361.68803921568
Barley,2021,68712.82666666666,69776.76208333333
Coconut,2010,16115.676507999999,16115.676508
Coconut,2011,16435.754966,16435.754966
Coconut,2012,17520.097289999998,17520.09729
Coconut,2013,19073.340552,19073.340552
Coconut,2014,21719.498095,21719.498095
Coconut,2015,23481.896035000005,23481.896035000005
Coconut,2016,25002.225776999996,25002.225776999996
Coconut,2017,25811.421256,25811.421256
Coconut,2018,27987.319522000013,27987.319522
Coconut,2019,31910.332126999994,31910.332126999998
Coconut,2020,33995.756257,33995.756257
Coconut,2021,34358.959233999994,34358.959233999994
Coconut,2022,36672.640956,36672.640956
Coconut,2023,39405.145662,39405.145662
Coconut,2024,42226.49108600001,42226.491086
Coconut,2025,46406.39064,46406.39064
Coffee,2010,50457.071624,50457.071624
Coffee,2011,53663.965304,53663.965304
Coffee,2012,57328.106965,57328.10696499999
Coffee,2013,61905.190081,61905.190081
Coffee,2014,66289.774269,66289.774269
Coffee,2015,72481.953736,72481.95373599998
Coffee,2016,77626.678957,77626.678957
Coffee,2017,79624.096858,79624.096858
Coffee,2018,84678.426466,84678.42646599999
Coffee,2019,92250.973648,92250.973648
Coffee,2020,100131.54530999999,100131.54530999999
Coffee,2021,108162.493292,108162.493292
Coffee,2022,117865.291534,117865.29153399999
Coffee,2023,129566.93413100003,129566.93413100003
Coffee,2024,140011.67583500003,140011.67583500003
Coffee,2025,151175.09958700003,151175.099587
Cotton,1996,16216.017500000002,15036.349430670341
Cotton,1997,13959.240000000002,15406.028766519823
Cotton,1998,15943.622,15341.35876977153
Cotton,1999,16912.127777777776,16015.417441077441
Cotton,2000,16497.278888888886,15091.09153846154
Cotton,2001,18322.14333333333,17925.87160127253
Cotton,2002,21023.455555555556,19249.102111506523
Cotton,2003,24218.933333333334,23932.26070640176
Cotton,2004,24050.314444444448,23942.905220729364
Cotton,2005,25901.955555555556,26768.818575667658
Cotton,2006,27316.27,26840.873874614594
Cotton,2007,29503.357777777775,29110.03755223881
Cotton,2008,35905.897,38246.084112595425
Cotton,2009,38675.381,39952.16800718133
Cotton,2010,47186.744,49914.042278026915
Cotton,2011,55625.289000000004,57552.93126854599
Cotton,2012,60139.941000000006,61397.435249999995
Cotton,2013,66868.535,70188.44784100419
Cotton,2014,70431.937,71996.32105864432
Cotton,2015,71339.599,72081.38569084628
Cotton,2016,79203.021,79051.11857414446
Cotton,2017,82274.474,83477.9143313201
Cotton,2018,83038.70090909091,80665.79586897179
Cotton,2019,92254.07636363637,89565.94410971223
Cotton,2020,86119.98090909091,84621.29458689458
Cotton,2021,95657.51363636363,93856.16957380458
Cotton,2022,103658.902581,103658.90258099999
Cotton,2023,109679.25062799998,109679.250628
